word,phonemes,label
eftirför,start EH F T IH R F AE R,stop
áflog,start AE UW,F
kjúklingur,start UW HH K L,IH
færiband,start F AE,IH
sundgleraugu,start S N,T
sárasótt,start S AE UW R AE S OH,UW
föstudagur,start F AE S T T,AE
trúarjátning,start T R UW AE R Y AE UW HH T N IH NG K,stop
jafni,start Y AE,P
ölmusa,start AE L M S,AE
gúrkutíð,start K UW K T IH,DH
svo,start,S
kössóttur,start K AE S OH UW HH T,R
sull,start S T,L
fingur,start F IH NG K,R
goði,start K AO,DH
anga,start AE UW,NG
blakkneskur,start P L,AE
málsháttur,start M AE UW L S HH AE,UW
blíður,start P L IH DH,R
ítalía,start IH T AE L IH,Y
vísifingur,start V IH S IH F IH,NG
bílaflutningabíll,start P IH L AE F L HH T N IH NG K AE P IH T L,stop
hálfkák,start HH AE UW,L
kytra,start IH T R,AE
jakob,start Y AE K,AO
amöba,start,AE
bandstrik,start P AE N T S T,R
svo,start,S
goðafræði,start K AO DH AE F R AE,IH
urra,start R,AE
kaldhæðni,start K AE L T HH,AE
hendni,start HH EH N,T
gnoð,start,K
kaplamjólk,start K AE HH P L AE M,Y
ísakína,start IH S AE K IH,N
lánsþýðing,start L AE UW N S TH IH DH,IH
brýni,start,P
þorleifína,start TH AO R L EH,IH
appelsínusafi,start AE HH P EH L S IH N S AE V,IH
munkur,start M UW,K
kornbretaland,start K AO R T N P R,EH
bekkjarfélagi,start,P
kvak,start K V AE,K
útlenskur,start UW T L EH,N
vartappi,start V AE R T AE,HH
hershöfðingi,start HH EH S HH AE,V
ker,start EH R,stop
langafi,start L AE UW NG,K
meitill,start M,EH
loftslag,start L AO F,T
fylgsni,start F IH L K,S
hornabolti,start HH AO T N AE P,AO
mannvit,start M AE N V IH,T
hegning,start HH EH K N IH NG K,stop
nautakjöt,start N T AE AE T,stop
viftureim,start V IH F T R,EH
bursti,start P S T,IH
djöfladýrkun,start T Y AE P,L
hátalari,start HH AE UW T AE L AE R,IH
afsaka,start AE,F
láð,start,L
búðareigandi,start P UW DH AE,R
aðalendir,start,AE
klæðnaður,start K L AE,IH
sífellt,start S IH F EH,T
klettafrú,start K L EH,HH
heift,start HH EH IH F T,stop
brjóstkassi,start P R Y OH UW,S
þyrping,start TH,IH
brugghús,start P R K,HH
pinni,start P IH,N
hávaðamaður,start HH AE,UW
hreyfill,start EH,IH
lógresi,start,L
bára,start P AE UW R AE,stop
handbolti,start HH,AE
kornbretaland,start K,AO
sónatína,start,S
bötnun,start P,AE
kynstur,start IH N S T R,stop
gosi,start K,AO
beitieski,start P,EH
heita,start HH EH IH,T
orðabók,start AO R DH AE P OH UW,K
ráðríkur,start R AE UW DH,R
lautinant,start,L
hálfsystir,start HH AE UW,L
kútur,start K UW T,R
félagaskiptagluggi,start,F
framrúða,start F R AE,M
hastur,start HH AE S T,R
knéfiðla,start K N Y EH F,IH
tónleikar,start T OH,UW
spurnaratviksorð,start S P R T N AE R AE T,V
bréf,start P R Y,EH
flytja,start F,L
skómakari,start S K OH UW M AE K,AE
þjá,start TH,Y
pepperóní,start P EH HH P EH R OH UW,N
sefur,start S EH,V
harmur,start HH AE,R
bekkjarlalli,start P EH,HH
afklæða,start AE,V
ógna,start OH UW K N,AE
kóróna,start K OH UW R OH,UW
sambland,start S AE M P L AE,N
þökk,start TH AE HH,K
boðháttur,start P AO DH HH AE UW HH T R,stop
boli,start P AO,L
ör,start AE R,stop
flórgoði,start F L OH UW R K,AO
siga,start,S
taíland,start T AE,IH
handsprengja,start HH AE N T S P R EH,IH
blómstra,start P L OH UW M S T,R
tilfinninganæmur,start T,IH
piparsveinn,start P IH P AE R S V EH IH,T
bjó,start P Y,OH
mínípils,start M IH N IH P IH L,S
heimild,start HH EH,IH
rafgeymir,start R AE V EH,IH
móðurborð,start M OH UW DH R P,AO
trefjasóley,start T R,EH
orf,start AO R V,stop
leiðangur,start L EH IH DH,AE
leyndarmál,start L EH IH N T,AE
reikistjarna,start R EH IH IH S,T
mongólía,start M AO,NG
banki,start P AE,UW
leikfang,start L EH,IH
morgunverður,start M AO R K N V EH R DH R,stop
sannfærandi,start,S
indverskur,start IH N T,V
óvinátta,start OH UW V,IH
þrunginn,start TH R UW,IH
samviskusemi,start S AE M,V
jöstur,start,Y
heiti,start HH EH IH,T
hlýðinn,start IH DH IH,N
gjald,start,AE
rakafullur,start R AE,K
rjúka,start R Y,UW
bifur,start P IH V,R
óvarkár,start,OH
fleygja,start,F
fýluferð,start F IH L F EH,R
skollafingur,start S K,AO
kveif,start K V EH IH V,stop
bel,start P,EH
rogaland,start R AO AE L AE N T,stop
sykurreyr,start S,IH
bræðsla,start,P
botna,start P,AO
límóna,start L IH M OH,UW
sögumaður,start S AE M,AE
frjóhnappur,start F R Y OH UW AE HH P,R
snjór,start S,N
jórdan,start Y OH UW R,T
trefill,start T,R
armbandsúr,start,AE
eiginnafn,start,EH
hindurvitni,start HH IH N T R V IH HH T N IH,stop
sikiley,start,S
hornblendi,start HH AO R T,N
melludólgur,start M EH T L T OH UW L K R,stop
gifta,start IH,F
pása,start,P
flokkun,start F L AO HH K N,stop
tól,start T OH UW,L
engi,start EH,IH
kuldi,start K L T IH,stop
erfðamengi,start EH R V,DH
plægja,start P L AE IH Y,AE
skilja,start S IH L Y AE,stop
grípari,start,K
tæki,start T AE,IH
funi,start F N IH,stop
hreysiköttur,start EH IH S IH K AE,HH
bárður,start P AE,UW
blóðfruma,start P L,OH
árlegur,start AE,UW
spjótkast,start S P Y OH UW T K AE,S
seinn,start,S
ufsi,start,F
kirkjuendir,start,IH
brjóstamjólk,start P R Y OH UW S,T
fen,start F,EH
mýkt,start M IH,T
stinnastör,start S T IH N AE S,T
álfheiður,start,AE
dýraspítali,start T,IH
íkornabygg,start IH K AO R T N AE P IH K,stop
nashyrningur,start N AE S HH IH R T,N
andlagsfall,start AE N T L,AE
miðasala,start M IH DH AE S AE L AE,stop
berja,start P EH,R
sog,start S,AO
flauta,start F L T AE,stop
hreysi,start EH IH S,IH
lútur,start L UW T,R
felix,start F EH L,IH
bylgjulengd,start P IH L L EH IH,NG
skáli,start S,K
halldór,start HH AE,L
hrotti,start AO HH T IH,stop
ha,start HH AE,stop
barrtré,start P AE R,T
slarkfær,start S T,L
kunnátta,start K N AE UW HH,T
hráolía,start AE UW AO L,IH
framhlaðningur,start F R AE M AE DH N,IH
keisaraskurður,start EH IH S AE R AE S,K
sýki,start S IH,IH
dína,start,T
helluhraun,start HH EH T,L
silfraður,start S IH L,V
nammi,start N,AE
hæka,start HH AE,IH
etýða,start EH T,IH
hrökkbrauð,start AE HH K,P
öryggisfyrirtæki,start AE R IH IH S F IH R IH R T AE IH IH,stop
regnhlíf,start R EH K N IH,V
fótbolti,start,F
spónn,start S,P
fjallganga,start F Y AE T,K
sáttur,start,S
sandali,start S AE N T,AE
jónasína,start Y,OH
blíður,start P L IH,DH
jarðarberjasulta,start Y AE R DH AE R P EH R Y,AE
föðurlandsvinur,start F AE DH R L AE N S V IH,N
orðrómur,start AO R DH R,OH
andrésína,start AE N T R Y EH S IH N AE,stop
ermi,start EH R M,IH
frakki,start F R AE HH,IH
drottningarbiskup,start T R AO HH T N IH NG K AE R P IH S K P,stop
vesturland,start V EH S,T
eggjaskurn,start EH AE S K R T,N
kaupstefna,start K,P
mygla,start M,IH
fordrykkur,start F AO R T R IH HH K,R
gnoð,start K,N
seðja,start S EH DH Y,AE
veigra,start V EH,IH
veggur,start V EH K,R
þyrstur,start TH IH,S
jess,start,Y
þorgerður,start TH AO,R
kitla,start IH HH,T
ritill,start R IH T IH T L,stop
kímblað,start IH M P L,AE
eiginleiki,start EH IH Y IH N L EH IH IH,stop
marbendill,start M AE R P EH N T IH T L,stop
rangstaða,start R AE UW NG K S T AE DH AE,stop
læknisskoðun,start,L
menga,start M EH IH,NG
skaða,start S K,AE
spurnaratviksorð,start S P R T N AE R AE T V IH K S,AO
auðæfi,start DH,AE
dömubindi,start T AE M P IH,N
bindi,start,P
moldavía,start M AO L T AE V IH Y AE,stop
sniðill,start S N IH DH IH,T
leikskóli,start L EH IH,K
snarka,start S,N
háseti,start HH AE UW S,EH
hnúskur,start UW S,K
tuldra,start T,L
úkraínska,start UW K R,AE
pistill,start P IH S,T
svæfa,start,S
fjórði,start F Y OH UW,R
tölvuspil,start T AE L V,S
hvatning,start K V AE HH T N IH NG K,stop
frauð,start F R,DH
stíga,start S T,IH
systir,start S IH,S
drottningarriddari,start T R AO HH T N IH NG K AE R R IH T AE R,IH
ótrúr,start,OH
andstæðingur,start AE N T S T AE IH DH IH NG K,R
uggur,start,K
ólafssúra,start OH UW L,AE
hneisa,start EH,IH
herkúles,start HH EH K UW,L
guðbjörg,start K,V
kafli,start K AE,P
port,start P,AO
rökhenda,start R AE K HH,EH
net,start,N
pallur,start P AE,T
breskur,start P R EH S,K
spinna,start S P IH N AE,stop
gunnlaug,start K,N
skynsemi,start S IH N S EH M IH,stop
léttir,start L Y EH,HH
bringubein,start P R IH NG K P EH IH,N
dreymandi,start T R EH IH M AE N T IH,stop
nautakjöt,start N T,AE
ingólfur,start IH NG,K
ólafur,start OH UW L,AE
veðja,start V,EH
eldmóður,start EH L T M OH UW DH,R
frímannía,start F R IH,M
freydís,start F R EH IH T IH S,stop
körfuboltaþjálfari,start K,AE
áskrifandi,start AE UW S,K
krossferð,start K R,AO
fjallhæra,start F,Y
farteski,start F,AE
hrjóta,start,Y
framtíðarfræði,start F,R
brýna,start P R,IH
partí,start P AE T IH,stop
kjúklingur,start UW HH K,L
öryggisbelti,start AE R IH IH S P EH T,IH
næsta,start N AE,IH
stöð,start S,T
þána,start TH AE UW N,AE
meirihluti,start M EH,IH
blíða,start,P
eining,start,EH
turn,start T,R
múta,start M,UW
sofna,start S,AO
bragfræði,start P R AE F R AE IH DH,IH
fróður,start F R OH UW DH R,stop
meðstjórnendur,start M EH DH S,T
skruma,start S K R M,AE
bunga,start P UW NG K,AE
borðstofa,start P AO R DH S T,AO
kerling,start EH,R
veiðimaður,start V,EH
rimill,start,R
barín,start,P
lausnarhraði,start L S T N AE R AE,DH
kirkja,start IH AE,stop
manni,start M,AE
leikari,start,L
ráðgjafi,start R AE UW DH,AE
kontrafagott,start K AO T,R
orkugjafi,start AO K AE,V
klénn,start K L Y EH,T
bræt,start P,R
frískur,start F R,IH
límóna,start L IH M,OH
marta,start M AE T AE,stop
diskótek,start T IH S K OH,UW
veturliði,start V,EH
fræfill,start F R AE IH,V
steðji,start S T EH DH,Y
albanskur,start AE L,P
bróðir,start P R OH UW DH,IH
geimferð,start EH IH M F,EH
færeyskur,start F AE IH,R
tindur,start T IH,N
góðæri,start,K
leikmaður,start L EH IH,K
kúpa,start,K
tröllavíðir,start T R AE T L AE,V
fullyrðing,start F T L IH R DH IH,NG
traustur,start T R S T R,stop
stjörnuarfi,start S T Y AE R T N,AE
hvert,start,K
höll,start,HH
hýsill,start HH,IH
heiðdís,start HH EH IH DH T IH,S
fylling,start F IH T,L
afturelding,start AE F T,R
meina,start M EH,IH
vepja,start V EH P,Y
þrettán,start TH,R
sammiðja,start S AE M M IH,DH
jarl,start Y AE R,T
depla,start T EH HH P,L
beygingardæmi,start P EH IH Y IH,NG
kamar,start,K
múkki,start M UW HH IH,stop
svæfing,start S,V
fótboltaþjálfari,start F OH UW T,P
hálskirtill,start HH AE UW L S IH R T,IH
skjár,start,S
íferðarfall,start IH F EH R DH AE R F AE,T
tólg,start T OH,UW
njálgur,start N,Y
heimsálfa,start HH EH IH M,S
hefndarþorsti,start HH EH,M
umhyggja,start M HH,IH
júnímánuður,start Y UW N IH M AE UW N DH,R
fagurgæs,start F AE,R
lygari,start L,IH
liðveisla,start L IH DH V,EH
brúnn,start P,R
svella,start S V EH T L AE,stop
sexa,start S EH S,AE
klína,start K,L
hann,start HH AE,N
slatti,start S T L,AE
ákafur,start AE UW K AE V,R
indæll,start IH N T AE IH T,L
tyrkland,start T IH K L,AE
gláka,start K L AE UW K AE,stop
barmmerki,start P AE R M M,EH
minjagripur,start M IH N,Y
aukaspyrna,start K AE S,P
afturbeyging,start AE F,T
endurreisnarstefna,start EH N T R R EH IH,S
ryðönd,start R IH DH,AE
stjórnarbylting,start S T Y OH UW R T N AE,R
gallabuxur,start K AE L AE P S R,stop
þrímynd,start TH R IH,M
regnbogi,start R,EH
mjólkurferna,start M Y OH UW K R F EH R,T
þingkona,start,TH
hænsn,start HH AE IH,N
friðarbogi,start F R IH DH AE R,P
bryðja,start P R IH,DH
augnlok,start K,N
jólabókaflóð,start Y OH UW L AE P OH UW K AE F L,OH
fræðimaður,start,F
smiðja,start S M,IH
eyvindína,start EH IH V IH,N
lífsspursmál,start L IH F S S P S M AE UW L,stop
glæða,start K L AE IH,DH
atvinnumaður,start AE,T
líða,start,L
léttmjólk,start L Y EH HH T M Y,OH
kynhvöt,start IH N AE,T
andrés,start AE N,T
smjatt,start,S
vélbúnaður,start V Y EH,L
slarksamur,start S,T
gluggakarmur,start K L K AE K,AE
fjölröddun,start,F
æringi,start AE IH R IH,IH
sigurðína,start S IH R DH IH,N
bylgja,start P IH L,AE
leiðsögn,start L EH IH DH S AE K N,stop
sýnishorn,start S IH N IH S HH AO R,T
úkraínskur,start UW K R AE IH N S K,R
tónn,start,T
fælinn,start F,AE
vasaklútur,start V AE S AE K,L
mánajurt,start M AE UW,N
fennikka,start F EH,N
beltisstaður,start P EH,T
sveifla,start S V EH,IH
andstyggilega,start AE,N
meyja,start M,EH
hýjungur,start HH,IH
torfa,start T,AO
tengdadóttir,start T,EH
laga,start L AE AE,stop
olía,start AO L IH Y AE,stop
rýja,start R,IH
andstyggilega,start,AE
maríutása,start M AE R,IH
orð,start,AO
lettneskur,start,L
reykur,start R EH IH K R,stop
undirbúa,start N T IH R P UW AE,stop
mýkt,start M IH T,stop
steinbrjótur,start S T,EH
nefna,start,N
bókastoð,start P OH,UW
þrá,start TH R,AE
ómblíður,start OH UW M,P
regndropi,start R EH K N T R AO P IH,stop
rúðuborg,start R UW,DH
leiðni,start,L
sær,start S AE IH R,stop
mýrdalur,start M IH,R
njóta,start N Y OH UW T AE,stop
sæma,start S AE IH M AE,stop
hvar,start K V AE,R
fjallagrös,start F Y AE T L AE,K
sólhattur,start,S
þögull,start TH,AE
fönn,start F AE N,stop
klof,start K L,AO
ljón,start L Y OH,UW
slitinn,start S T L IH T IH N,stop
lengjast,start L EH IH AE S,T
appelsínusafi,start AE HH P EH L S IH N S AE V IH,stop
melanóra,start M EH L,AE
mauraæta,start M R AE AE IH T AE,stop
skóf,start S K OH UW,V
vargur,start V AE R K R,stop
daggarmark,start T AE,K
hávarðína,start HH AE,UW
heimsmethafi,start HH EH,IH
vínandi,start V IH N AE N T,IH
spítta,start,S
handbremsa,start HH AE N T P,R
kennslubók,start EH N S T L,P
synja,start,S
dofna,start,T
göngutúr,start K NG,K
kaffihús,start K AE F IH HH UW,S
fyrirsæta,start,F
ríkisráð,start R IH IH S R AE UW,DH
jörð,start Y AE,R
helsingjaeyri,start HH EH L S IH,AE
jafntefli,start Y AE P N T EH P L IH,stop
hugrekki,start HH R EH HH K IH,stop
gubba,start K P AE,stop
virkur,start V,IH
verja,start V,EH
prentun,start P R,EH
hafdís,start HH AE V T,IH
kínín,start IH N IH N,stop
kontrapunktur,start K AO T R AE P K T R,stop
sinnuleysi,start S IH,N
rafmagn,start R AE V M AE,K
framan,start F R AE M,AE
mysuostur,start M IH,S
meðfram,start M,EH
hvítmosi,start K V IH T M AO S IH,stop
laski,start L AE,S
auðnutittlingur,start DH N T IH HH T L IH NG,K
vasareiknir,start,V
búðingur,start P UW,DH
slitinn,start S T L IH T,IH
svertingi,start S V,EH
nafnbót,start N AE P N P OH UW,T
as,start,AE
gólf,start K OH UW L,V
meðstjórnendur,start M EH DH S T Y OH UW R T,N
haframjöl,start HH AE V R AE M Y AE L,stop
trommuleikari,start T R AO M L EH IH K AE R,IH
basl,start,P
fræðsla,start F R,AE
teppi,start,T
hálsfesti,start HH,AE
gervigreind,start EH R V IH K,R
kotra,start K AO T,R
roðasteinn,start R AO DH AE S T EH,IH
ótti,start OH UW HH,T
einglyrni,start EH IH N K L IH R T N IH,stop
mynt,start M IH T,stop
helvískur,start HH EH L,V
dregill,start T,R
purpuraþistill,start P P R AE,TH
stappa,start S,T
aðdróttun,start AE DH T R OH,UW
annríki,start,AE
veð,start V,EH
grynna,start K,R
bankaútibú,start P AE UW,K
karlfugl,start K AE,R
klukka,start,K
lófi,start,L
fax,start F AE,K
skjáborð,start S,AE
verkefni,start V,EH
grasvíðir,start K R,AE
gangur,start K AE UW,NG
kókoshneta,start K OH UW K AO S EH T AE,stop
einkavæðing,start EH IH NG K,AE
bróðurdóttir,start P R OH UW DH R T OH UW HH T IH,R
frymi,start F R,IH
mykja,start,M
kantmaður,start K,AE
eydís,start EH IH T IH S,stop
dyntur,start T IH T R,stop
myndavél,start M,IH
lettland,start L EH HH T L AE N,T
leggöng,start L EH K,NG
basla,start P AE S T,L
kollekta,start K AO L EH T AE,stop
íspinni,start IH S P IH N,IH
ójafna,start OH UW,Y
hengi,start HH,EH
slóvakía,start S T L,OH
klafi,start K L AE V,IH
brjóstvasi,start P R,Y
heimferð,start HH EH IH M F EH R DH,stop
sæbjúga,start S AE IH P,Y
kiljan,start IH,L
skóglaus,start S,K
kollhnís,start K AO T,L
landakort,start,L
ítreka,start,IH
sníð,start S N,IH
víf,start V,IH
þéra,start TH Y EH R,AE
kardináli,start K AE R T IH N AE UW L IH,stop
básúna,start P AE UW S UW,N
vélbúnaður,start V Y EH L P UW N AE,DH
hreyfing,start EH IH V IH,NG
hvatning,start AE,HH
pistasía,start P IH S T AE,S
könguló,start K NG,K
hvöt,start K V AE,T
konsúll,start K,AO
lín,start L IH,N
skaplyndi,start S K AE P L,IH
rata,start R,AE
undanfari,start N T AE,N
kynkirtill,start IH N,IH
miðstig,start M IH DH S T,IH
hershöfðingi,start HH EH S HH AE V DH IH IH,stop
indverji,start IH N,T
elding,start EH L T,IH
renín,start R EH,N
torfa,start T AO R V,AE
síra,start S,IH
norðurljós,start N AO R DH R,L
kringumstæður,start K R IH NG K M,S
erla,start EH R,T
skjóta,start S OH UW T,AE
beygla,start,P
glott,start,K
millibil,start M IH T L IH P IH,L
afríka,start AE F R,IH
kynfæri,start IH N F AE IH R IH,stop
málband,start M AE UW L P AE N T,stop
þórshöfn,start TH,OH
tímarit,start T IH M AE R,IH
kynning,start,IH
virkur,start V IH,K
kjánaskapur,start AE UW N AE S K AE P R,stop
mýrdalína,start M IH R T AE L IH N AE,stop
þrugl,start TH R K,L
flauta,start F L T AE,stop
hæra,start HH AE,IH
jarlsfrú,start Y AE R T L S,F
búlgarska,start P UW L,K
grávorblóm,start K R AE UW V AO R P L OH UW M,stop
nesti,start N EH S T,IH
gönguferð,start K NG K F EH R DH,stop
njóta,start N Y,OH
klínískur,start K L IH N IH S K R,stop
ölvun,start AE L,V
helgur,start HH EH L K,R
hás,start HH AE UW S,stop
orðasamband,start AO R DH AE S AE M P AE,N
skartgripur,start S K AE T K,R
gelta,start,EH
eykt,start EH IH,T
getnaðarlimur,start EH HH T N,AE
lettneskur,start L EH,HH
viðtengingarháttur,start V IH T,EH
dollari,start T AO L AE R,IH
belgi,start,P
njóli,start N Y OH UW,L
ögmundína,start AE M N T IH N AE,stop
lofðungur,start L AO V DH UW NG K,R
baul,start P,L
greipa,start K R,EH
vordís,start V AO R T IH,S
griffill,start K R,IH
búðarþjófur,start P UW,DH
gleðispillir,start K L EH DH IH S P IH,T
slarksamur,start S T,L
sálumessa,start S,AE
hróarskelda,start OH UW AE S EH,L
félagshyggja,start F Y EH L AE S,HH
halldórsdóttir,start HH AE L T OH UW S T,OH
hallmundur,start HH AE,T
námsbraut,start N AE UW M S P R T,stop
hvítvín,start IH T V,IH
grunnskóli,start K R N S K,OH
dýrslegur,start T IH S L EH R,stop
byrgja,start P IH R AE,stop
hóra,start HH OH UW R,AE
forjaxl,start F,AO
hégómi,start EH K OH,UW
skína,start S IH,N
einkenni,start EH,IH
gætt,start K AE IH HH,T
skáldsaga,start S K AE UW L,T
agúrka,start AE K UW K,AE
lárus,start L,AE
þérun,start TH Y,EH
horfa,start HH,AO
gunnur,start K N,R
eintal,start,EH
eisa,start EH IH S AE,stop
boðskapur,start P,AO
scheving,start S EH V IH,NG
stjarneðlisfræðingur,start S T Y AE R T N EH DH L IH S F,R
kirtill,start IH,T
prettvísi,start P R EH HH T V,IH
aðalbygging,start AE DH AE L P IH IH,NG
stæði,start S T AE,IH
þakka,start TH AE,HH
hvelatengsl,start EH L,AE
hvass,start K,V
rupl,start,R
vígja,start,V
hornabolti,start HH,AO
vald,start V AE,L
pels,start P EH L S,stop
gráðostur,start,K
tékkneskur,start T Y EH HH K N EH S,K
sverta,start S V,EH
hverfull,start K V EH R V T L,stop
endaþarmsmök,start EH N T AE TH AE R M S M,AE
áskrifandi,start AE UW S K R IH V AE N T,IH
kverk,start K V EH K,stop
hvítmaðra,start K V IH T M AE DH,R
gaul,start K L,stop
tónlistarskóli,start T OH UW N L IH S,T
ávalur,start AE,UW
hersveit,start HH EH S V,EH
skelfing,start S,EH
hornafræði,start HH AO R T N,AE
gráða,start,K
þeba,start TH EH P,AE
gaman,start K,AE
framhaldsskóli,start F,R
mikið,start M IH,IH
stýrikerfi,start S T IH R IH EH R V,IH
funa,start F N AE,stop
andvirði,start AE N T V IH R DH,IH
hvaða,start AE DH AE,stop
andvaka,start,AE
skeina,start,S
svæfa,start S V AE,IH
háttarökfræði,start HH AE UW,HH
par,start,P
gaffall,start,K
sársauki,start S AE UW S,IH
fimmtudagur,start F IH T T AE,R
gersemi,start EH,R
tónn,start T OH UW,T
