word,phonemes,label
znatiželjno,start Z N T,IH
neželjen,start N ZH EH EH,N
racionalistkinja,start R AE IH OH N,L
kartograf,start,K
izumeti,start IH Z M,EH
tupoglavac,start T UW P,G
nadživljavati,start N AE,JH
venuti,start,N
opasan,start P AE S,AE
besvjestan,start B,S
antikomunist,start AE N T IH K OH M N IH,S
kirurški,start K R UW R,SH
abaja,start AE B Y,AE
srcolik,start S R L,IH
prestraviti,start P R EH S T R IH,T
preživljavati,start P R EH ZH,IH
suglasnički,start S G L AE S N IH,T
škatula,start SH K,T
ulepšavati,start UW L EH P SH AE T IH,stop
rased,start R,S
anarhistički,start AE N AE R S T IH T,SH
gladiti,start G,L
autoritativan,start UW T OH R IH T AE T,IH
alergično,start,AE
svratište,start S R T,IH
poremetiti,start P OH R M EH T IH T,IH
beskompromisno,start B S K OH M P R OH,M
husitski,start S IH T,S
ekonomičan,start EH K OH N M IH,CH
zakonodavstvo,start,Z
lider,start,L
dugovječan,start D G OH,Y
susretljivo,start S UW S R T,IH
lakomislen,start L AE K M,IH
inventivan,start,N
teheran,start T EH R AE,N
vrijeme,start R,IH
brodolom,start B,R
razvodniti,start R AE Z D N IH T IH,stop
zauvek,start Z UW EH K,stop
gravitacijski,start G R AE IH T T S IH Y,S
kompozicija,start K OH M P OH,Z
osiromašiti,start OH S IH R M AE SH IH,T
popis,start P P IH,S
konstruktivan,start K N S,T
napinjati,start N P IH AE T IH,stop
svinjski,start S S K,IH
buncati,start B N AE,T
lenj,start,L
amharski,start M AE R S K IH,stop
građevinarstvo,start G,R
kolektivizam,start K,OH
ablativ,start,B
aklimatizacijski,start AE K L IH M AE T IH Z IH,Y
parnas,start P R N AE S,stop
avanturist,start AE AE N T R IH,S
safer,start S F,EH
eruptivan,start R UW P,T
lokacija,start L,OH
izbeživ,start IH Z B ZH IH,stop
težitba,start T EH ZH IH T B,AE
žardinijera,start ZH AE R D IH N,IH
istorodnost,start S T OH R OH D N OH S,T
sagrađivati,start S AE G R AE,AE
kitolov,start,K
locirati,start L OH,R
etnomuzikologija,start EH T N OH M UW Z IH K,OH
trenutno,start T R N,UW
uobražen,start UW B R AE ZH EH N,stop
probavni,start P R B AE N IH,stop
opisati,start OH,P
požudan,start P,ZH
logičar,start L G IH CH AE R,stop
kompetentan,start K OH M P EH,T
svrsishodan,start S R S IH S,OH
čakavština,start CH AE K SH T IH,N
nesalomljiv,start N EH S AE,L
razglasiti,start R AE Z G L S IH,T
štetočina,start SH T EH T,CH
prihod,start P,R
plitko,start P L T K OH,stop
gablec,start G,B
razbuđivati,start R AE Z B UW AE T IH,stop
slučajno,start S L CH,AE
neskladan,start,N
neverno,start N EH R N OH,stop
ćebe,start B EH,stop
iluzionistički,start IH L UW Z IH OH N S T IH,CH
zabrljaviti,start Z AE B R,IH
zabundati,start Z B UW N D AE T,IH
razvesti,start R Z EH,S
bleskati,start B L S K AE T IH,stop
asuan,start S UW AE,N
gnojivo,start G N,Y
svemoćan,start S M OH AE N,stop
poblijedjeti,start P OH B L IH,Y
nečujan,start N,CH
mati,start M,T
falsifikat,start F AE L S IH F K AE T,stop
destruktivan,start D S T R UW K T IH,AE
kladivac,start K L,AE
zapreka,start Z P R EH K,AE
logaritamski,start L OH G,AE
periodički,start P,EH
iznad,start,Z
argentina,start AE R G EH N T,N
intelektualno,start N T EH L EH K T,UW
bezuspješno,start B,EH
adjustirati,start AE D Y UW,S
podčinjavati,start P OH,D
izrazito,start Z R AE,Z
salatni,start S L AE T,N
čarolija,start CH AE R L IH Y,AE
penetrirati,start P EH N EH T R R,AE
poletjeti,start P OH L T Y EH,T
prašan,start,P
potražiti,start P,OH
anaeroban,start N AE EH R OH B,AE
dječji,start D Y,CH
nerado,start N R AE D,OH
izlečiti,start IH Z L,CH
intelektualka,start IH N T EH L EH K T AE L K AE,stop
slamčica,start S,L
košarkaški,start K OH SH,R
krajičak,start K R AE Y CH AE K,stop
božanstvo,start B OH,ZH
pobunjenica,start P OH B UW N IH,AE
šerbet,start SH R B,EH
prezalogajivati,start P R EH Z AE L OH G AE Y AE,T
puščani,start P SH CH AE N IH,stop
stradalac,start S T R D AE L,AE
orkestar,start,R
madras,start M D R AE,S
pčelinji,start P CH L IH,IH
raspetljavati,start R AE S P EH T,AE
paunica,start P AE,N
hipnoza,start IH P N,Z
nestrpljivo,start N,EH
pravovaljanost,start P R AE OH AE N OH S T,stop
zabrtvljenost,start Z B R T EH,N
zloupotrebiti,start Z L OH,UW
brodet,start B R D EH,T
šrafciger,start SH R F IH,G
svlačionica,start S L,AE
somerica,start S M EH R IH,AE
šablonski,start SH B L OH,N
naredba,start N R EH D B AE,stop
island,start S L,AE
jahačica,start Y AE CH,IH
fonograf,start F OH N G,R
denuncijant,start D EH N,UW
z,start,Z
smotuljak,start S M OH T AE K,stop
stvoriti,start S,T
udolina,start D OH L IH N,AE
sugestivan,start S G EH S T,IH
kratkodometni,start K R AE,T
rascepiti,start,R
izmjenično,start Z M Y EH,N
šlafcimer,start SH L F IH,M
tercijaran,start T R IH Y AE,R
imbecilitet,start,IH
zacijeliti,start Z AE IH Y L IH T IH,stop
antagonizam,start AE N T AE G,OH
ispred,start S P,R
topljiv,start,T
luetičar,start L UW T IH CH AE,R
zašiljiti,start Z AE SH,IH
vodenica,start OH D N IH,AE
severozapad,start,S
ura,start,R
student,start S T D EH,N
prizvati,start P,R
brižno,start,B
nestručnjak,start,N
premašiti,start P R M,AE
ambasador,start AE M B S,AE
natkriljivati,start N AE T K R,IH
reparacija,start R EH P AE R IH Y AE,stop
automobilistički,start AE UW T OH M OH B IH L S,T
podjarmiti,start P OH D Y R M IH,T
gemišt,start,G
misteriozan,start M S T EH R IH OH Z AE N,stop
neudobno,start N UW D OH B N,OH
pridržavati,start P R IH D R ZH AE T IH,stop
dedukcija,start D EH D K IH Y AE,stop
simpatičan,start S IH M P T IH,CH
prevodiv,start P R EH D IH,stop
dragocenost,start D R AE G EH N OH,S
ustrajati,start UW S T R Y AE T IH,stop
lutnja,start L T,AE
zadrugarski,start Z D R,UW
odabrati,start,OH
anegdotalan,start AE N EH G,D
slaboća,start S,L
bezizrazno,start B,Z
nonkonformist,start N OH N K OH N F R M,IH
štrajhati,start SH T R Y,AE
idiomatski,start IH D IH M AE T S,K
premjestiti,start P R M Y EH S T IH,T
uspješan,start S P Y EH SH AE,N
bezbožje,start B Z B OH ZH Y,EH
stanarski,start S T N,AE
strojopis,start S T R Y,OH
galama,start,G
dahnuti,start D N UW,T
oplemeniti,start OH P L EH M N IH T,IH
petlja,start,P
preostati,start,P
fanatizam,start F AE,N
ocijeniti,start OH IH Y N IH T,IH
krašićki,start K R SH IH K,IH
organizacija,start OH R G AE N IH Z IH Y AE,stop
postojanost,start P S T OH Y AE N OH S T,stop
belina,start B EH,L
krojiti,start,K
barbados,start B AE R B,D
dezintegracija,start D EH Z IH N T,EH
robovati,start,R
sinoniman,start S IH,N
katoličanstvo,start K AE T OH L IH,CH
raspoloživ,start,R
preživjeti,start P R EH ZH,Y
dopisnica,start D P IH S N,IH
dimničar,start D M N,IH
podsvijest,start P D S,IH
mormonizam,start M OH,R
takmičarski,start T K M IH CH AE R S,K
karizmatično,start K AE R IH Z M T IH CH N,OH
naseljenica,start N AE,S
štampati,start SH T M P AE,T
kambodža,start K AE,M
utešiti,start T EH SH IH T,IH
prsiti,start P R S IH T IH,stop
preformulirati,start P R EH F OH R M UW L,R
armenija,start R M EH,N
pravoslavlje,start P R OH,S
omamiti,start OH,M
planinski,start P L N IH N S K,IH
primjetan,start P R M Y EH T,AE
sava,start S,AE
besmrtnički,start B S M R T N IH CH K IH,stop
homogram,start OH M G R AE M,stop
nedosljedan,start N EH D S EH D,AE
prepustiti,start P R EH P,S
zavrijediti,start Z AE R Y D IH T IH,stop
novosađanka,start N OH OH S D AE,N
vremenoslovlje,start R M EH N OH S L OH EH,stop
muftija,start M F T IH Y,AE
sonorizacija,start S OH N OH R IH Z IH,Y
trezveno,start T R Z EH N OH,stop
simptomatično,start S IH M P,T
lakonija,start L K OH N IH,Y
paritet,start P AE R T EH,T
apologija,start AE P OH L,G
motati,start,M
deskriptivan,start D S K R IH P T IH AE N,stop
nevinost,start N IH,N
spletkariti,start S P L EH T K R IH T,IH
posvemašnji,start P S,EH
autarkija,start AE UW T,R
onanirati,start OH N AE,N
samouveren,start S AE M,OH
sprava,start S P R AE,stop
odstreljivati,start OH D S T R EH AE,T
panslavist,start P AE N,S
radikalac,start R,AE
akutan,start K UW T,AE
pariz,start P R IH,Z
dijagonala,start D IH Y AE G OH N L AE,stop
sevati,start S AE T IH,stop
nemaštovit,start N EH M AE SH T IH T,stop
nijeste,start N IH Y S T EH,stop
istovjetan,start IH S T Y EH T,AE
dvadesetak,start D AE D EH S T AE,K
ortopedija,start OH R T OH,P
aritmetika,start AE R IH T M T IH K AE,stop
razrađivati,start R AE,Z
stočić,start S T,CH
glavonožac,start G L,AE
plast,start,P
planet,start P L N EH T,stop
anglicizam,start AE NG G L IH Z AE,M
razdružiti,start,R
mafijaš,start M AE F Y AE SH,stop
sudstvo,start S D S T,OH
premjestiti,start P R,M
kairo,start K,IH
kostarika,start K OH S T,R
praznovjernost,start P R Z N OH Y EH R N,OH
učenost,start CH EH N OH,S
posrtati,start P S R T AE,T
teroristički,start T EH R OH R S T,IH
sisati,start S S AE,T
definitivan,start,D
svedočanstvo,start,S
latinština,start L AE T N,SH
zaključni,start Z K UW CH N IH,stop
nemoralno,start N M OH R,AE
obuzdavati,start OH B,UW
asturijac,start,AE
harmonijski,start R M OH,N
pešak,start P SH,AE
konvencionalan,start K N EH N IH OH N AE,L
janjetina,start Y EH,T
rizati,start R IH Z AE T,IH
ionosfera,start IH OH N OH S F R,AE
delomice,start D L,OH
misao,start M S AE OH,stop
melodično,start M EH L D IH CH,N
bezbožnica,start B Z B OH ZH,N
arhitektonski,start AE R IH T K T OH N S K,IH
bezobraznik,start B EH Z B R AE Z N,IH
zahvalan,start,Z
śeđeti,start,EH
štokavština,start SH T K AE SH T IH N,AE
odricati,start OH D,R
bunilo,start B N,IH
upaljivati,start,UW
drug,start D,R
amidža,start,M
pladanj,start P L D,AE
miješan,start M IH Y,SH
intelektualac,start IH N T EH L EH,K
nijeste,start N IH Y S T EH,stop
abeceda,start AE,B
istopisnica,start S T OH P IH S N,IH
zapasti,start Z,P
maklen,start M K,L
dijagnoza,start D IH Y AE G,N
zadržati,start Z AE,D
čistost,start CH S T,OH
pukovnik,start P K OH,N
minđuha,start M N UW AE,stop
asistencija,start AE S,IH
relativnost,start R EH L AE T,N
cedulja,start,D
cvetni,start T,N
posjetitelj,start P OH S Y T IH T,EH
iluzorno,start L UW Z,OH
siroče,start S R OH T,SH
neslužben,start N S L UW ZH B EH,N
lomljivost,start,L
gablec,start G B L,EH
antiklinala,start AE N T IH K L IH N L,AE
dž,start,D
počinuti,start P CH IH N UW T,IH
tetrarh,start T T,R
ženskar,start ZH N S K AE,R
prodavaonica,start P R OH,D
propis,start P,R
praktičnost,start P R K T IH,CH
posebice,start P S EH B IH,EH
kopenhagen,start,K
alatni,start L AE,T
apoteoza,start AE P,OH
mišji,start M SH,Y
vegetarijanski,start EH G EH T AE R Y AE N S K,IH
prijestolonasljednik,start P R Y EH S T OH L OH N S EH D N,IH
čitateljica,start CH IH T AE T IH AE,stop
apolitički,start AE P OH L T IH T,SH
plemenski,start,P
neuropsihofarmakologija,start,N
mnogoženstvo,start M N OH G OH ZH,N
natkriljivati,start N AE T K R IH AE T,IH
astmatičar,start AE S T M T IH CH AE R,stop
začudo,start Z CH,UW
išibati,start SH,IH
demilitarizacija,start D EH M IH L IH T AE R IH,Z
biologija,start B IH,OH
rastopiti,start R AE S T,P
neobjektivno,start N,OH
zrakoprazan,start Z R K,OH
zabrujati,start Z AE B R Y AE T,IH
gnjavator,start,G
pasivan,start P S IH,AE
guštati,start G SH T,AE
holanđanka,start OH,L
ušetati,start UW SH T AE T IH,stop
šnajder,start SH,N
iskrčivati,start IH S K R CH AE,T
rugalaštvo,start R G AE L,AE
sagrađivati,start S,AE
zagrijavati,start Z AE G R IH Y,AE
kukavički,start K K AE IH CH K,IH
šaraf,start SH R AE F,stop
impresioniran,start IH,M
nicati,start N,AE
australac,start AE,UW
strvina,start S T IH N AE,stop
bosanka,start B S AE,N
rezbarija,start R EH Z B,R
šala,start SH L AE,stop
neostvariv,start N EH OH,S
sudionik,start S UW D IH N IH K,stop
nepristojnost,start N EH P,R
kratkoprugaš,start K R AE T K OH,P
analni,start N AE L N IH,stop
svirepo,start S R,EH
samozadovoljan,start S,AE
inadekvatan,start N AE D,EH
alergologijski,start AE L EH R G OH L G,IH
zabrinutost,start Z B R IH N UW T OH S,T
sustav,start S S,T
prigušivati,start P R IH G UW SH AE T,IH
naglas,start N G,L
vesarstvo,start,V
zadirkivati,start Z AE D IH R K AE T,IH
ispadati,start,S
neukusno,start N UW K UW S N OH,stop
centilitar,start N T IH L IH T,AE
ugovoriti,start UW G OH R IH,T
odluka,start D L UW,K
šeleshamer,start SH,L
glede,start G L D EH,stop
analiza,start,AE
nimalo,start N M AE L OH,stop
dešnjak,start,D
puh,start P,stop
stignuti,start S,T
antropologija,start,AE
ruralan,start R,R
konfesija,start K OH,N
cviliti,start L IH T,IH
kondenzacija,start K OH N D EH N Z,IH
supstrat,start S P S T R,AE
kovrčast,start,K
trepavica,start,T
neporeciv,start,N
analogan,start N AE L OH G,AE
efikasan,start F IH K AE,S
primjerno,start P R M Y EH R,N
istovetnost,start IH S T EH T N OH S T,stop
titoistički,start,T
tekući,start T K,UW
izumirati,start IH Z M IH,R
izvidjeti,start Z,IH
kolonija,start K L,OH
enciklopedijski,start EH N T S IH K L OH P D IH Y,S
barbika,start B,R
znojav,start,Z
bogato,start,B
uvjeren,start Y EH,R
iznenada,start Z N,EH
posetilac,start P,OH
krpar,start,K
fakirski,start F K IH R S K IH,stop
sjeverni,start S Y EH R N IH,stop
zloglasan,start Z L G,L
blagonaklon,start B L AE G OH N K L,OH
cjenkati,start Y EH NG K AE,T
sveza,start S,Z
mehkek,start M,K
idealan,start,D
egzogamija,start,EH
beletristika,start B EH L EH T R S T IH K AE,stop
dres,start D,R
umirati,start M IH R AE T IH,stop
statusni,start,S
medvjeđi,start M D Y EH,IH
maloprodaja,start M AE L OH P R,D
uzbuniti,start UW Z,B
zabrljati,start Z AE B AE T IH,stop
tendencioznost,start,T
monotonija,start M OH N OH T N IH,Y
buntovnik,start B N T OH N IH,K
pridobijati,start,P
pasulj,start P,S
krović,start K R,IH
neizbježno,start N IH Z B Y EH ZH,N
viknuti,start K N UW T,IH
beteg,start B T EH G,stop
finale,start,F
argentinski,start AE R G N T IH N S K,IH
kozmodrom,start K Z M OH D,R
neuvjerljiv,start N EH UW Y,R
kraniološki,start K R AE,N
škrga,start,SH
pelud,start,P
galeblji,start G L EH,B
mijeh,start,M
kontaminacija,start K OH N T AE,M
kontrast,start K N T R AE S,T
huliti,start L IH,T
ležećke,start L ZH EH,K
suvlasnik,start S L AE S,N
tarifa,start T AE R F,AE
šizofrenija,start SH IH Z,OH
adventistkinja,start,AE
transmisioni,start T R N S,M
krupan,start K R P AE,N
psihologija,start P S IH OH L G IH Y,AE
muljator,start,M
poručiti,start P OH R CH,IH
borben,start B R B EH N,stop
epigram,start EH P G R,AE
krap,start,K
šifra,start SH F,R
apatično,start AE P T,IH
uštedeti,start UW SH T,D
ritmički,start R T M IH,T
čehulja,start CH,UW
muštrati,start M SH T,R
prevoditi,start P R EH D IH,T
taman,start T M,AE
izumreti,start IH Z M R EH,T
bura,start B,R
odelo,start,OH
čakavski,start T SH K AE S K IH,stop
lirika,start L,R
popust,start P P UW,S
vulkan,start L K AE N,stop
šnajder,start SH N,Y
leksikograf,start L EH K S IH K G R,AE
trezvenjački,start T R EH Z AE CH K IH,stop
golfer,start G L,F
panenteizam,start P AE N EH,N
besneti,start,B
vjerenički,start Y,R
ikavac,start K AE,AE
anegdotalan,start AE N EH G D T AE L AE N,stop
dočekati,start D CH EH K AE T,IH
frendica,start F R N D IH,AE
neizvesno,start N IH Z EH S N,OH
učenost,start CH EH,N
šminka,start SH M,N
sjedalo,start S Y D AE,L
intravenozno,start IH N T R AE,N
zaručnica,start Z R UW CH N IH AE,stop
egzistencijalist,start EH G Z IH S T EH N IH Y L IH S,T
adaptirati,start AE D AE,P
neslan,start N S L AE,N
četveronoške,start CH EH,T
zatočiti,start Z AE T CH IH,T
pobijeliti,start P,OH
električar,start EH L,K
pretući,start P R,T
kriminologija,start K R,IH
ribolovac,start R IH,B
činovništvo,start CH IH,N
svijeća,start S,IH
stoljećima,start S T EH IH,M
mandragora,start M AE N D R G OH R,AE
haploidan,start P L OH IH D AE N,stop
sprijateljivati,start S P,R
namaći,start N M AE,IH
kisel,start K IH S EH,L
abonirac,start AE B OH N,R
kronološki,start K R,OH
poznanstvo,start P,OH
kvark,start K R K,stop
lues,start,L
individualizam,start IH,N
sustavan,start S S T AE AE,N
prevod,start,P
ispitati,start IH S,P
virologija,start IH,R
glotalan,start G L T AE L,AE
iskazati,start IH,S
infleksija,start IH N F L,K
degradirati,start D EH G R,AE
neprimjereno,start,N
prdjeti,start P D Y,EH
štapić,start,SH
anticiklona,start AE N T IH IH K,L
antimetabola,start AE N T IH M EH T B,OH
zajedništvo,start Z Y,EH
neosiguran,start N OH S,IH
sufizam,start S UW F Z,AE
zaključni,start Z K UW CH,N
suptilan,start S P T IH L AE,N
zaošijati,start Z AE OH SH,Y
brojati,start B R Y AE T,IH
takmičarski,start T K M IH,CH
cikličan,start K,L
skolastički,start S K OH L S,T
amfora,start M F OH R,AE
zagrepčanka,start Z G R,EH
plavokrvan,start P L OH K R AE,N
koža,start,K
zavisiti,start,Z
flatulencija,start F L AE T UW L N IH Y,AE
neopisiv,start N EH OH P,S
neosoban,start,N
špekvuršt,start,SH
skretati,start S K R T AE T,IH
podsjetiti,start P,D
čovjek,start CH Y,EH
obraditi,start OH B R D IH,T
januar,start Y N UW AE,R
preklani,start P R K L AE N,IH
ispirati,start S P IH R AE T,IH
geranij,start G R AE N IH,Y
kozmetologija,start K OH Z M EH T,OH
projicirati,start P R OH Y,IH
bakterija,start B K,T
boraviti,start B R AE IH T IH,stop
uzalud,start,Z
sputati,start S P T AE T,IH
tehnika,start T N IH,K
pretplaćivati,start P R EH T P L AE AE T IH,stop
kremljolog,start K R EH M,L
pobuđivati,start P OH B UW AE T IH,stop
osloniti,start OH S L,N
šiptar,start SH P,T
unakaziti,start UW N AE K,Z
griješan,start G R,IH
dževajir,start JH EH Y IH R,stop
uzbuđivati,start UW Z B UW AE T,IH
imućnost,start M UW N OH,S
peruanski,start P EH R AE N S,K
računovođa,start R AE CH UW N OH AE,stop
uzgajati,start UW Z,G
plemenitašica,start P L EH M EH N IH T SH,IH
ravnina,start R,AE
izabran,start,Z
iscrpsti,start S R P,S
zmijin,start Z,M
padaline,start P,D
oksidacija,start OH K S,IH
krnje,start,K
nadeđa,start N D EH,AE
