word,ipa,ARPAbet
alkul,a l kʰ ʏː l,AE L K L
alli,a t l ɪ,AE T L IH
alls,a l s,AE L S
allsber,a l s p ɛː r,AE L S P EH R
allsgáður,a l s k a uː ð ʏ r,AE L S K AE UW DH R
allteins,a l̥ t e i n s,AE T EH IH N S
almannatengsl,a l m a n n a tʰ e i ŋ k s t l,AE L M AE N N AE T EH IH NG K S T L
almennilegur,a l m ɛ nː ɪ l ɛː ɣ ʏ r,AE L M EH N IH L EH R
almennur,a l m ɛ nː ʏ r,AE L M EH N R
almætti,a l m a i h t ɪ,AE L M AE IH HH T IH
alnet,a l n ɛː t,AE L N EH T
alpahúfa,a l̥ p a h uː v a,AE P AE HH UW V AE
alræði,a l r a iː ð ɪ,AE L R AE IH DH IH
altari,a l̥ t a r ɪ,AE T AE R IH
altaristafla,a l̥ t aː r ɪ s tʰ a p l a,AE T AE R IH S T AE P L AE
alvara,a l v aː r a,AE L V AE R AE
alvarlega,a l v a r l ɛː ɣ a,AE L V AE R L EH AE
alvarlegur,a l v a r l ɛː ɣ ʏ r,AE L V AE R L EH R
alvitur,a l v ɪː t ʏ r,AE L V IH T R
alvörulaus,a l v œː r ʏ l ø yː s,AE L V AE R L S
alvöruleysi,a l v œː r ʏ l e iː s ɪ,AE L V AE R L EH IH S IH
alúðlega,aː l u ð l ɛː ɣ a,AE L UW DH L EH AE
alúðlegur,aː l u ð l ɛː ɣ ʏ r,AE L UW DH L EH R
alþingi,a l θ i ŋ c ɪ,AE L TH IH NG IH
alþjóðlegur,a l θ j o u ð l ɛː ɣ ʏ r,AE L TH Y OH UW DH L EH R
alþýðlegur,a l θ i ð l ɛː ɣ ʏ r,AE L TH IH DH L EH R
amaba,aː m aː p a,AE M AE P AE
amba,a m p a,AE M P AE
ambaga,a m p aː ɣ a,AE M P AE AE
ameríka,aː m ɛː r iː k a,AE M EH R IH K AE
amerískur,aː m ɛː r i s k ʏ r,AE M EH R IH S K R
amharíska,aː m h a r i s k a,AE M HH AE R IH S K AE
amma,a mː a,AE M AE
amper,a m̥ p ɛː r,AE P EH R
amöba,aː m œː p a,AE M AE P AE
ananas,aː n aː n a s,AE N AE N AE S
anda,a n t a,AE N T AE
andaglas,a n t a k l aː s,AE N T AE K L AE S
andardráttur,a n t a r t r a u h t ʏ r,AE N T AE R T R AE UW HH T R
andarnefja,a n t a r n ɛ v j a,AE N T AE R N EH V Y AE
andarungi,a n t a r u ɲ c ɪ,AE N T AE R UW IH
anddyri,a n t t ɪː r ɪ,AE N T T IH R IH
andefni,a n t ɛ p n ɪ,AE N T EH P N IH
andeind,a n t e i n t,AE N T EH IH N T
andersen,a n t ɛ r s ɛ nː,AE N T EH R S EH N
andfélagslega,a n t f j ɛː l a x s l ɛː ɣ a,AE N T F Y EH L AE S L EH AE
andfélagslegur,a n t f j ɛː l a x s l ɛː ɣ ʏ r,AE N T F Y EH L AE S L EH R
andheiti,a n t h e iː t ɪ,AE N T HH EH IH T IH
andi,a n t ɪ,AE N T IH
andlag,a n t l aː ɣ,AE N T L AE
andlagsfall,a n t l a x s f a t l,AE N T L AE S F AE T L
andlangur,a n t l a u ŋ k ʏ r,AE N T L AE UW NG K R
andlit,a n t l ɪː t,AE N T L IH T
andlát,a n t l a uː t,AE N T L AE UW T
andri,a n t r ɪ,AE N T R IH
andrés,a n t r j ɛː s,AE N T R Y EH S
andrésína,a n t r j ɛː s iː n a,AE N T R Y EH S IH N AE
andstyggilega,a n t s t ɪ cː ɪ l ɛː ɣ a,AE N T S T IH IH L EH AE
andstæðingur,a n t s t a iː ð i ŋ k ʏ r,AE N T S T AE IH DH IH NG K R
andstæður,a n t s t a i ð ʏ r,AE N T S T AE IH DH R
andvaka,a n t v aː k a,AE N T V AE K AE
andvari,a n t v aː r ɪ,AE N T V AE R IH
andvarp,a n t v a r̥ p,AE N T V AE P
andvirði,a n t v ɪ r ð ɪ,AE N T V IH R DH IH
andúð,a n t uː ð,AE N T UW DH
anemóna,aː n ɛ m o uː n a,AE N EH M OH UW N AE
anga,a u ŋ k a,AE UW NG K AE
angan,a u ŋ k a n,AE UW NG K AE N
angi,a u ɲ c ɪ,AE UW IH
angóla,a ŋ k o uː l a,AE NG K OH UW L AE
anna,a nː a,AE N AE
annar,a nː a r,AE N AE R
annars,a nː a r̥ s,AE N AE S
annríki,a nː r iː c ɪ,AE N R IH IH
annáll,a nː a u t l,AE N AE UW T L
ansa,a n s a,AE N S AE
ansi,a n s ɪ,AE N S IH
anúbis,aː n uː p ɪ s,AE N UW P IH S
apa,aː p a,AE P AE
apalhraun,aː p a l r̥ ø yː n,AE P AE L N
apamaður,aː p a m aː ð ʏ r,AE P AE M AE DH R
api,aː p ɪ,AE P IH
app,a h p,AE HH P
appelsína,a h p ɛ l s iː n a,AE HH P EH L S IH N AE
appelsínugulur,a h p ɛ l s iː n ʏ k ʏː l ʏ r,AE HH P EH L S IH N K L R
appelsínusafi,a h p ɛ l s iː n ʏ s aː v ɪ,AE HH P EH L S IH N S AE V IH
apótek,aː p o uː tʰ ɛː k,AE P OH UW T EH K
apótekari,aː p o uː tʰ ɛː k aː r ɪ,AE P OH UW T EH K AE R IH
ara,aː r a,AE R AE
arabía,aː r a p iː j a,AE R AE P IH Y AE
arabíska,aː r a p i s k a,AE R AE P IH S K AE
arabískur,aː r a p i s k ʏ r,AE R AE P IH S K R
aragrúi,aː r a k r uː ɪ,AE R AE K R UW IH
arameíska,aː r a m ɛː i s k a,AE R AE M EH IH S K AE
arfi,a r v ɪ,AE R V IH
argentína,a r k ɛ n tʰ iː n a,AE R K EH N T IH N AE
argur,a r k ʏ r,AE R K R
ari,aː r ɪ,AE R IH
arinn,aː r ɪ nː,AE R IH N
aristóteles,aː r ɪ s t o uː tʰ ɛː l ɛː s,AE R IH S T OH UW T EH L EH S
ark,a r̥ k,AE K
arkitekt,a r̥ c ɪ tʰ ɛ x t,AE IH T EH T
armband,a r m p a n t,AE R M P AE N T
armbandsúr,a r m p a n t s uː r,AE R M P AE N T S UW R
armenska,a r m ɛ n s k a,AE R M EH N S K AE
armur,a r m ʏ r,AE R M R
arnar,a r t n aː r,AE R T N AE R
arndís,a r t n t iː s,AE R T N T IH S
arnfríður,a r t n f r iː ð ʏ r,AE R T N F R IH DH R
arngunnur,a r t n k ʏ nː ʏ r,AE R T N K N R
arnheiður,a r t n h e iː ð ʏ r,AE R T N HH EH IH DH R
arnmundur,a r t n m ʏ n t ʏ r,AE R T N M N T R
arnór,a r t n o uː r,AE R T N OH UW R
arnþrúður,a r t n θ r uː ð ʏ r,AE R T N TH R UW DH R
aron,aː r ɔː n,AE R AO N
aronsvöndur,aː r ɔ n s v œ n t ʏ r,AE R AO N S V AE N T R
arsen,a r̥ s ɛ n,AE S EH N
aría,aː r iː j a,AE R IH Y AE
arða,a r ð a,AE R DH AE
arður,a r ð ʏ r,AE R DH R
as,aː s,AE S
asetón,aː s ɛː tʰ o uː n,AE S EH T OH UW N
asi,aː s ɪ,AE S IH
aska,a s k a,AE S K AE
askur,a s k ʏ r,AE S K R
asna,a s t n a,AE S T N AE
asni,a s t n ɪ,AE S T N IH
aspas,a s p a s,AE S P AE S
astat,a s t aː t,AE S T AE T
asía,aː s iː j a,AE S IH Y AE
at,aː t,AE T
ata,aː t a,AE T AE
atarna,a tʰ a r t n a,AE T AE R T N AE
atburður,aː t p ʏ r ð ʏ r,AE T P R DH R
atferli,aː t f ɛ r t l ɪ,AE T F EH R T L IH
atgeir,aː t k e iː r,AE T K EH IH R
atgervi,aː t c ɛ r v ɪ,AE T EH R V IH
athuga,aː t h ʏː ɣ a,AE T HH AE
athugasemd,aː t h ʏː ɣ a s ɛ m t,AE T HH AE S EH M T
athygli,aː t h ɪ k l ɪ,AE T HH IH K L IH
athæfi,aː t h a iː v ɪ,AE T HH AE IH V IH
athöfn,aː t h œ p n,AE T HH AE P N
atkvæði,aː t kʰ v a iː ð ɪ,AE T K V AE IH DH IH
atlot,aː t l ɔː t,AE T L AO T
atorka,aː t ɔ r̥ k a,AE T AO K AE
atriði,aː t r ɪː ð ɪ,AE T R IH DH IH
atvik,aː t v ɪː k,AE T V IH K
atviksorð,aː t v ɪ k s ɔ r ð,AE T V IH K S AO R DH
atvikssaga,aː t v ɪ x s s aː ɣ a,AE T V IH S S AE AE
atvinna,aː t v ɪ nː a,AE T V IH N AE
atvinnuleysi,a t v ɪ nː ʏ l œ yː s ɪ,AE T V IH N L AE S IH
atvinnumaður,aː t v ɪ nː ʏ m aː ð ʏ r,AE T V IH N M AE DH R
auga,ø yː ɣ a,AE
augabrún,ø yː ɣ a p r uː n,AE P R UW N
augljós,ø y ɣ l j o uː s,L Y OH UW S
augljóslega,ø y ɣ l j o uː s l ɛː ɣ a,L Y OH UW S L EH AE
auglýsa,ø y ɣ l iː s a,L IH S AE
auglýsing,ø y ɣ l iː s i ŋ k,L IH S IH NG K
augnablik,ø y k n a p l ɪː k,K N AE P L IH K
augnfró,ø y k n f r o uː,K N F R OH UW
augnhár,ø y k n h a uː r,K N HH AE UW R
augnlok,ø y k n l ɔː k,K N L AO K
augnlæknir,ø y k n l a i h k n ɪ r,K N L AE IH HH K N IH R
augntönn,ø y k n tʰ œ nː,K N T AE N
auka,ø yː k a,K AE
aukafall,ø yː k a f a t l,K AE F AE T L
aukafallsliður,ø yː k a f a l s l ɪː ð ʏ r,K AE F AE L S L IH DH R
aukasetning,ø yː k a s ɛ h t n i ŋ k,K AE S EH HH T N IH NG K
aukaspyrna,ø yː k a s p ɪ r t n a,K AE S P IH R T N AE
aukastafur,ø yː k a s t aː v ʏ r,K AE S T AE V R
aukatenging,ø yː k a tʰ e i ɲ c i ŋ k,K AE T EH IH IH NG K
auki,ø yː c ɪ,IH
aukning,ø y h k n i ŋ k,HH K N IH NG K
auli,ø yː l ɪ,L IH
aumingi,ø yː m i ɲ c ɪ,M IH IH
aumur,ø yː m ʏ r,M R
aur,ø yː r,R
ausa,ø yː s a,S AE
austur,ø y s t ʏ r,S T R
austurland,ø y s t ʏ r l a n t,S T R L AE N T
austurríki,ø y s t ʏ r r iː c ɪ,S T R R IH IH
austurríkismaður,ø y s t ʏ r r iː c ɪ s m aː ð ʏ r,S T R R IH IH S M AE DH R
auðmjúkur,ø y ð m j uː k ʏ r,DH M Y UW K R
auðmundur,ø y ð m ʏ n t ʏ r,DH M N T R
auðmýking,ø y ð m iː c i ŋ k,DH M IH IH NG K
auðmýkja,ø y ð m iː c a,DH M IH AE
auðmýkt,ø y ð m i x t,DH M IH T
auðn,ø y ð n,DH N
auðna,ø y ð n a,DH N AE
auðnutittlingur,ø y ð n ʏ tʰ ɪ h t l i ŋ k ʏ r,DH N T IH HH T L IH NG K R
auður,ø yː ð ʏ r,DH R
auðvald,ø y ð v a l t,DH V AE L T
auðvelda,ø y ð v ɛ l t a,DH V EH L T AE
auðveldlega,ø y ð v ɛ l t l ɛː ɣ a,DH V EH L T L EH AE
auðveldur,ø y ð v ɛ l t ʏ r,DH V EH L T R
auðæfi,ø yː ð a iː v ɪ,DH AE IH V IH
ax,a k s,AE K S
ax,a x s,AE S
axhæra,a x s h a iː r a,AE S HH AE IH R AE
axlabönd,a x s t l a p œ n t,AE S T L AE P AE N T
aís,aː iː s,AE IH S
aðalakkeri,aː ð a l a h k ɛː r ɪ,AE DH AE L AE HH K EH R IH
aðalatriði,aː ð a l aː t r ɪː ð ɪ,AE DH AE L AE T R IH DH IH
aðalbraut,aː ð a l p r ø yː t,AE DH AE L P R T
aðalbygging,aː ð a l p ɪ cː i ŋ k,AE DH AE L P IH IH NG K
aðalból,aː ð a l p o uː l,AE DH AE L P OH UW L
aðalendir,aː ð a l ɛ n t ɪ r,AE DH AE L EH N T IH R
aðalfylking,aː ð a l f ɪ l̥ c i ŋ k,AE DH AE L F IH IH NG K
aðalhaf,aː ð a l h aː v,AE DH AE L HH AE V
aðalheiður,aː ð a l h e iː ð ʏ r,AE DH AE L HH EH IH DH R
aðalhending,aː ð a l h ɛ n t i ŋ k,AE DH AE L HH EH N T IH NG K
aðalkirkja,aː ð a l cʰ ɪ r̥ c a,AE DH AE L IH AE
aðall,aː ð a t l,AE DH AE T L
aðallega,aː ð a l l ɛː ɣ a,AE DH AE L L EH AE
aðalmerki,aː ð a l m ɛ r̥ c ɪ,AE DH AE L M EH IH
aðalmundur,aː ð a l m ʏ n t ʏ r,AE DH AE L M N T R
aðalritning,aː ð a l r ɪ h t n i ŋ k,AE DH AE L R IH HH T N IH NG K
aðalsetning,aː ð a l s ɛ h t n i ŋ k,AE DH AE L S EH HH T N IH NG K
aðalskrifstofa,aː ð a l s k r i f s t ɔː v a,AE DH AE L S K R IH F S T AO V AE
aðalskáli,aː ð a l s k a uː l ɪ,AE DH AE L S K AE UW L IH
aðalsögn,aː ð a l s œ k n,AE DH AE L S AE K N
aðaltenging,aː ð a l tʰ e i ɲ c i ŋ k,AE DH AE L T EH IH IH NG K
aðaltré,aː ð a l tʰ r j ɛː,AE DH AE L T R Y EH
aðaláhrif,aː ð aː l a uː r̥ ɪː v,AE DH AE L AE UW IH V
aðaláhugamál,aː ð aː l a uː h ʏː ɣ a m a uː l,AE DH AE L AE UW HH AE M AE UW L
aðdragandi,a ð t r aː ɣ a n t ɪ,AE DH T R AE AE N T IH
aðdráttarafl,a ð t r a u h t a r a p l,AE DH T R AE UW HH T AE R AE P L
aðdráttur,a ð t r a u h t ʏ r,AE DH T R AE UW HH T R
aðdróttun,a ð t r o u h t ʏ n,AE DH T R OH UW HH T N
aðdáandi,a ð t a uː a n t ɪ,AE DH T AE UW AE N T IH
aðdáun,a ð t a uː ʏ n,AE DH T AE UW N
aðeins,aː ð e i n s,AE DH EH IH N S
aðfangadagur,a ð f a u ŋ k a t aː ɣ ʏ r,AE DH F AE UW NG K AE T AE R
aðfaranótt,a ð f aː r a n o u h t,AE DH F AE R AE N OH UW HH T
aðfella,a ð f ɛ t l a,AE DH F EH T L AE
aðferð,a ð f ɛ r ð,AE DH F EH R DH
aðferðafræði,a ð f ɛ r ð a f r a iː ð ɪ,AE DH F EH R DH AE F R AE IH DH IH
aðgangur,a ð k a u ŋ k ʏ r,AE DH K AE UW NG K R
aðgerð,a ð c ɛ r ð,AE DH EH R DH
aðgerðaáætlun,a ð c ɛ r ð aː u a i t l ʏ n,AE DH EH R DH AE UW AE IH T L N
aðgát,a ð k a uː t,AE DH K AE UW T
aðgætni,a ð c a i h t n ɪ,AE DH AE IH HH T N IH
aðild,aː ð ɪ l t,AE DH IH L T
aðili,aː ð ɪː l ɪ,AE DH IH L IH
aðlaðandi,a ð l aː ð a n t ɪ,AE DH L AE DH AE N T IH
aðsjáll,a ð s j a u t l,AE DH S Y AE UW T L
aðskilinn,a ð s c ɪː l ɪ nː,AE DH S IH L IH N
aðskilja,a ð s c ɪ l j a,AE DH S IH L Y AE
aðskilnaðarstefna,a ð s c ɪ l n aː ð a r s t ɛ p n a,AE DH S IH L N AE DH AE R S T EH P N AE
aðskilnaður,a ð s c ɪ l n aː ð ʏ r,AE DH S IH L N AE DH R
aðstoð,a ð s t ɔː ð,AE DH S T AO DH
aðstoðarforstjóri,a ð s t ɔː ð a r f ɔ r̥ s t j o uː r ɪ,AE DH S T AO DH AE R F AO S T Y OH UW R IH
aðstoðarmaður,a ð s t ɔː ð a r m aː ð ʏ r,AE DH S T AO DH AE R M AE DH R
aðstæður,a ð s t a iː ð ʏ r,AE DH S T AE IH DH R
aðsókn,a ð s o u h k n,AE DH S OH UW HH K N
aðventa,a ð v ɛ n̥ t a,AE DH V EH T AE
aðvörun,a ð v œː r ʏ n,AE DH V AE R N
aþena,aː θ ɛː n a,AE TH EH N AE
aþeningur,aː θ ɛː n i ŋ k ʏ r,AE TH EH N IH NG K R
b,p j ɛː,P Y EH
baga,p aː ɣ a,P AE AE
bagall,p aː ɣ a t l,P AE AE T L
baggi,p a cː ɪ,P AE IH
bagi,p a iː j ɪ,P AE IH Y IH
bagi,p aː j ɪ,P AE Y IH
bak,p aː k,P AE K
baka,p aː k a,P AE K AE
bakari,p aː k aː r ɪ,P AE K AE R IH
bakborði,p aː k p ɔ r ð ɪ,P AE K P AO R DH IH
bakka,p a h k a,P AE HH K AE
bakki,p a h c ɪ,P AE HH IH
bakkus,p a h k ʏ s,P AE HH K S
bakpoki,p aː k pʰ ɔː c ɪ,P AE K P AO IH
baks,p a k s,P AE K S
baksa,p a k s a,P AE K S AE
baksa,p a x s a,P AE S AE
bakskaut,p aː k s k ø yː t,P AE K S K T
bakstur,p a x s t ʏ r,P AE S T R
bakuggi,p aː k ʏ cː ɪ,P AE K IH
bakvörður,p aː k v œ r ð ʏ r,P AE K V AE R DH R
baldur,p a l t ʏ r,P AE L T R
baldursbrá,p a l t ʏ r̥ s p r a uː,P AE L T S P R AE UW
bali,p aː l ɪ,P AE L IH
ball,p a lː,P AE L
balsamedik,p a l s aː m ɛː t i k,P AE L S AE M EH T IH K
bambus,p a m p ʏ s,P AE M P S
bana,p aː n a,P AE N AE
banabeður,p aː n a p ɛː ð ʏ r,P AE N AE P EH DH R
bananahýði,p aː n a n a h iː ð ɪ,P AE N AE N AE HH IH DH IH
banani,p aː n a n ɪ,P AE N AE N IH
banda,p a n t a,P AE N T AE
bandalag,p a n t a l aː ɣ,P AE N T AE L AE
bandaríkin,p a n t a r iː c ɪ n,P AE N T AE R IH IH N
bandingi,p a n t i ɲ c ɪ,P AE N T IH IH
bandstrik,p a n t s t r ɪː k,P AE N T S T R IH K
bang,p a u ŋ k,P AE UW NG K
banga,p a u ŋ k a,P AE UW NG K AE
bani,p aː n ɪ,P AE N IH
bank,p a u ŋ̊ k,P AE UW K
banka,p a u ŋ̊ k a,P AE UW K AE
bankaútibú,p a u ŋ̊ k a uː t ɪ p uː,P AE UW K AE UW T IH P UW
banki,p a u ɲ̊ c ɪ,P AE UW IH
bann,p a nː,P AE N
banna,p a nː a,P AE N AE
bannfæring,p a nː f a iː r i ŋ k,P AE N F AE IH R IH NG K
bar,p aː r,P AE R
barbari,p a r p aː r ɪ,P AE R P AE R IH
bardagalist,p a r t aː ɣ a l ɪ s t,P AE R T AE AE L IH S T
bardagi,p a r t aː j ɪ,P AE R T AE Y IH
barein,p aː r e iː n,P AE R EH IH N
barkakýli,p a r̥ k a cʰ iː l ɪ,P AE K AE IH L IH
barki,p a r̥ c ɪ,P AE IH
barmmerki,p a r m m ɛ r̥ c ɪ,P AE R M M EH IH
barmur,p a r m ʏ r,P AE R M R
barna,p a r t n a,P AE R T N AE
barnabarn,p a r t n a p a r t n,P AE R T N AE P AE R T N
barnabarn,p a t n a p a t n,P AE T N AE P AE T N
barnagæla,p a r t n a c a iː l a,P AE R T N AE AE IH L AE
barnalæknir,p a r t n a l a i h k n ɪ r,P AE R T N AE L AE IH HH K N IH R
barnamosi,p a r t n a m ɔː s ɪ,P AE R T N AE M AO S IH
barnæska,p a r t n a i s k a,P AE R T N AE IH S K AE
barr,p a rː,P AE R
barrfinka,p a rː f i ŋ̊ k a,P AE R F IH K AE
barrspæta,p a rː s p a iː t a,P AE R S P AE IH T AE
barrtré,p a rː t r j ɛː,P AE R T R Y EH
bartar,p a r̥ t a r,P AE T AE R
barti,p a r̥ t ɪ,P AE T IH
barátta,p aː r a u h t a,P AE R AE UW HH T AE
barín,p aː r iː n,P AE R IH N
barð,p a r ð,P AE R DH
barón,p aː r o uː n,P AE R OH UW N
barónett,p aː r o uː n ɛ h t,P AE R OH UW N EH HH T
barþjónn,p a r θ j o u t n,P AE R TH Y OH UW T N
basi,p aː s ɪ,P AE S IH
baskamál,p a s k a m a uː l,P AE S K AE M AE UW L
baskneska,p a s k n ɛ s k a,P AE S K N EH S K AE
basl,p a s t l,P AE S T L
basla,p a s t l a,P AE S T L AE
bassetthorn,p a sː ɛ h t h ɔ r t n,P AE S EH HH T HH AO R T N
bassi,p a sː ɪ,P AE S IH
bastarður,p a s t a r ð ʏ r,P AE S T AE R DH R
bati,p aː t ɪ,P AE T IH
baugfingur,p ø y x f i ŋ k ʏ r,P F IH NG K R
baugur,p ø yː ɣ ʏ r,P R
bauja,p ø yː j a,P Y AE
bauk,p ø yː k,P K
baul,p ø yː l,P L
baula,p ø yː l a,P L AE
baun,p ø yː n,P N
bauð,p ø iː ð,P IH DH
bavían,p aː v iː a n,P AE V IH AE N
bavíani,p aː v iː aː n ɪ,P AE V IH AE N IH
bað,p aː ð,P AE DH
baða,p aː ð a,P AE DH AE
baðherbergi,p aː ð h ɛ r p ɛ r c ɪ,P AE DH HH EH R P EH R IH
baðkar,p a ð kʰ aː r,P AE DH K AE R
baðmullarsvunta,p a ð m ʏ t l a r s v ʏ n̥ t a,P AE DH M T L AE R S V T AE
baðmur,p a ð m ʏ r,P AE DH M R
beddi,p ɛ tː ɪ,P EH T IH
beikon,p e iː kʰ ɔ n,P EH IH K AO N
beila,p e iː l a,P EH IH L AE
bein,p e iː n,P EH IH N
beina,p e iː n a,P EH IH N AE
beinagrind,p e iː n a k r ɪ n t,P EH IH N AE K R IH N T
beinmergur,p e iː n m ɛ r k ʏ r,P EH IH N M EH R K R
beinn,p e i t n,P EH IH T N
beisla,p e i s t l a,P EH IH S T L AE
beisli,p e i s t l ɪ,P EH IH S T L IH
beita,p e iː t a,P EH IH T AE
beiti,p e iː t ɪ,P EH IH T IH
beitieski,p e iː t ɪ ɛ s c ɪ,P EH IH T IH EH S IH
beitiland,p e iː t ɪ l a n t,P EH IH T IH L AE N T
beitilyng,p e iː t ɪ l i ŋ k,P EH IH T IH L IH NG K
