word,ipa,ARPAbet
abominevole,a b o m i n e v o l e,AE B OH M IH N EH V OH L EH
abondevole,a b o n d e v o l e,AE B OH N D EH V OH L EH
aborale,a b o r a l e,AE B OH R AE L EH
aborrevole,a b o r r e v o l e,AE B OH R R EH V OH L EH
aborrire,a b o r r i r e,AE B OH R R IH R EH
abramo,a b r a m o,AE B R AE M OH
abraàm,a b r a a m,AE B R AE AE M
abrogare,a b r o ɡ a r e,AE B R OH G AE R EH
abrogherebbero,a b r o ɡ e r e b b e r o,AE B R OH G EH R EH B B EH R OH
abroghi,a b r o ɡ i,AE B R OH G IH
abrotanino,a b r o t a n i n o,AE B R OH T AE N IH N OH
abrotano,a b r ɔ t a n o,AE B R AO T AE N OH
abruzzo,a b r u t t͡s o,AE B R UW T OH
abulia,a b u l i a,AE B UW L IH AE
abulico,a b u l i k o,AE B UW L IH K OH
abusare,a b u z a r e,AE B UW Z AE R EH
abuso,a b u z o,AE B UW Z OH
acacia,a k a t͡ʃ a,AE K AE CH AE
acagiù,a k a d͡ʒ u,AE K AE JH UW
acaico,a k a i̯ k o,AE K AE IH K OH
acalefa,a k a l ɛ f a,AE K AE L EH F AE
acalefe,a k a l ɛ f e,AE K AE L EH F EH
acalifa,a k a l i f a,AE K AE L IH F AE
acanino,a k a n i n o,AE K AE N IH N OH
acanto,a k a n t o,AE K AE N T OH
acanzio,a k a n t͡s j o,AE K AE N Y OH
acaro,a k a r o,AE K AE R OH
acato,a k a t o,AE K AE T OH
acazio,a k a t t͡s j o,AE K AE T Y OH
acca,a k k a,AE K K AE
accademia,a k k a d ɛ m j a,AE K K AE D EH M Y AE
accadere,a k k a d e r e,AE K K AE D EH R EH
accaffare,a k k a f f a r e,AE K K AE F F AE R EH
accampare,a k k a m p a r e,AE K K AE M P AE R EH
accanare,a k k a n a r e,AE K K AE N AE R EH
accanire,a k k a n i r e,AE K K AE N IH R EH
accanito,a k k a n i t o,AE K K AE N IH T OH
accappatoio,a k k a p p a t o j o,AE K K AE P P AE T OH Y OH
accapricciare,a k k a p r i t t͡ʃ a r e,AE K K AE P R IH T CH AE R EH
accarezzare,a k k a r e t t͡s a r e,AE K K AE R EH T AE R EH
accarnare,a k k a r n a r e,AE K K AE R N AE R EH
accasciare,a k k a ʃ ʃ a r e,AE K K AE SH SH AE R EH
accasciarsi,a k k a ʃ ʃ a r s i,AE K K AE SH SH AE R S IH
accavalciare,a k k a v a l t͡ʃ a r e,AE K K AE V AE L CH AE R EH
accecare,a t͡ʃː e k a r e,AE CH EH K AE R EH
acceggia,a t t͡ʃ e d d͡ʒ a,AE T CH EH D JH AE
accelera,a t t͡ʃ ɛ l e r a,AE T CH EH L EH R AE
accendere,a t t͡ʃ ɛ n d e r e,AE T CH EH N D EH R EH
accendisigaro,a t t͡ʃ ɛ n d i s i ɡ a r o,AE T CH EH N D IH S IH G AE R OH
accenno,a t t͡ʃ e n n o,AE T CH EH N N OH
accenso,a t t͡ʃ ɛ n s o,AE T CH EH N S OH
accento,a t t ʃ ɛ n t o,AE T T SH EH N T OH
accesso,a t t͡ʃ ɛ s s o,AE T CH EH S S OH
accetta,a t t͡ʃ e t t a,AE T CH EH T T AE
accetta,a t t͡ʃ ɛ t t a,AE T CH EH T T AE
accettabilità,a t t͡ʃ e t t a b i l i t a,AE T CH EH T T AE B IH L IH T AE
accettare,a t t͡ʃ e t t a r e,AE T CH EH T T AE R EH
accettevole,a t t͡ʃ e t t e v o l e,AE T CH EH T T EH V OH L EH
acchiappasogni,a k k j a p p a s o ɲ ɲ i,AE K K Y AE P P AE S OH IH
acchito,a k k i t o,AE K K IH T OH
acciacco,a t t͡ʃ a k k o,AE T CH AE K K OH
acciaiare,a t t͡ʃ a j a r e,AE T CH AE Y AE R EH
acciaiatura,a t t͡ʃ a j a t u r a,AE T CH AE Y AE T UW R AE
acciaio,a t t͡ʃ a j o,AE T CH AE Y OH
acciaiolo,a t t͡ʃ a j ɔ l o,AE T CH AE Y AO L OH
acciaiuolo,a t t͡ʃ a j w ɔ l o,AE T CH AE Y W AO L OH
acciarino,a t t͡ʃ a r i n o,AE T CH AE R IH N OH
accidempoli,a t t͡ʃ i d ɛ m p o l i,AE T CH IH D EH M P OH L IH
accidenti,a t t͡ʃ i d ɛ n t i,AE T CH IH D EH N T IH
acciderba,a t t͡ʃ i d ɛ r b a,AE T CH IH D EH R B AE
accidia,a t t͡ʃ i d j a,AE T CH IH D Y AE
acciocché,a t t͡ʃ o k k e,AE T CH OH K K EH
accipicchia,a t t͡ʃ i p i k k j a,AE T CH IH P IH K K Y AE
acciuga,a t t͡ʃ u ɡ a,AE T CH UW G AE
acciughero,a t t͡ʃ u ɡ e r o,AE T CH UW G EH R OH
acciughetta,a t t͡ʃ u ɡ e t t a,AE T CH UW G EH T T AE
acciughina,a t t͡ʃ u ɡ i n a,AE T CH UW G IH N AE
acciò,a t͡ː ʃ ɔ,AE T SH AO
acclive,a k k l i v e,AE K K L IH V EH
accoglienza,a k k o ʎ ʎ ɛ n t͡s a,AE K K OH EH N AE
accogliere,a k k ɔ ʎ ʎ e r e,AE K K AO EH R EH
accompagnare,a k k o m p a ɲ ɲ a r e,AE K K OH M P AE AE R EH
accontentare,a k k o n t e n t a r e,AE K K OH N T EH N T AE R EH
accoratezza,a k k o r a t e t t͡s a,AE K K OH R AE T EH T AE
accorciare,a k k o r t͡ʃ a r e,AE K K OH R CH AE R EH
accordevole,a k k o r d e v o l e,AE K K OH R D EH V OH L EH
accordo,a k k ɔ r d o,AE K K AO R D OH
accorgersi,a k k ɔ r d ʒ e r s i,AE K K AO R D ZH EH R S IH
accorruomo,a k k o r r w ɔ m o,AE K K OH R R W AO M OH
accudire,a k k u d i r e,AE K K UW D IH R EH
acculturare,a k k u l t u r a r e,AE K K UW L T UW R AE R EH
accurato,a k k u r a t o,AE K K UW R AE T OH
ace,a t ʃ e,AE T SH EH
acedia,a t͡ʃ ɛ d j a,AE CH EH D Y AE
acerbo,a t͡ʃ ɛ r b o,AE CH EH R B OH
acero,a t ʃ e r o,AE T SH EH R OH
acerrimo,a t ʃ ɛ r r i m o,AE T SH EH R R IH M OH
acervo,a t͡ʃ ɛ r v o,AE CH EH R V OH
acetico,a t ʃ ɛ t i k o,AE T SH EH T IH K OH
aceto,a t͡ʃ e t o,AE CH EH T OH
acetone,a t͡ʃ e t o n e,AE CH EH T OH N EH
acetoso,a t ʃ e t o s o,AE T SH EH T OH S OH
acheo,a k ɛ o,AE K EH OH
acheronteo,a k e r o n t ɛ o,AE K EH R OH N T EH OH
achivo,a k i v o,AE K IH V OH
acidaspide,a t͡ʃ i d a s p i d e,AE CH IH D AE S P IH D EH
acido,a t ʃ i d o,AE T SH IH D OH
acini,a t͡ʃ i n i,AE CH IH N IH
acino,a t͡ʃ i n o,AE CH IH N OH
acqua,a k k w a,AE K K W AE
acquaiolo,a k k w a j ɔ l o,AE K K W AE Y AO L OH
acquaiuolo,a k k w a j w ɔ l o,AE K K W AE Y W AO L OH
acquare,a k k w a r e,AE K K W AE R EH
acquascooter,a k k w a s k u t e r,AE K K W AE S K UW T EH R
acquatico,a k k w a t i k o,AE K K W AE T IH K OH
acquavitaio,a k k w a v i t a j o,AE K K W AE V IH T AE Y OH
acquavite,a k k w a v i t e,AE K K W AE V IH T EH
acquazzone,a k k w a t t͡s o n e,AE K K W AE T OH N EH
acqueo,a k k w e o,AE K K W EH OH
acquerello,a k k w e r e l l o,AE K K W EH R EH L L OH
acquiescente,a k k w j e ʃ ʃ ɛ n t e,AE K K W Y EH SH SH EH N T EH
acquiescentemente,a k k w j e ʃ ʃ e n t e m e n t e,AE K K W Y EH SH SH EH N T EH M EH N T EH
acquiescenza,a k k w j e ʃ ʃ ɛ n t͡s a,AE K K W Y EH SH SH EH N AE
acquiescere,a k k w i ɛ ʃ ʃ e r e,AE K K W IH EH SH SH EH R EH
acquietare,a k k w j e t a r e,AE K K W Y EH T AE R EH
acquietarsi,a k k w j e t a r s i,AE K K W Y EH T AE R S IH
acquirente,a k k w i r ɛ n t e,AE K K W IH R EH N T EH
acquisto,a k k w i s t o,AE K K W IH S T OH
acrimonia,a k r i m ɔ n j a,AE K R IH M AO N Y AE
acritica,a k r i t i k a,AE K R IH T IH K AE
acritiche,a k r i t i k e,AE K R IH T IH K EH
acritici,a k r i t i t͡ʃ i,AE K R IH T IH CH IH
acritico,a k r i t i k o,AE K R IH T IH K OH
acrobata,a k r ɔ b a t a,AE K R AO B AE T AE
acrobatico,a k r o b a t i k o,AE K R OH B AE T IH K OH
acrocoro,a k r o k o r o,AE K R OH K OH R OH
acustico,a k u s t i k o,AE K UW S T IH K OH
acute,a k u t e,AE K UW T EH
ad,a d,AE D
adacquare,a d a k k w a r e,AE D AE K K W AE R EH
adagetto,a d a d ʒ e t t o,AE D AE D ZH EH T T OH
adalberto,a d a l b ɛ r t o,AE D AE L B EH R T OH
addebito,a d d e b i t o,AE D D EH B IH T OH
addiaccio,a d d j a t t͡ʃ o,AE D D Y AE T CH OH
addietrare,a d d j e t r a r e,AE D D Y EH T R AE R EH
addietri,a d d j ɛ t r i,AE D D Y EH T R IH
addiettivo,a d d j e t t i v o,AE D D Y EH T T IH V OH
addimandare,a d d i m a n d a r e,AE D D IH M AE N D AE R EH
addio,a d d i o,AE D D IH OH
addirittura,a d d i r i t t u r a,AE D D IH R IH T T UW R AE
addirsi,a d d i r s i,AE D D IH R S IH
additivare,a d d i t i v a r e,AE D D IH T IH V AE R EH
additivazione,a d d i t i v a t t͡s j o n e,AE D D IH T IH V AE T Y OH N EH
additivo,a d d i t i v o,AE D D IH T IH V OH
addizionale,a d d i t t͡s j o n a l e,AE D D IH T Y OH N AE L EH
addogliare,a d d o ʎ ʎ a r e,AE D D OH AE R EH
addomandare,a d d o m a n d a r e,AE D D OH M AE N D AE R EH
addominale,a d d o m i n a l e,AE D D OH M IH N AE L EH
adduare,a d d u a r e,AE D D UW AE R EH
adduarsi,a d d u a r s i,AE D D UW AE R S IH
ade,a d e,AE D EH
adeano,a d e a n o,AE D EH AE N OH
adele,a d ɛ l e,AE D EH L EH
adenina,a d e n i n a,AE D EH N IH N AE
adenosina,a d e n o s i n a,AE D EH N OH S IH N AE
adenosindifosfato,a d e n o z i n d i f o s f a t o,AE D EH N OH Z IH N D IH F OH S F AE T OH
adenosinfosfato,a d e n o z i n f o s f a t o,AE D EH N OH Z IH N F OH S F AE T OH
adenosinmonofosfato,a d e n o z i n m o n o f o s f a t o,AE D EH N OH Z IH N M OH N OH F OH S F AE T OH
adenosintrifosfatasi,a d e n o s i n t r i f o s f a t a s i,AE D EH N OH S IH N T R IH F OH S F AE T AE S IH
adenosintrifosfato,a d e n o z i n t r i f o s f a t o,AE D EH N OH Z IH N T R IH F OH S F AE T OH
aderente,a d e r ɛ n t e,AE D EH R EH N T EH
adergere,a d ɛ r d͡ʒ e r e,AE D EH R JH EH R EH
adescare,a d e s k a r e,AE D EH S K AE R EH
adeso,a d ɛ z o,AE D EH Z OH
adesso,a d ɛ s s o,AE D EH S S OH
adiettivo,a d j e t t i v o,AE D Y EH T T IH V OH
adige,a d i d ʒ e,AE D IH D ZH EH
adinolfi,a d i n o l f i,AE D IH N OH L F IH
adinolfo,a d i n o l f o,AE D IH N OH L F OH
adipe,a d i p e,AE D IH P EH
adirato,a d i r a t o,AE D IH R AE T OH
adito,a d i t o,AE D IH T OH
adolescente,a d o l e ʃ ʃ ɛ n t e,AE D OH L EH SH SH EH N T EH
adolfo,a d ɔ l f o,AE D AO L F OH
adontamento,a d o n t a m e n t o,AE D OH N T AE M EH N T OH
adontare,a d o n t a r e,AE D OH N T AE R EH
adontarsi,a d o n t a r s i,AE D OH N T AE R S IH
adorare,a d o r a r e,AE D OH R AE R EH
adottare,a d o t t a r e,AE D OH T T AE R EH
adua,a d w a,AE D W AE
adulabile,a d u l a b i l e,AE D UW L AE B IH L EH
adulare,a d u l a r e,AE D UW L AE R EH
adulatore,a d u l a t o r e,AE D UW L AE T OH R EH
adulatorio,a d u l a t ɔ r j o,AE D UW L AE T AO R Y OH
adultere,a d u l t ɛ r e,AE D UW L T EH R EH
adulto,a d u l t o,AE D UW L T OH
adunche,a d u n k e,AE D UW N K EH
adusare,a d u z a r e,AE D UW Z AE R EH
aduso,a d u z o,AE D UW Z OH
adusto,a d u s t o,AE D UW S T OH
aere,a e r e,AE EH R EH
aereo,a ɛ r e o,AE EH R EH OH
aerolite,a e r ɔ l i t e,AE EH R AO L IH T EH
aerolito,a e r ɔ l i t o,AE EH R AO L IH T OH
aeroporto,a e r o p ɔ r t o,AE EH R OH P AO R T OH
afa,a f a,AE F AE
afachia,a f a k i a,AE F AE K IH AE
aferesi,a f ɛ r e z i,AE F EH R EH Z IH
aferetico,a f e r ɛ t i k o,AE F EH R EH T IH K OH
affannare,a f f a n n a r e,AE F F AE N N AE R EH
affannato,a f f a n n a t o,AE F F AE N N AE T OH
affannoso,a f f a n n o z o,AE F F AE N N OH Z OH
affare,a f f a r e,AE F F AE R EH
affarismo,a f f a r i z m o,AE F F AE R IH Z M OH
affarista,a f f a r i s t a,AE F F AE R IH S T AE
affarone,a f f a r o n e,AE F F AE R OH N EH
affascinare,a f f a ʃ ʃ i n a r e,AE F F AE SH SH IH N AE R EH
affermativo,a f f e r m a t i v o,AE F F EH R M AE T IH V OH
affermazione,a f f e r m a t t͡s j o n e,AE F F EH R M AE T Y OH N EH
