word,ipa,ARPAbet
adventistkinja,a d ʋ ě n t i s t k i ɲ a,AE D N T IH S T K IH AE
adverb,ǎ d ʋ e r b,D EH R B
adverban,ǎ d ʋ e r b a n,D EH R B AE N
adverbijalan,â d ʋ e r b i j aː l a n,D EH R B IH Y AE L AE N
advokat,a d ʋ ǒ k aː t,AE D K AE T
advokatski,a d ʋ ǒ k aː t s k i,AE D K AE T S K IH
adžuvan,a d͡ʒ ǔ ʋ aː n,AE JH AE N
aeroban,â e r oː b a n,EH R OH B AE N
aerobik,a e r ǒ b i k,AE EH R B IH K
aerobika,a e r ǒ b i k a,AE EH R B IH K AE
aerobiologija,a e r o b i o l ǒ ɡ i j a,AE EH R OH B IH OH L G IH Y AE
aerobički,a e r ǒ b i t͡ʃ k iː,AE EH R B IH CH K IH
aerodinamika,a e r o d i n ǎ m i k a,AE EH R OH D IH N M IH K AE
aerodinamičan,a e r o d i n ǎ m i t͡ʃ a n,AE EH R OH D IH N M IH CH AE N
aerodinamički,a e r o d i n ǎ m i t͡ʃ k iː,AE EH R OH D IH N M IH CH K IH
aerodrom,a e r ǒ d r o m,AE EH R D R OH M
aerodromski,a e r ǒ d r o m s k iː,AE EH R D R OH M S K IH
aerografija,a e r o ɡ r ǎ f i j a,AE EH R OH G R F IH Y AE
aerolit,a e r ǒ l iː t,AE EH R L IH T
aerologija,a e r o l ǒ ɡ i j a,AE EH R OH L G IH Y AE
aeromehanika,a e r o m e x ǎ n i k a,AE EH R OH M EH N IH K AE
aeromehaničar,a e r o m e x ǎ n i t͡ʃ a r,AE EH R OH M EH N IH CH AE R
aeroplanski,â e r o p l aː n s k i,EH R OH P L AE N S K IH
aeroplanski,â e r o p l aː n s k iː,EH R OH P L AE N S K IH
aerosol,â e r o s oː l,EH R OH S OH L
afekt,ǎ f e k t,F EH K T
afektacija,a f e k t ǎː t͡s i j a,AE F EH K T IH Y AE
afektirati,a f e k t ǐː r a t i,AE F EH K T R AE T IH
afel,ǎ f e l,F EH L
afera,a f ěː r a,AE F R AE
afereza,a f ě r e z a,AE F R EH Z AE
aferim,a f ě r i m,AE F R IH M
afganistan,a f ɡ a n ǐ s t aː n,AE F G AE N S T AE N
afganistanski,a f ɡ a n ǐ s t aː n s k iː,AE F G AE N S T AE N S K IH
afiks,ǎ f i k s,F IH K S
afinitet,a f i n ǐ t eː t,AE F IH N T EH T
afirmacija,a f i r m ǎː t͡s i j a,AE F IH R M IH Y AE
afirmativan,â f i r m a t iː ʋ a n,F IH R M AE T IH AE N
afirmativno,â f i r m a t iː ʋ n o,F IH R M AE T IH N OH
afirmiran,a f ǐ r m iː r aː n,AE F R M IH R AE N
afirmirati,a f i r m ǐː r a t i,AE F IH R M R AE T IH
aforist,a f ǒ r i s t,AE F R IH S T
aforistički,a f o r ǐ s t i t͡ʃ k iː,AE F OH R S T IH CH K IH
aforizam,a f o r ǐ z a m,AE F OH R Z AE M
afrika,ǎ f r i k a,F R IH K AE
afrikanac,a f r i k ǎː n a t͡s,AE F R IH K N AE
afrikanizacija,a f r i k a n i z ǎː t͡s i j a,AE F R IH K AE N IH Z IH Y AE
afrikanizam,a f r i k a n ǐ z a m,AE F R IH K AE N Z AE M
afrikanka,a f r ǐ k aː n k a,AE F R K AE N K AE
afrikanski,a f r ǐ k aː n s k iː,AE F R K AE N S K IH
afrikata,a f r i k ǎː t a,AE F R IH K T AE
afrički,ǎ f r i t͡ʃ k iː,F R IH CH K IH
afrodizijak,a f r o d ǐ z i j a k,AE F R OH D Z IH Y AE K
aga,ǎ ɡ a,G AE
agami,a ɡ ǎː m i,AE G M IH
agencija,a ɡ ě n t͡s i j a,AE G N IH Y AE
agent,ǎ ɡ e n t,G EH N T
agilan,â ɡ iː l a n,G IH L AE N
agilno,â ɡ iː l n o,G IH L N OH
agilnost,a ɡ ǐː l n oː s t,AE G L N OH S T
agitacija,a ɡ i t ǎː t͡s i j a,AE G IH T IH Y AE
agitator,a ɡ ǐ t aː t o r,AE G T AE T OH R
agitirati,a ɡ i t ǐː r a t i,AE G IH T R AE T IH
aglomeracija,a ɡ l o m e r ǎː t͡s i j a,AE G L OH M EH R IH Y AE
aglomerat,a ɡ l o m ě r aː t,AE G L OH M R AE T
aglutinacija,a ɡ l u t i n ǎː t͡s i j a,AE G L UW T IH N IH Y AE
aglutinativan,â ɡ l u t i n a t iː ʋ a n,G L UW T IH N AE T IH AE N
agnostik,a ɡ n ǒ s t i k,AE G N S T IH K
agnostičar,a ɡ n ǒ s t i t͡ʃ aː r,AE G N S T IH CH AE R
agnostičarka,a ɡ n ǒ s t i t͡ʃ aː r k a,AE G N S T IH CH AE R K AE
agnostički,a ɡ n ǒ s t i t͡ʃ k iː,AE G N S T IH CH K IH
agogičan,a ɡ ǒ ɡ i t͡ʃ a n,AE G G IH CH AE N
agonija,a ɡ ǒ n i j a,AE G N IH Y AE
agrarni,ǎ ɡ r aː r n iː,G R AE R N IH
agregatni,a ɡ r ě ɡ aː t n iː,AE G R G AE T N IH
agresija,a ɡ r ě s i j a,AE G R S IH Y AE
agresivan,â ɡ r e s iː ʋ a n,G R EH S IH AE N
agresivno,â ɡ r e s iː ʋ n o,G R EH S IH N OH
agresor,ǎ ɡ r e s o r,G R EH S OH R
agresorski,ǎ ɡ r e s o r s k iː,G R EH S OH R S K IH
agrobiologija,a ɡ r o b i o l ǒ ɡ i j a,AE G R OH B IH OH L G IH Y AE
agrologija,a ɡ r o l ǒ ɡ i j a,AE G R OH L G IH Y AE
agronom,a ɡ r ǒ n o m,AE G R N OH M
agronomija,a ɡ r o n ǒ m i j a,AE G R OH N M IH Y AE
agronomski,a ɡ r ǒ n o m s k i,AE G R N OH M S K IH
agronomski,a ɡ r ǒ n o m s k iː,AE G R N OH M S K IH
agrostologija,a ɡ r o s t o l ǒ ɡ i j a,AE G R OH S T OH L G IH Y AE
agrotehnički,a ɡ r o t ě x n i t ʃ k i,AE G R OH T N IH T SH K IH
agrotehnički,a ɡ r o t ě x n i t ʃ k iː,AE G R OH T N IH T SH K IH
agroturizam,a ɡ r o t u r ǐ z a m,AE G R OH T UW R Z AE M
ahat,â x aː t,AE T
ahbab,ǎ x b aː b,B AE B
ahil,ǎ x i l,IH L
ahiret,ǎː x i r e t,IH R EH T
ajam,ǎː j a m,Y AE M
ajatolah,a j a t ǒ l a x,AE Y AE T L AE
ajde,ǎ j d e,Y D EH
ajkula,â j k u l a,Y K UW L AE
ajme,ǎ j m e,Y M EH
ajmeh,ǎ j m e x,Y M EH
ajmo,ǎ j m o,Y M OH
ajvar,ǎ j ʋ aː r,Y AE R
akademija,a k a d ě m i j a,AE K AE D M IH Y AE
akademijski,a k a d ě m iː j s k iː,AE K AE D M IH Y S K IH
akademik,a k a d ě m i k,AE K AE D M IH K
akademičarski,a k a d ě m i t ʃ aː r s k i,AE K AE D M IH T SH AE R S K IH
akademičarski,a k a d ě m i t ʃ aː r s k iː,AE K AE D M IH T SH AE R S K IH
akademski,a k ǎ d e m s k i,AE K D EH M S K IH
akademski,a k ǎ d e m s k iː,AE K D EH M S K IH
akadski,ǎ k aː d s k iː,K AE D S K IH
akamoli,a k â m o l i,AE K M OH L IH
akceleracija,a k t͡s e l e r ǎː t͡s i j a,AE K EH L EH R IH Y AE
akcelerator,a k t͡s e l ě r aː t o r,AE K EH L R AE T OH R
akcenat,ǎ k t͡s e n a t,K EH N AE T
akcent,ǎ k t͡s e n t,K EH N T
akcentirati,a k t͡s e n t ǐː r a t i,AE K EH N T R AE T IH
akceptor,ǎ k t͡s e p t o r,K EH P T OH R
akcija,ǎ k t͡s i j a,K IH Y AE
akcijski,ǎ k t͡s iː j s k iː,K IH Y S K IH
aklamacija,a k l a m ǎː t͡s i j a,AE K L AE M IH Y AE
aklimatizacija,a k l i m a t i z ǎː t͡s i j a,AE K L IH M AE T IH Z IH Y AE
aklimatizacijski,a k l i m a t i z ǎː t͡s iː j s k iː,AE K L IH M AE T IH Z IH Y S K IH
aklimatizacioni,â k l i m a t i z a t͡s i oː n iː,K L IH M AE T IH Z AE IH OH N IH
aklimatizirati,a k l i m a t i z ǐː r a t i,AE K L IH M AE T IH Z R AE T IH
ako,â k o,K OH
akomodacija,a k o m o d ǎː t͡s i j a,AE K OH M OH D IH Y AE
akomodirati,a k o m o d ǐː r a t i,AE K OH M OH D R AE T IH
akontacija,a k o n t ǎː t͡s i j a,AE K OH N T IH Y AE
akontirati,a k o n t ǐː r a t i,AE K OH N T R AE T IH
akonto,a k ǒ n t o,AE K N T OH
akoprem,â k o p r e m,K OH P R EH M
akord,ǎ k o r d,K OH R D
akov,ǎ k o ʋ,K OH
akra,â k r a,K R AE
akreditiv,a k r e d ǐ t iː ʋ,AE K R EH D T IH
akrobat,a k r ǒ b a t,AE K R B AE T
akrobatika,a k r o b ǎ t i k a,AE K R OH B T IH K AE
akrobatski,a k r ǒ b a t s k i,AE K R B AE T S K IH
akrobatski,a k r ǒ b a t s k iː,AE K R B AE T S K IH
akronim,a k r ǒ n i m,AE K R N IH M
akropola,a k r ǒ p o l a,AE K R P OH L AE
akrostih,â k r o s t i x,K R OH S T IH
aksiologija,a k s i o l ǒ ɡ i j a,AE K S IH OH L G IH Y AE
aksiom,a k s ǐ oː m,AE K S OH M
akt,â k t,K T
akter,ǎ k t eː r,K T EH R
aktinologija,a k t i n o l ǒ ɡ i j a,AE K T IH N OH L G IH Y AE
aktiva,a k t ǐː ʋ a,AE K T AE
aktivacija,a k t i ʋ ǎː t͡s i j a,AE K T IH IH Y AE
aktivan,â k t iː ʋ a n,K T IH AE N
aktivirati,a k t i ʋ ǐː r a t i,AE K T IH R AE T IH
aktivist,a k t ǐ ʋ i s t,AE K T IH S T
aktivistkinja,a k t ǐ ʋ i s t k i ɲ a,AE K T IH S T K IH AE
aktivizam,a k t i ʋ ǐ z a m,AE K T IH Z AE M
aktivizirati,a k t i ʋ i z ǐː r a t i,AE K T IH IH Z R AE T IH
aktivno,â k t iː ʋ n o,K T IH N OH
aktivnost,a k t ǐː ʋ n oː s t,AE K T N OH S T
aktovka,â k t oː ʋ k a,K T OH K AE
aktualan,â k t u aː l a n,K T UW AE L AE N
aktualizam,a k t u a l ǐ z a m,AE K T UW AE L Z AE M
aktualizirati,a k t u a l i z ǐː r a t i,AE K T UW AE L IH Z R AE T IH
aktuelan,â k t u eː l a n,K T UW EH L AE N
akulturacija,a k u l t u r ǎː t͡s i j a,AE K UW L T UW R IH Y AE
akumulacija,a k u m u l ǎː t͡s i j a,AE K UW M UW L IH Y AE
akumulator,a k u m ǔ l aː t o r,AE K UW M L AE T OH R
akumulatorski,a k u m u l â t o r s k iː,AE K UW M UW L T OH R S K IH
akumulatorski,a k u m ǔ l aː t o r s k iː,AE K UW M L AE T OH R S K IH
akumulirati,a k u m u l ǐː r a t i,AE K UW M UW L R AE T IH
akupunktura,a k u p u n k t ǔː r a,AE K UW P UW N K T R AE
akustika,a k ǔ s t i k a,AE K S T IH K AE
akustičan,a k ǔ s t i t͡ʃ a n,AE K S T IH CH AE N
akustički,a k ǔ s t i t͡ʃ k iː,AE K S T IH CH K IH
akutan,â k uː t a n,K UW T AE N
akuzativ,â k u z a t iː ʋ,K UW Z AE T IH
akvarel,a k ʋ ǎ r e l,AE K R EH L
akvarelistički,a k ʋ a r e l ǐ s t i t ʃ k i,AE K AE R EH L S T IH T SH K IH
akvarelistički,a k ʋ a r e l ǐ s t i t ʃ k iː,AE K AE R EH L S T IH T SH K IH
akvila,âː k ʋ i l a,K IH L AE
akvizicija,a k ʋ i z ǐː t͡s i j a,AE K IH Z IH Y AE
akšam,ǎ k ʃ a m,K SH AE M
alabama,a l a b ǎ m a,AE L AE B M AE
alakati,a l ǎː k a t i,AE L K AE T IH
alarm,ǎ l a r m,L AE R M
alarmantan,a l a r m ǎ n t a n,AE L AE R M N T AE N
alarmantno,a l a r m ǎ n t n o,AE L AE R M N T N OH
alarmni,ǎ l a r m n iː,L AE R M N IH
alat,ǎ l aː t,L AE T
alatni,ǎ l aː t n iː,L AE T N IH
albanac,a l b ǎː n a t͡s,AE L B N AE
albanija,ǎ l b aː n i j a,L B AE N IH Y AE
albanizacija,a l b a n i z ǎː t͡s i j a,AE L B AE N IH Z IH Y AE
albanizirati,a l b a n i z ǐː r a t i,AE L B AE N IH Z R AE T IH
albanka,ǎ l b aː n k a,L B AE N K AE
albanolog,a l b a n ǒ l o ɡ,AE L B AE N L OH G
albanologija,a l b a n o l ǒ ɡ i j a,AE L B AE N OH L G IH Y AE
albanologijski,a l b a n o l ǒ ɡ iː j s k iː,AE L B AE N OH L G IH Y S K IH
albanološki,a l b a n ǒ l o ʃ k i,AE L B AE N L OH SH K IH
albanološki,a l b a n ǒ l o ʃ k iː,AE L B AE N L OH SH K IH
albanološkinja,a l b a n ǒ l o ʃ k i ɲ a,AE L B AE N L OH SH K IH AE
albanski,ǎ l b aː n s k i,L B AE N S K IH
albanski,ǎ l b aː n s k iː,L B AE N S K IH
albatros,ǎ l b a t r o s,L B AE T R OH S
albin,ǎ l b iː n,L B IH N
albinizam,a l b i n ǐ z a m,AE L B IH N Z AE M
album,ǎ l b uː m,L B UW M
ale,â l e,L EH
alegorija,a l e ɡ ǒ r i j a,AE L EH G R IH Y AE
alegoričan,a l e ɡ ǒ r i t͡ʃ a n,AE L EH G R IH CH AE N
aleksandar,a l ě k s aː n d a r,AE L K S AE N D AE R
aleksandrija,a l e k s ǎ n d r i j a,AE L EH K S N D R IH Y AE
alem,ǎ l e m,L EH M
alem,ǎː l e m,L EH M
alergičan,a l ě r ɡ i t͡ʃ a n,AE L R G IH CH AE N
alergično,a l ě r ɡ i t͡ʃ n o,AE L R G IH CH N OH
alergičnost,a l ě r ɡ i t͡ʃ n oː s t,AE L R G IH CH N OH S T
alergolog,a l e r ɡ ǒ l o ɡ,AE L EH R G L OH G
alergologija,a l e r ɡ o l ǒ ɡ i j a,AE L EH R G OH L G IH Y AE
alergologijski,a l e r ɡ o l ǒ ɡ iː j s k iː,AE L EH R G OH L G IH Y S K IH
alergološki,a l e r ɡ ǒ l o ʃ k i,AE L EH R G L OH SH K IH
alergološki,a l e r ɡ ǒ l o ʃ k iː,AE L EH R G L OH SH K IH
aleutski,a l ě u t s k iː,AE L UW T S K IH
alfa,â l f a,L F AE
alfabet,a l f ǎ b eː t,AE L F B EH T
alfabetizam,a l f a b e t ǐ z a m,AE L F AE B EH T Z AE M
alfabetski,a l f ǎ b eː t s k iː,AE L F B EH T S K IH
algebarski,ǎ l ɡ eː b a r s k i,L G EH B AE R S K IH
algebarski,ǎ l ɡ eː b a r s k iː,L G EH B AE R S K IH
algebra,ǎ l ɡ eː b r a,L G EH B R AE
algologija,a l ɡ o l ǒ ɡ i j a,AE L G OH L G IH Y AE
algonkijski,a l ɡ ǒ n k iː j s k iː,AE L G N K IH Y S K IH
algoritam,a l ɡ o r ǐ t a m,AE L G OH R T AE M
alhamiado,a l x a m i ǎː d o,AE L AE M IH D OH
ali,â l i,L IH
aligator,a l ǐ ɡ aː t o r,AE L G AE T OH R
alijansa,a l ǐ j a n s a,AE L Y AE N S AE
alijenacija,a l i j e n ǎː t͡s i j a,AE L IH Y EH N IH Y AE
aliteracija,a l i t e r ǎː t͡s i j a,AE L IH T EH R IH Y AE
aljamiado,a ʎ a m i a d o,AE AE M IH AE D OH
aljaska,ǎ ʎ a s k a,AE S K AE
aljaski,ǎ ʎ a s k iː,AE S K IH
aljkav,â ʎ k a ʋ,K AE
aljkavo,â ʎ k a ʋ o,K AE OH
alka,âː l k a,L K AE
alkaloid,a l k a l ǒ iː d,AE L K AE L IH D
alkohol,ǎ l k o x o l,L K OH OH L
alkoholizam,a l k o x o l ǐ z a m,AE L K OH OH L Z AE M
alkoholiziran,a l k o x o l ǐ z iː r a n,AE L K OH OH L Z IH R AE N
alkoholizirati,a l k o x o l i z ǐː r a t i,AE L K OH OH L IH Z R AE T IH
alkoholičar,a l k o x ǒ l i t͡ʃ aː r,AE L K OH L IH CH AE R
alkoholni,ǎ l k o x o l n iː,L K OH OH L N IH
alkoholno,ǎ l k o x o l n oː,L K OH OH L N OH
almaatski,a l m a â t s k iː,AE L M AE T S K IH
almanah,a l m ǎ n a x,AE L M N AE
alofon,â l o f oː n,L OH F OH N
alomorf,â l o m o r f,L OH M OH R F
alotrop,a l ǒ t r o p,AE L T R OH P
alpe,âː l p e,L P EH
alpinist,a l p ǐ n i s t,AE L P N IH S T
alpinski,ǎ l p iː n s k iː,L P IH N S K IH
alpski,âː l p s k iː,L P S K IH
alteracija,a l t e r ǎː t͡s i j a,AE L T EH R IH Y AE
alternacija,a l t e r n ǎː t͡s i j a,AE L T EH R N IH Y AE
alternativac,a l t e r n a t ǐː ʋ a t͡s,AE L T EH R N AE T AE
alternativan,â l t e r n a t iː ʋ a n,L T EH R N AE T IH AE N
altimetar,ǎ l t i m e t a r,L T IH M EH T AE R
altruistički,a l t r u ǐ s t i t ʃ k i,AE L T R UW S T IH T SH K IH
altruistički,a l t r u ǐ s t i t ʃ k iː,AE L T R UW S T IH T SH K IH
altruizam,a l t r u ǐ z a m,AE L T R UW Z AE M
aludirati,a l u d ǐː r a t i,AE L UW D R AE T IH
aluminij,a l ǔ m iː n i j,AE L M IH N IH Y
aluvijalan,â l u ʋ i j aː l a n,L UW IH Y AE L AE N
aluzija,ǎ l uː z i j a,L UW Z IH Y AE
alveola,a l ʋ e ǒː l a,AE L EH L AE
alveolar,a l ʋ e ǒ l aː r,AE L EH L AE R
alveolaran,â l ʋ e o l aː r a n,L EH OH L AE R AE N
alzaški,ǎ l z a ʃ k i,L Z AE SH K IH
alzaški,ǎ l z a ʃ k iː,L Z AE SH K IH
alžir,ǎ l ʒ iː r,L ZH IH R
alžirac,a l ʒ ǐː r a t͡s,AE L ZH R AE
alžirka,ǎ l ʒ iː r k a,L ZH IH R K AE
alžirski,ǎ l ʒ iː r s k iː,L ZH IH R S K IH
ama,â m a,M AE
amajlija,a m ǎ j l i j a,AE M Y L IH Y AE
amalgam,a m ǎ l ɡ aː m,AE M L G AE M
aman,ǎ m aː n,M AE N
amandman,a m ǎ n d m aː n,AE M N D M AE N
amater,a m ǎ t eː r,AE M T EH R
amaterizam,a m a t e r ǐ z a m,AE M AE T EH R Z AE M
amaterski,a m ǎ t eː r s k i,AE M T EH R S K IH
amaterski,a m ǎ t eː r s k iː,AE M T EH R S K IH
amaterstvo,a m a t ěː r s t ʋ o,AE M AE T R S T OH
amazonski,a m ǎ z oː n s k i,AE M Z OH N S K IH
amazonski,a m ǎ z oː n s k iː,AE M Z OH N S K IH
ambalaža,a m b a l ǎː ʒ a,AE M B AE L ZH AE
ambasada,a m b a s ǎː d a,AE M B AE S D AE
ambasador,a m b ǎ s aː d o r,AE M B S AE D OH R
ambasadorski,a m b ǎ s aː d o r s k i,AE M B S AE D OH R S K IH
ambasadorski,a m b ǎ s aː d o r s k iː,AE M B S AE D OH R S K IH
ambiciozan,â m b i t͡s i oː z a n,M B IH IH OH Z AE N
ambiciozno,â m b i t͡s i oː z n o,M B IH IH OH Z N OH
ambigvitet,a m b i ɡ ʋ ǐ t eː t,AE M B IH G T EH T
ambigvitetan,â m b i ɡ ʋ i t eː t a n,M B IH G IH T EH T AE N
ambijent,a m b ǐ j e n t,AE M B Y EH N T
ambijentalan,â m b i j e n t aː l a n,M B IH Y EH N T AE L AE N
ambis,ǎ m b i s,M B IH S
ambivalencija,a m b i ʋ a l ě n t͡s i j a,AE M B IH AE L N IH Y AE
ambivalentan,a m b i ʋ ǎ l e n t a n,AE M B IH L EH N T AE N
ambivalentnost,a m b i ʋ ǎ l e n t n oː s t,AE M B IH L EH N T N OH S T
ambrela,a m b r ěː l a,AE M B R L AE
ambrozija,ǎ m b r oː z i j a,M B R OH Z IH Y AE
ambulantni,a m b ǔ l a n t n iː,AE M B L AE N T N IH
ambulantski,a m b ǔ l a n t s k iː,AE M B L AE N T S K IH
ameba,a m ěː b a,AE M B AE
amebni,ǎ m eː b n iː,M EH B N IH
amelioracija,a m e l i o r ǎː t͡s i j a,AE M EH L IH OH R IH Y AE
amer,â m e r,M EH R
amerika,a m ě r i k a,AE M R IH K AE
amerikanac,a m e r i k ǎː n a t͡s,AE M EH R IH K N AE
amerikanizam,a m e r i k a n ǐ z a m,AE M EH R IH K AE N Z AE M
amerikanizirati,a m e r i k a n i z ǐː r a t i,AE M EH R IH K AE N IH Z R AE T IH
amerikanka,a m e r ǐ k aː n k a,AE M EH R K AE N K AE
američki,a m ě r i t ʃ k i,AE M R IH T SH K IH
američki,a m ě r i t ʃ k iː,AE M R IH T SH K IH
ametice,ǎ m e t i t͡s e,M EH T IH EH
ametist,a m ě t i s t,AE M T IH S T
amfibija,ǎ m f iː b i j a,M F IH B IH Y AE
amfiteatar,a m f i t ě aː t a r,AE M F IH T AE T AE R
amfiteatralan,a m f i t ě a t r aː l a n,AE M F IH T AE T R AE L AE N
amfora,ǎ m f o r a,M F OH R AE
amharski,ǎ m x a r s k iː,M AE R S K IH
amidža,ǎ m i d͡ʒ a,M IH JH AE
aminokiselina,a m i n o k i s e l ǐ n a,AE M IH N OH K IH S EH L N AE
amnestirati,a m n e s t ǐː r a t i,AE M N EH S T R AE T IH
amnezija,ǎ m n eː z i j a,M N EH Z IH Y AE
amo,âː m o,M OH
amoder,âː m o d e r,M OH D EH R
amoralan,â m o r aː l a n,M OH R AE L AE N
