word,ipa,ARPAbet
aberracje,a b ɛ r a t͡s j ɛ,AE B EH R AE Y EH
aberracji,a b ɛ r a t͡s j i,AE B EH R AE Y IH
aberracjo,a b ɛ r r a t͡s j ɔ,AE B EH R R AE Y AO
aberracjom,a b ɛ r a t͡s j ɔ m,AE B EH R AE Y AO M
aberracją,a b ɛ r a t͡s j ɔ̃,AE B EH R AE Y AO
aberrację,a b ɛ r a t͡s j ɛ,AE B EH R AE Y EH
aberracyj,a b ɛ r a t͡s ɨ j,AE B EH R AE IX Y
abidżan,a bʲ i d͡ʐ a n,AE B IH AE N
abiogenez,a bʲ ɔ ɡ ɛ n ɛ s,AE B AO G EH N EH S
abiogeneza,a bʲ ɔ ɡ ɛ n ɛ z a,AE B AO G EH N EH Z AE
abiogenezach,a bʲ ɔ ɡ ɛ n ɛ z a x,AE B AO G EH N EH Z AE
abiogenezami,a bʲ ɔ ɡ ɛ n ɛ z a mʲ i,AE B AO G EH N EH Z AE M IH
abiogenezie,a bʲ ɔ ɡ ɛ n ɛ ʑ ɛ,AE B AO G EH N EH EH
abiogenezo,a bʲ ɔ ɡ ɛ n ɛ z ɔ,AE B AO G EH N EH Z AO
abiogenezom,a bʲ ɔ ɡ ɛ n ɛ z ɔ m,AE B AO G EH N EH Z AO M
abiogenezy,a bʲ ɔ ɡ ɛ n ɛ z ɨ,AE B AO G EH N EH Z IX
abiogenezą,a bʲ ɔ ɡ ɛ n ɛ z ɔ̃,AE B AO G EH N EH Z AO
abiogenezę,a bʲ ɔ ɡ ɛ n ɛ z ɛ,AE B AO G EH N EH Z EH
abisyńscy,a bʲ i s ɨ ɲ s t͡s ɨ,AE B IH S IX S IX
abisyńska,a bʲ i s ɨ ɲ s k a,AE B IH S IX S K AE
abisyński,a bʲ i s ɨ ɲ s kʲ i,AE B IH S IX S K IH
abisyńskich,a bʲ i s ɨ ɲ s kʲ i x,AE B IH S IX S K IH
abisyńskie,a bʲ i s ɨ ɲ s kʲ ɛ,AE B IH S IX S K EH
abisyńskiego,a bʲ i s ɨ ɲ s kʲ ɛ ɡ ɔ,AE B IH S IX S K EH G AO
abisyńskiej,a bʲ i s ɨ ɲ s kʲ ɛ j,AE B IH S IX S K EH Y
abisyńskiemu,a bʲ i s ɨ ɲ s kʲ ɛ m u,AE B IH S IX S K EH M UW
abisyńskim,a bʲ i s ɨ ɲ s kʲ i m,AE B IH S IX S K IH M
abisyńskimi,a bʲ i s ɨ ɲ s kʲ i mʲ i,AE B IH S IX S K IH M IH
abisyńską,a bʲ i s ɨ ɲ s k ɔ̃,AE B IH S IX S K AO
abiturienci,a bʲ i t u rʲ j ɛ n t͡ɕ i,AE B IH T UW R Y EH N IH
abituriencie,a bʲ i t u rʲ j ɛ n t͡ɕ ɛ,AE B IH T UW R Y EH N EH
abiturient,a bʲ i t u rʲ j ɛ n t,AE B IH T UW R Y EH N T
abiturienta,a bʲ i t u rʲ j ɛ n t a,AE B IH T UW R Y EH N T AE
abiturientach,a bʲ i t u rʲ j ɛ n t a x,AE B IH T UW R Y EH N T AE
abiturientami,a bʲ i t u rʲ j ɛ n t a mʲ i,AE B IH T UW R Y EH N T AE M IH
abiturientem,a bʲ i t u rʲ j ɛ n t ɛ m,AE B IH T UW R Y EH N T EH M
abiturientom,a bʲ i t u rʲ j ɛ n t ɔ m,AE B IH T UW R Y EH N T AO M
abiturientowi,a bʲ i t u rʲ j ɛ n t ɔ vʲ i,AE B IH T UW R Y EH N T AO V IH
abiturientów,a bʲ i t u rʲ j ɛ n t u f,AE B IH T UW R Y EH N T UW F
ablacja,a b l a t͡s j a,AE B L AE Y AE
ablacjach,a b l a t͡s j a x,AE B L AE Y AE
ablacjami,a b l a t͡s j a mʲ i,AE B L AE Y AE M IH
ablacje,a b l a t͡s j ɛ,AE B L AE Y EH
ablacji,a b l a t͡s j i,AE B L AE Y IH
ablacjo,a b l a t͡s j ɔ,AE B L AE Y AO
ablacjom,a b l a t͡s j ɔ m,AE B L AE Y AO M
ablacją,a b l a t͡s j ɔ̃,AE B L AE Y AO
ablację,a b l a t͡s j ɛ,AE B L AE Y EH
ablacyj,a b l a t͡s ɨ j,AE B L AE IX Y
ablatyw,a b l a t ɨ f,AE B L AE T IX F
ablatywach,a b l a t ɨ v a x,AE B L AE T IX V AE
ablatywami,a b l a t ɨ v a mʲ i,AE B L AE T IX V AE M IH
ablatywem,a b l a t ɨ v ɛ m,AE B L AE T IX V EH M
ablatywie,a b l a t ɨ vʲ ɛ,AE B L AE T IX V EH
ablatywom,a b l a t ɨ v ɔ m,AE B L AE T IX V AO M
ablatywowi,a b l a t ɨ v ɔ vʲ i,AE B L AE T IX V AO V IH
ablatywu,a b l a t ɨ v u,AE B L AE T IX V UW
ablatywy,a b l a t ɨ v ɨ,AE B L AE T IX V IX
ablatywów,a b l a t ɨ v u f,AE B L AE T IX V UW F
abnegaci,a b n ɛ ɡ a t͡ɕ i,AE B N EH G AE IH
abnegacie,a b n ɛ ɡ a t͡ɕ ɛ,AE B N EH G AE EH
abnegat,a b n ɛ ɡ a t,AE B N EH G AE T
abnegata,a b n ɛ ɡ a t a,AE B N EH G AE T AE
abnegatach,a b n ɛ ɡ a t a x,AE B N EH G AE T AE
abnegatami,a b n ɛ ɡ a t a mʲ i,AE B N EH G AE T AE M IH
abnegatem,a b n ɛ ɡ a t ɛ m,AE B N EH G AE T EH M
abnegatom,a b n ɛ ɡ a t ɔ m,AE B N EH G AE T AO M
abnegatowi,a b n ɛ ɡ a t ɔ vʲ i,AE B N EH G AE T AO V IH
abnegatów,a b n ɛ ɡ a t u f,AE B N EH G AE T UW F
abo,a b ɔ,AE B AO
abonamencie,a b ɔ n a m ɛ n t͡ɕ ɛ,AE B AO N AE M EH N EH
abonamencik,a b ɔ n a m ɛ n t͡ɕ i k,AE B AO N AE M EH N IH K
abonamencikach,a b ɔ n a m ɛ n t͡ɕ i k a x,AE B AO N AE M EH N IH K AE
abonamencikami,a b ɔ n a m ɛ n t͡ɕ i k a mʲ i,AE B AO N AE M EH N IH K AE M IH
abonamenciki,a b ɔ n a m ɛ n t͡ɕ i kʲ i,AE B AO N AE M EH N IH K IH
abonamencikiem,a b ɔ n a m ɛ n t͡ɕ i kʲ ɛ m,AE B AO N AE M EH N IH K EH M
abonamencikom,a b ɔ n a m ɛ n t͡ɕ i k ɔ m,AE B AO N AE M EH N IH K AO M
abonamencikowi,a b ɔ n a m ɛ n t͡ɕ i k ɔ vʲ i,AE B AO N AE M EH N IH K AO V IH
abonamenciku,a b ɔ n a m ɛ n t͡ɕ i k u,AE B AO N AE M EH N IH K UW
abonamencików,a b ɔ n a m ɛ n t͡ɕ i k u f,AE B AO N AE M EH N IH K UW F
abonament,a b ɔ n a m ɛ n t,AE B AO N AE M EH N T
abonamentach,a b ɔ n a m ɛ n t a x,AE B AO N AE M EH N T AE
abonamentami,a b ɔ n a m ɛ n t a mʲ i,AE B AO N AE M EH N T AE M IH
abonamentem,a b ɔ n a m ɛ n t ɛ m,AE B AO N AE M EH N T EH M
abonamentom,a b ɔ n a m ɛ n t ɔ m,AE B AO N AE M EH N T AO M
abonamentowa,a b ɔ n a m ɛ n t ɔ v a,AE B AO N AE M EH N T AO V AE
abonamentowe,a b ɔ n a m ɛ n t ɔ v ɛ,AE B AO N AE M EH N T AO V EH
abonamentowego,a b ɔ n a m ɛ n t ɔ v ɛ ɡ ɔ,AE B AO N AE M EH N T AO V EH G AO
abonamentowej,a b ɔ n a m ɛ n t ɔ v ɛ j,AE B AO N AE M EH N T AO V EH Y
abonamentowemu,a b ɔ n a m ɛ n t ɔ v ɛ m u,AE B AO N AE M EH N T AO V EH M UW
abonamentowi,a b ɔ n a m ɛ n t ɔ vʲ i,AE B AO N AE M EH N T AO V IH
abonamentowy,a b ɔ n a m ɛ n t ɔ v ɨ,AE B AO N AE M EH N T AO V IX
abonamentowych,a b ɔ n a m ɛ n t ɔ v ɨ x,AE B AO N AE M EH N T AO V IX
abonamentowym,a b ɔ n a m ɛ n t ɔ v ɨ m,AE B AO N AE M EH N T AO V IX M
abonamentowymi,a b ɔ n a m ɛ n t ɔ v ɨ mʲ i,AE B AO N AE M EH N T AO V IX M IH
abonamentową,a b ɔ n a m ɛ n t ɔ v ɔ̃,AE B AO N AE M EH N T AO V AO
abonamentu,a b ɔ n a m ɛ n t u,AE B AO N AE M EH N T UW
abonamenty,a b ɔ n a m ɛ n t ɨ,AE B AO N AE M EH N T IX
abonamentów,a b ɔ n a m ɛ n t u f,AE B AO N AE M EH N T UW F
abonenccy,a b ɔ n ɛ n t͡s t͡s ɨ,AE B AO N EH N IX
abonenci,a b ɔ n ɛ n t͡ɕ i,AE B AO N EH N IH
abonencie,a b ɔ n ɛ n t͡ɕ ɛ,AE B AO N EH N EH
abonencka,a b ɔ n ɛ n t͡s k a,AE B AO N EH N K AE
abonencki,a b ɔ n ɛ n t͡s kʲ i,AE B AO N EH N K IH
abonenckich,a b ɔ n ɛ n t͡s kʲ i x,AE B AO N EH N K IH
abonenckie,a b ɔ n ɛ n t͡s kʲ ɛ,AE B AO N EH N K EH
abonenckiego,a b ɔ n ɛ n t͡s kʲ ɛ ɡ ɔ,AE B AO N EH N K EH G AO
abonenckiej,a b ɔ n ɛ n t͡s kʲ ɛ j,AE B AO N EH N K EH Y
abonenckiemu,a b ɔ n ɛ n t͡s kʲ ɛ m u,AE B AO N EH N K EH M UW
abonenckim,a b ɔ n ɛ n t͡s kʲ i m,AE B AO N EH N K IH M
abonenckimi,a b ɔ n ɛ n t͡s kʲ i mʲ i,AE B AO N EH N K IH M IH
abonencką,a b ɔ n ɛ n t͡s k ɔ̃,AE B AO N EH N K AO
abonent,a b ɔ n ɛ n t,AE B AO N EH N T
abonenta,a b ɔ n ɛ n t a,AE B AO N EH N T AE
abonentach,a b ɔ n ɛ n t a x,AE B AO N EH N T AE
abonentami,a b ɔ n ɛ n t a mʲ i,AE B AO N EH N T AE M IH
abonentce,a b ɔ n ɛ n t t͡s ɛ,AE B AO N EH N T EH
abonentek,a b ɔ n ɛ n t ɛ k,AE B AO N EH N T EH K
abonentem,a b ɔ n ɛ n t ɛ m,AE B AO N EH N T EH M
abonentka,a b ɔ n ɛ n t k a,AE B AO N EH N T K AE
abonentkach,a b ɔ n ɛ n t k a x,AE B AO N EH N T K AE
abonentkami,a b ɔ n ɛ n t k a mʲ i,AE B AO N EH N T K AE M IH
abonentki,a b ɔ n ɛ n t kʲ i,AE B AO N EH N T K IH
abonentko,a b ɔ n ɛ n t k ɔ,AE B AO N EH N T K AO
abonentkom,a b ɔ n ɛ n t k ɔ m,AE B AO N EH N T K AO M
abonentką,a b ɔ n ɛ n t k ɔ̃,AE B AO N EH N T K AO
abonentkę,a b ɔ n ɛ n t k ɛ,AE B AO N EH N T K EH
abonentom,a b ɔ n ɛ n t ɔ m,AE B AO N EH N T AO M
abonentowi,a b ɔ n ɛ n t ɔ vʲ i,AE B AO N EH N T AO V IH
abonentów,a b ɔ n ɛ n t u f,AE B AO N EH N T UW F
abonowali,a b ɔ n ɔ v a lʲ i,AE B AO N AO V AE L IH
abonowaliby,a b ɔ n ɔ v a lʲ i b ɨ,AE B AO N AO V AE L IH B IX
abonowalibyście,a b ɔ n ɔ v a lʲ i b ɨ ɕ t͡ɕ ɛ,AE B AO N AO V AE L IH B IX EH
abonowalibyśmy,a b ɔ n ɔ v a lʲ i b ɨ ɕ m ɨ,AE B AO N AO V AE L IH B IX M IX
abonowaliście,a b ɔ n ɔ v a lʲ i ɕ t͡ɕ ɛ,AE B AO N AO V AE L IH EH
abonowaliśmy,a b ɔ n ɔ v a lʲ i ɕ m ɨ,AE B AO N AO V AE L IH M IX
abonowana,a b ɔ n ɔ v a n a,AE B AO N AO V AE N AE
abonowane,a b ɔ n ɔ v a n ɛ,AE B AO N AO V AE N EH
abonowanego,a b ɔ n ɔ v a n ɛ ɡ ɔ,AE B AO N AO V AE N EH G AO
abonowanej,a b ɔ n ɔ v a n ɛ j,AE B AO N AO V AE N EH Y
abonowanemu,a b ɔ n ɔ v a n ɛ m u,AE B AO N AO V AE N EH M UW
abonowani,a b ɔ n ɔ v a ɲ i,AE B AO N AO V AE IH
abonowania,a b ɔ n ɔ v a ɲ a,AE B AO N AO V AE AE
abonowanie,a b ɔ n ɔ v a ɲ ɛ,AE B AO N AO V AE EH
abonowaniem,a b ɔ n ɔ v a ɲ ɛ m,AE B AO N AO V AE EH M
abonowaniu,a b ɔ n ɔ v a ɲ u,AE B AO N AO V AE UW
abonowano,a b ɔ n ɔ v a n ɔ,AE B AO N AO V AE N AO
abonowany,a b ɔ n ɔ v a n ɨ,AE B AO N AO V AE N IX
abonowanych,a b ɔ n ɔ v a n ɨ x,AE B AO N AO V AE N IX
abonowanym,a b ɔ n ɔ v a n ɨ m,AE B AO N AO V AE N IX M
abonowanymi,a b ɔ n ɔ v a n ɨ mʲ i,AE B AO N AO V AE N IX M IH
abonowaną,a b ɔ n ɔ v a n ɔ̃,AE B AO N AO V AE N AO
abonować,a b ɔ n ɔ v a t͡ɕ,AE B AO N AO V AE
abonował,a b ɔ n ɔ v a w,AE B AO N AO V AE W
abonowała,a b ɔ n ɔ v a w a,AE B AO N AO V AE W AE
abonowałaby,a b ɔ n ɔ v a w a b ɨ,AE B AO N AO V AE W AE B IX
abonowałabym,a b ɔ n ɔ v a w a b ɨ m,AE B AO N AO V AE W AE B IX M
abonowałabyś,a b ɔ n ɔ v a w a b ɨ ɕ,AE B AO N AO V AE W AE B IX
abonowałam,a b ɔ n ɔ v a w a m,AE B AO N AO V AE W AE M
abonowałaś,a b ɔ n ɔ v a w a ɕ,AE B AO N AO V AE W AE
abonowałby,a b ɔ n ɔ v a w b ɨ,AE B AO N AO V AE W B IX
abonowałbym,a b ɔ n ɔ v a w b ɨ m,AE B AO N AO V AE W B IX M
abonowałbyś,a b ɔ n ɔ v a w b ɨ ɕ,AE B AO N AO V AE W B IX
abonowałem,a b ɔ n ɔ v a w ɛ m,AE B AO N AO V AE W EH M
abonowałeś,a b ɔ n ɔ v a w ɛ ɕ,AE B AO N AO V AE W EH
abonowało,a b ɔ n ɔ v a w ɔ,AE B AO N AO V AE W AO
abonowałoby,a b ɔ n ɔ v a w ɔ b ɨ,AE B AO N AO V AE W AO B IX
abonowały,a b ɔ n ɔ v a w ɨ,AE B AO N AO V AE W IX
abonowałyby,a b ɔ n ɔ v a w ɨ b ɨ,AE B AO N AO V AE W IX B IX
abonowałybyście,a b ɔ n ɔ v a w ɨ b ɨ ɕ t͡ɕ ɛ,AE B AO N AO V AE W IX B IX EH
abonowałybyśmy,a b ɔ n ɔ v a w ɨ b ɨ ɕ m ɨ,AE B AO N AO V AE W IX B IX M IX
abonowałyście,a b ɔ n ɔ v a w ɨ ɕ t͡ɕ ɛ,AE B AO N AO V AE W IX EH
abonowałyśmy,a b ɔ n ɔ v a w ɨ ɕ m ɨ,AE B AO N AO V AE W IX M IX
abonuj,a b ɔ n u j,AE B AO N UW Y
abonujcie,a b ɔ n u j t͡ɕ ɛ,AE B AO N UW Y EH
abonuje,a b ɔ n u j ɛ,AE B AO N UW Y EH
abonujecie,a b ɔ n u j ɛ t͡ɕ ɛ,AE B AO N UW Y EH EH
abonujemy,a b ɔ n u j ɛ m ɨ,AE B AO N UW Y EH M IX
abonujesz,a b ɔ n u j ɛ ʂ,AE B AO N UW Y EH
abonujmy,a b ɔ n u j m ɨ,AE B AO N UW Y M IX
abonują,a b ɔ n u j ɔ̃,AE B AO N UW Y AO
abonując,a b ɔ n u j ɔ n t͡s,AE B AO N UW Y AO N
abonująca,a b ɔ n u j ɔ n t͡s a,AE B AO N UW Y AO N AE
abonujące,a b ɔ n u j ɔ n t͡s ɛ,AE B AO N UW Y AO N EH
abonującego,a b ɔ n u j ɔ n t͡s ɛ ɡ ɔ,AE B AO N UW Y AO N EH G AO
abonującej,a b ɔ n u j ɔ n t͡s ɛ j,AE B AO N UW Y AO N EH Y
abonującemu,a b ɔ n u j ɔ n t͡s ɛ m u,AE B AO N UW Y AO N EH M UW
abonujący,a b ɔ n u j ɔ n t͡s ɨ,AE B AO N UW Y AO N IX
abonujących,a b ɔ n u j ɔ n t͡s ɨ x,AE B AO N UW Y AO N IX
abonującym,a b ɔ n u j ɔ n t͡s ɨ m,AE B AO N UW Y AO N IX M
abonującymi,a b ɔ n u j ɔ n t͡s ɨ mʲ i,AE B AO N UW Y AO N IX M IH
abonującą,a b ɔ n u j ɔ n t͡s ɔ̃,AE B AO N UW Y AO N AO
abonuję,a b ɔ n u j ɛ,AE B AO N UW Y EH
aborcja,a b ɔ r t͡s j a,AE B AO R Y AE
aborcjach,a b ɔ r t͡s j a x,AE B AO R Y AE
aborcjami,a b ɔ r t͡s j a mʲ i,AE B AO R Y AE M IH
aborcje,a b ɔ r t͡s j ɛ,AE B AO R Y EH
aborcji,a b ɔ r t͡s j i,AE B AO R Y IH
aborcjo,a b ɔ r t͡s j ɔ,AE B AO R Y AO
aborcjom,a b ɔ r t͡s j ɔ m,AE B AO R Y AO M
aborcjonista,a b ɔ r t͡s j ɔ ɲ i s t a,AE B AO R Y AO IH S T AE
aborcjonistach,a b ɔ r t͡s j ɔ ɲ i s t a x,AE B AO R Y AO IH S T AE
aborcjonistami,a b ɔ r t͡s j ɔ ɲ i s t a mʲ i,AE B AO R Y AO IH S T AE M IH
aborcjonistka,a b ɔ r t͡s j ɔ ɲ i s t k a,AE B AO R Y AO IH S T K AE
aborcjonisto,a b ɔ r t͡s j ɔ ɲ i s t ɔ,AE B AO R Y AO IH S T AO
aborcjonistom,a b ɔ r t͡s j ɔ ɲ i s t ɔ m,AE B AO R Y AO IH S T AO M
aborcjonisty,a b ɔ r t͡s j ɔ ɲ i s t ɨ,AE B AO R Y AO IH S T IX
aborcjonistów,a b ɔ r t͡s j ɔ ɲ i s t u f,AE B AO R Y AO IH S T UW F
aborcjonistą,a b ɔ r t͡s j ɔ ɲ i s t ɔ̃,AE B AO R Y AO IH S T AO
aborcjonistę,a b ɔ r t͡s j ɔ ɲ i s t ɛ,AE B AO R Y AO IH S T EH
aborcjoniści,a b ɔ r t͡s j ɔ ɲ i ɕ t͡ɕ i,AE B AO R Y AO IH IH
aborcjoniście,a b ɔ r t͡s j ɔ ɲ i ɕ t͡ɕ ɛ,AE B AO R Y AO IH EH
aborcją,a b ɔ r t͡s j ɔ̃,AE B AO R Y AO
aborcję,a b ɔ r t͡s j ɛ,AE B AO R Y EH
aborcyj,a b ɔ r t͡s ɨ j,AE B AO R IX Y
abordaż,a b ɔ r d a ʂ,AE B AO R D AE
abordażach,a b ɔ r d a ʐ a x,AE B AO R D AE AE
abordażami,a b ɔ r d a ʐ a mʲ i,AE B AO R D AE AE M IH
abordaże,a b ɔ r d a ʐ ɛ,AE B AO R D AE EH
abordażem,a b ɔ r d a ʐ ɛ m,AE B AO R D AE EH M
abordażom,a b ɔ r d a ʐ ɔ m,AE B AO R D AE AO M
abordażowi,a b ɔ r d a ʐ ɔ vʲ i,AE B AO R D AE AO V IH
abordażu,a b ɔ r d a ʐ u,AE B AO R D AE UW
abordaży,a b ɔ r d a ʐ ɨ,AE B AO R D AE IX
abordażów,a b ɔ r d a ʐ u f,AE B AO R D AE UW F
abraham,a b r a x a m,AE B R AE AE M
abrahamizm,a b r a x a mʲ i z m,AE B R AE AE M IH Z M
abrahamizmem,a b r a x a mʲ i z m ɛ m,AE B R AE AE M IH Z M EH M
abrahamizmie,a b r a x a mʲ i z mʲ ɛ,AE B R AE AE M IH Z M EH
abrahamizmowi,a b r a x a mʲ i z m ɔ vʲ i,AE B R AE AE M IH Z M AO V IH
abrahamizmu,a b r a x a mʲ i z m u,AE B R AE AE M IH Z M UW
abrakadabra,a b r a k a d a b r a,AE B R AE K AE D AE B R AE
abram,a b r a m,AE B R AE M
abramowicz,a b r a m ɔ vʲ i t͡ʂ,AE B R AE M AO V IH
abraszewska,a b r a ʂ ɛ f s k a,AE B R AE EH F S K AE
abraszewski,a b r a ʂ ɛ f s kʲ i,AE B R AE EH F S K IH
abrewiacja,a b r ɛ vʲ a t͡s j a,AE B R EH V AE Y AE
abrewiatura,a b r ɛ vʲ a t u r a,AE B R EH V AE T UW R AE
absolut,a p s ɔ l u t,AE P S AO L UW T
absolutnie,a p s ɔ l u t ɲ ɛ,AE P S AO L UW T EH
absolutny,a p s ɔ l u t n ɨ,AE P S AO L UW T N IX
absolutorium,a p s ɔ l u t ɔ rʲ j u m,AE P S AO L UW T AO R Y UW M
absolutyzm,a p s ɔ l u t ɨ z m,AE P S AO L UW T IX Z M
absolutyzmem,a p s ɔ l u t ɨ z m ɛ m,AE P S AO L UW T IX Z M EH M
