word,ipa,ARPAbet
abastionadas,a b a s t j o n a d a s,AE B AE S T Y OH N AE D AE S
abastionado,a b a s t j o n a d o,AE B AE S T Y OH N AE D OH
abastionados,a b a s t j o n a d o s,AE B AE S T Y OH N AE D OH S
abastionar,a b a s t j o n a ɾ,AE B AE S T Y OH N AE DX
abasto,a b a s t o,AE B AE S T OH
abastáramos,a b a s t a ɾ a m o s,AE B AE S T AE DX AE M OH S
abastés,a b a s t e s,AE B AE S T EH S
abasí,a b a s i,AE B AE S IH
abata,a b a t a,AE B AE T AE
abatamos,a b a t a m o s,AE B AE T AE M OH S
abatanada,a b a t a n a d a,AE B AE T AE N AE D AE
abatanadas,a b a t a n a d a s,AE B AE T AE N AE D AE S
abatanado,a b a t a n a d o,AE B AE T AE N AE D OH
abatanados,a b a t a n a d o s,AE B AE T AE N AE D OH S
abatanar,a b a t a n a ɾ,AE B AE T AE N AE DX
abatas,a b a t a s,AE B AE T AE S
abatata,a b a t a t a,AE B AE T AE T AE
abatatada,a b a t a t a d a,AE B AE T AE T AE D AE
abatatadas,a b a t a t a d a s,AE B AE T AE T AE D AE S
abatatado,a b a t a t a d o,AE B AE T AE T AE D OH
abatatados,a b a t a t a d o s,AE B AE T AE T AE D OH S
abatatar,a b a t a t a ɾ,AE B AE T AE T AE DX
abatate,a b a t a t e,AE B AE T AE T EH
abatato,a b a t a t o,AE B AE T AE T OH
abate,a b a t e,AE B AE T EH
abates,a b a t e s,AE B AE T EH S
abatible,a b a t i b l e,AE B AE T IH B L EH
abatida,a b a t i d a,AE B AE T IH D AE
abatidas,a b a t i d a s,AE B AE T IH D AE S
abatido,a b a t i d o,AE B AE T IH D OH
abatidos,a b a t i d o s,AE B AE T IH D OH S
abatimiento,a b a t i m j e n t o,AE B AE T IH M Y EH N T OH
abatir,a b a t i ɾ,AE B AE T IH DX
abato,a b a t o,AE B AE T OH
abatojada,a b a t o x a d a,AE B AE T OH AE D AE
abatojadas,a b a t o x a d a s,AE B AE T OH AE D AE S
abatojado,a b a t o x a d o,AE B AE T OH AE D OH
abatojados,a b a t o x a d o s,AE B AE T OH AE D OH S
abatojar,a b a t o x a ɾ,AE B AE T OH AE DX
abatíamos,a b a t i a m o s,AE B AE T IH AE M OH S
abaxial,a b a ɡ s j a l,AE B AE G S Y AE L
abaxiales,a b a ɡ s j a l e s,AE B AE G S Y AE L EH S
abañada,a b a ɲ a d a,AE B AE AE D AE
abañadas,a b a ɲ a d a s,AE B AE AE D AE S
abañado,a b a ɲ a d o,AE B AE AE D OH
abañados,a b a ɲ a d o s,AE B AE AE D OH S
abdica,a b d i k a,AE B D IH K AE
abdicada,a b d i k a d a,AE B D IH K AE D AE
abdicadas,a b d i k a d a s,AE B D IH K AE D AE S
abdicado,a b d i k a d o,AE B D IH K AE D OH
abdicados,a b d i k a d o s,AE B D IH K AE D OH S
abdicamos,a b d i k a m o s,AE B D IH K AE M OH S
abdicando,a b d i k a n d o,AE B D IH K AE N D OH
abdicar,a b d i k a ɾ,AE B D IH K AE DX
abdicara,a b d i k a ɾ a,AE B D IH K AE DX AE
abdicaras,a b d i k a ɾ a s,AE B D IH K AE DX AE S
abdicareis,a b d i k a ɾ e i s,AE B D IH K AE DX EH IH S
abdicaremos,a b d i k a ɾ e m o s,AE B D IH K AE DX EH M OH S
abdicares,a b d i k a ɾ e s,AE B D IH K AE DX EH S
abdicará,a b d i k a ɾ a,AE B D IH K AE DX AE
abdicarás,a b d i k a ɾ a s,AE B D IH K AE DX AE S
abdicaré,a b d i k a ɾ e,AE B D IH K AE DX EH
abdicaríamos,a b d i k a ɾ i a m o s,AE B D IH K AE DX IH AE M OH S
abdicas,a b d i k a s,AE B D IH K AE S
abdicaste,a b d i k a s t e,AE B D IH K AE S T EH
abdicativa,a b d i k a t i b a,AE B D IH K AE T IH B AE
abdicativas,a b d i k a t i b a s,AE B D IH K AE T IH B AE S
abdicativo,a b d i k a t i b o,AE B D IH K AE T IH B OH
abdicativos,a b d i k a t i b o s,AE B D IH K AE T IH B OH S
abdico,a b d i k o,AE B D IH K OH
abdicáramos,a b d i k a ɾ a m o s,AE B D IH K AE DX AE M OH S
abdique,a b d i k e,AE B D IH K EH
abdiquemos,a b d i k e m o s,AE B D IH K EH M OH S
abdiques,a b d i k e s,AE B D IH K EH S
abdomen,a b d o m e n,AE B D OH M EH N
abdominal,a b d o m i n a l,AE B D OH M IH N AE L
abdominales,a b d o m i n a l e s,AE B D OH M IH N AE L EH S
abductor,a b d u ɡ t o ɾ,AE B D UW G T OH DX
abedul,a b e d u l,AE B EH D UW L
abeja,a b e x a,AE B EH AE
abejar,a b e x a ɾ,AE B EH AE DX
abejarrón,a b e x a r o n,AE B EH AE R OH N
abejaruco,a b e x a ɾ u k o,AE B EH AE DX UW K OH
abejeada,a b e x e a d a,AE B EH EH AE D AE
abejeadas,a b e x e a d a s,AE B EH EH AE D AE S
abejeado,a b e x e a d o,AE B EH EH AE D OH
abejeados,a b e x e a d o s,AE B EH EH AE D OH S
abejear,a b e x e a ɾ,AE B EH EH AE DX
abejera,a b e x e ɾ a,AE B EH EH DX AE
abejero,a b e x e ɾ o,AE B EH EH DX OH
abejoneada,a b e x o n e a d a,AE B EH OH N EH AE D AE
abejoneadas,a b e x o n e a d a s,AE B EH OH N EH AE D AE S
abejoneado,a b e x o n e a d o,AE B EH OH N EH AE D OH
abejoneados,a b e x o n e a d o s,AE B EH OH N EH AE D OH S
abejonear,a b e x o n e a ɾ,AE B EH OH N EH AE DX
abejorreada,a b e x o r e a d a,AE B EH OH R EH AE D AE
abejorreadas,a b e x o r e a d a s,AE B EH OH R EH AE D AE S
abejorreado,a b e x o r e a d o,AE B EH OH R EH AE D OH
abejorreados,a b e x o r e a d o s,AE B EH OH R EH AE D OH S
abejorrear,a b e x o r e a ɾ,AE B EH OH R EH AE DX
abejorro,a b e x o r o,AE B EH OH R OH
abejuno,a b e x u n o,AE B EH UW N OH
abejón,a b e x o n,AE B EH OH N
abeldada,a b e l d a d a,AE B EH L D AE D AE
abeldadas,a b e l d a d a s,AE B EH L D AE D AE S
abeldado,a b e l d a d o,AE B EH L D AE D OH
abeldados,a b e l d a d o s,AE B EH L D AE D OH S
abeldar,a b e l d a ɾ,AE B EH L D AE DX
abeliana,a b e l j a n a,AE B EH L Y AE N AE
abelmosco,a b e l m o s k o,AE B EH L M OH S K OH
abemolada,a b e m o l a d a,AE B EH M OH L AE D AE
abemoladas,a b e m o l a d a s,AE B EH M OH L AE D AE S
abemolado,a b e m o l a d o,AE B EH M OH L AE D OH
abemolados,a b e m o l a d o s,AE B EH M OH L AE D OH S
abemolar,a b e m o l a ɾ,AE B EH M OH L AE DX
abendaño,a b e n d a ɲ o,AE B EH N D AE OH
aberrada,a b e r a d a,AE B EH R AE D AE
aberradas,a b e r a d a s,AE B EH R AE D AE S
aberrado,a b e r a d o,AE B EH R AE D OH
aberrados,a b e r a d o s,AE B EH R AE D OH S
aberramos,a b e r a m o s,AE B EH R AE M OH S
aberrando,a b e r a n d o,AE B EH R AE N D OH
aberrante,a b e r a n t e,AE B EH R AE N T EH
aberrantes,a b e r a n t e s,AE B EH R AE N T EH S
aberrar,a b e r a ɾ,AE B EH R AE DX
aberraríamos,a b e r a ɾ i a m o s,AE B EH R AE DX IH AE M OH S
aberráramos,a b e r a ɾ a m o s,AE B EH R AE DX AE M OH S
abertal,a b e r t a l,AE B EH R T AE L
abertales,a b e r t a l e s,AE B EH R T AE L EH S
abertura,a b e r t u ɾ a,AE B EH R T UW DX AE
abesiva,a b e s i b a,AE B EH S IH B AE
abesivas,a b e s i b a s,AE B EH S IH B AE S
abesivo,a b e s i b o,AE B EH S IH B OH
abesivos,a b e s i b o s,AE B EH S IH B OH S
abetal,a b e t a l,AE B EH T AE L
abeto,a b e t o,AE B EH T OH
abetunada,a b e t u n a d a,AE B EH T UW N AE D AE
abetunadas,a b e t u n a d a s,AE B EH T UW N AE D AE S
abetunado,a b e t u n a d o,AE B EH T UW N AE D OH
abetunados,a b e t u n a d o s,AE B EH T UW N AE D OH S
abetunar,a b e t u n a ɾ,AE B EH T UW N AE DX
abiertamente,a b j e r t a m e n t e,AE B Y EH R T AE M EH N T EH
abierto,a b j e r t o,AE B Y EH R T OH
abigarrada,a b i ɡ a r a d a,AE B IH G AE R AE D AE
abigarrado,a b i ɡ a r a d o,AE B IH G AE R AE D OH
abigarramiento,a b i ɡ a r a m j e n t o,AE B IH G AE R AE M Y EH N T OH
abigarrar,a b i ɡ a r a ɾ,AE B IH G AE R AE DX
abigaíl,a b i ɡ a i l,AE B IH G AE IH L
abigeato,a b i x e a t o,AE B IH EH AE T OH
abigeo,a b i x e o,AE B IH EH OH
abintestato,a b i n t e s t a t o,AE B IH N T EH S T AE T OH
abisagrada,a b i s a ɡ ɾ a d a,AE B IH S AE G DX AE D AE
abisagradas,a b i s a ɡ ɾ a d a s,AE B IH S AE G DX AE D AE S
abisagrado,a b i s a ɡ ɾ a d o,AE B IH S AE G DX AE D OH
abisagrados,a b i s a ɡ ɾ a d o s,AE B IH S AE G DX AE D OH S
abisagrar,a b i s a ɡ ɾ a ɾ,AE B IH S AE G DX AE DX
abisal,a b i s a l,AE B IH S AE L
abisinia,a b i s i n j a,AE B IH S IH N Y AE
abisinio,a b i s i n j o,AE B IH S IH N Y OH
abismada,a b i s m a d a,AE B IH S M AE D AE
abismadas,a b i s m a d a s,AE B IH S M AE D AE S
abismado,a b i s m a d o,AE B IH S M AE D OH
abismados,a b i s m a d o s,AE B IH S M AE D OH S
abismal,a b i s m a l,AE B IH S M AE L
abismamos,a b i s m a m o s,AE B IH S M AE M OH S
abismar,a b i s m a ɾ,AE B IH S M AE DX
abismaríamos,a b i s m a ɾ i a m o s,AE B IH S M AE DX IH AE M OH S
abismo,a b i s m o,AE B IH S M OH
abismáramos,a b i s m a ɾ a m o s,AE B IH S M AE DX AE M OH S
abivas,a b i b a s,AE B IH B AE S
abiyanés,a b i ɟ͡ʝ a n e s,AE B IH AE N EH S
abiótico,a b j o t i k o,AE B Y OH T IH K OH
abjad,a b x a d,AE B AE D
abjasia,a b x a s j a,AE B AE S Y AE
abjasio,a b x a s j o,AE B AE S Y OH
abjaso,a b x a s o,AE B AE S OH
abjura,a b x u ɾ a,AE B UW DX AE
abjurada,a b x u ɾ a d a,AE B UW DX AE D AE
abjuradas,a b x u ɾ a d a s,AE B UW DX AE D AE S
abjurado,a b x u ɾ a d o,AE B UW DX AE D OH
abjurados,a b x u ɾ a d o s,AE B UW DX AE D OH S
abjuramos,a b x u ɾ a m o s,AE B UW DX AE M OH S
abjurando,a b x u ɾ a n d o,AE B UW DX AE N D OH
abjurar,a b x u ɾ a ɾ,AE B UW DX AE DX
abjuraríamos,a b x u ɾ a ɾ i a m o s,AE B UW DX AE DX IH AE M OH S
abjuras,a b x u ɾ a s,AE B UW DX AE S
abjure,a b x u ɾ e,AE B UW DX EH
abjuro,a b x u ɾ o,AE B UW DX OH
abjuráramos,a b x u ɾ a ɾ a m o s,AE B UW DX AE DX AE M OH S
ablandado,a b l a n d a d o,AE B L AE N D AE D OH
ablandamiento,a b l a n d a m j e n t o,AE B L AE N D AE M Y EH N T OH
ablandar,a b l a n d a ɾ,AE B L AE N D AE DX
ablandarse,a b l a n d a r s e,AE B L AE N D AE R S EH
ablativa,a b l a t i b a,AE B L AE T IH B AE
ablativas,a b l a t i b a s,AE B L AE T IH B AE S
ablativo,a b l a t i b o,AE B L AE T IH B OH
ablativos,a b l a t i b o s,AE B L AE T IH B OH S
abluida,a b l w i d a,AE B L W IH D AE
abluidas,a b l w i d a s,AE B L W IH D AE S
abluido,a b l w i d o,AE B L W IH D OH
abluidos,a b l w i d o s,AE B L W IH D OH S
abluiríamos,a b l w i ɾ i a m o s,AE B L W IH DX IH AE M OH S
abluíamos,a b l w i a m o s,AE B L W IH AE M OH S
abnegada,a b n e ɡ a d a,AE B N EH G AE D AE
abnegadas,a b n e ɡ a d a s,AE B N EH G AE D AE S
abnegado,a b n e ɡ a d o,AE B N EH G AE D OH
abnegados,a b n e ɡ a d o s,AE B N EH G AE D OH S
abnegamos,a b n e ɡ a m o s,AE B N EH G AE M OH S
abnegar,a b n e ɡ a ɾ,AE B N EH G AE DX
abnegaríamos,a b n e ɡ a ɾ i a m o s,AE B N EH G AE DX IH AE M OH S
abnegáramos,a b n e ɡ a ɾ a m o s,AE B N EH G AE DX AE M OH S
abobada,a b o b a d a,AE B OH B AE D AE
abobadas,a b o b a d a s,AE B OH B AE D AE S
abobado,a b o b a d o,AE B OH B AE D OH
abobados,a b o b a d o s,AE B OH B AE D OH S
abobaliconado,a b o b a l i k o n a d o,AE B OH B AE L IH K OH N AE D OH
abobar,a b o b a ɾ,AE B OH B AE DX
abobra,a b o b ɾ a,AE B OH B DX AE
abocada,a b o k a d a,AE B OH K AE D AE
abocadas,a b o k a d a s,AE B OH K AE D AE S
abocado,a b o k a d o,AE B OH K AE D OH
abocados,a b o k a d o s,AE B OH K AE D OH S
abocar,a b o k a ɾ,AE B OH K AE DX
abochornada,a b o t͡ʃ o r n a d a,AE B OH CH OH R N AE D AE
abochornadas,a b o t͡ʃ o r n a d a s,AE B OH CH OH R N AE D AE S
abochornado,a b o t͡ʃ o r n a d o,AE B OH CH OH R N AE D OH
abochornados,a b o t͡ʃ o r n a d o s,AE B OH CH OH R N AE D OH S
abochornar,a b o t͡ʃ o r n a ɾ,AE B OH CH OH R N AE DX
abochornarse,a b o t͡ʃ o r n a r s e,AE B OH CH OH R N AE R S EH
abofar,a b o f a ɾ,AE B OH F AE DX
abofeteada,a b o f e t e a d a,AE B OH F EH T EH AE D AE
abofeteadas,a b o f e t e a d a s,AE B OH F EH T EH AE D AE S
abofeteado,a b o f e t e a d o,AE B OH F EH T EH AE D OH
abofeteados,a b o f e t e a d o s,AE B OH F EH T EH AE D OH S
abofetear,a b o f e t e a ɾ,AE B OH F EH T EH AE DX
abogada,a b o ɡ a d a,AE B OH G AE D AE
abogadas,a b o ɡ a d a s,AE B OH G AE D AE S
abogade,a b o ɡ a d e,AE B OH G AE D EH
abogades,a b o ɡ a d e s,AE B OH G AE D EH S
abogado,a b o ɡ a d o,AE B OH G AE D OH
abogados,a b o ɡ a d o s,AE B OH G AE D OH S
abogar,a b o ɡ a ɾ,AE B OH G AE DX
abolengo,a b o l e n ɡ o,AE B OH L EH N G OH
abolida,a b o l i d a,AE B OH L IH D AE
abolidas,a b o l i d a s,AE B OH L IH D AE S
abolido,a b o l i d o,AE B OH L IH D OH
abolidos,a b o l i d o s,AE B OH L IH D OH S
abolir,a b o l i ɾ,AE B OH L IH DX
abolsado,a b o l s a d o,AE B OH L S AE D OH
abomaso,a b o m a s o,AE B OH M AE S OH
abombado,a b o m b a d o,AE B OH M B AE D OH
abombar,a b o m b a ɾ,AE B OH M B AE DX
abombarse,a b o m b a r s e,AE B OH M B AE R S EH
abominable,a b o m i n a b l e,AE B OH M IH N AE B L EH
