word,ipa,ARPAbet
akceptovatelný,a k t͡s ɛ p t o v a t ɛ l n iː,AE K EH P T OH V AE T EH L N IH
akcie,a k t͡s ɪ j ɛ,AE K IH Y EH
akcionář,a k t͡s ɪ j o n aː r̝̊,AE K IH Y OH N AE R
akciový,a k t͡s ɪ j o v iː,AE K IH Y OH V IH
akkadský,a k a t s k iː,AE K AE T S K IH
akkadština,a k a t ʃ c ɪ n a,AE K AE T SH IH N AE
akkaďan,a k a ɟ a n,AE K AE AE N
aklimatizace,a k l ɪ m a t ɪ z a t͡s ɛ,AE K L IH M AE T IH Z AE EH
aklimatizovaný,a k l ɪ m a t ɪ z o v a n iː,AE K L IH M AE T IH Z OH V AE N IH
aklimatizovat,a k l ɪ m a t ɪ z o v a t,AE K L IH M AE T IH Z OH V AE T
akomodace,a k o m o d a t͡s ɛ,AE K OH M OH D AE EH
akordeon,a k o r d ɛ o n,AE K OH R D EH OH N
akorát,a k o r aː t,AE K OH R AE T
akrobat,a k r o b a t,AE K R OH B AE T
akrobatický,a k r o b a t ɪ t͡s k iː,AE K R OH B AE T IH K IH
akropole,a k r o p o l ɛ,AE K R OH P OH L EH
akropolis,a k r o p o l ɪ s,AE K R OH P OH L IH S
akrylát,a k r ɪ l aː t,AE K R IH L AE T
akt,a k t,AE K T
aktinid,a k c ɪ ɲ ɪ t,AE K IH IH T
aktiv,a k t i f,AE K T IH F
aktiv,a k t iː f,AE K T IH F
aktivismus,a k t ɪ v ɪ z m u s,AE K T IH V IH Z M UW S
aktivista,a k t ɪ v ɪ s t a,AE K T IH V IH S T AE
aktivistický,a k t ɪ v ɪ s t ɪ t͡s k iː,AE K T IH V IH S T IH K IH
aktivita,a k t ɪ v ɪ t a,AE K T IH V IH T AE
aktivní,a k t ɪ v ɲ iː,AE K T IH V IH
aktivně,a k t ɪ v ɲ ɛ,AE K T IH V EH
aktivovat,a k t ɪ v o v a t,AE K T IH V OH V AE T
aktovka,a k t o f k a,AE K T OH F K AE
aktualizace,a k t u a l ɪ z a t͡s ɛ,AE K T UW AE L IH Z AE EH
aktualizovaný,a k t u a l ɪ z o v a n iː,AE K T UW AE L IH Z OH V AE N IH
aktualizovat,a k t u a l ɪ z o v a t,AE K T UW AE L IH Z OH V AE T
aktuální,a k t u aː l ɲ iː,AE K T UW AE L IH
aktuálně,a k t u aː l ɲ ɛ,AE K T UW AE L EH
aktér,a k t ɛː r,AE K T EH R
akupresura,a k u p r ɛ s u r a,AE K UW P R EH S UW R AE
akupunktura,a k u p u ŋ k t u r a,AE K UW P UW NG K T UW R AE
akustický,a k u s t ɪ t͡s k iː,AE K UW S T IH K IH
akustika,a k u s t ɪ k a,AE K UW S T IH K AE
akutní,a k u t ɲ iː,AE K UW T IH
akvarista,a k v a r ɪ s t a,AE K V AE R IH S T AE
akvizice,a k v ɪ z ɪ t͡s ɛ,AE K V IH Z IH EH
akviziční,a k v ɪ z ɪ t͡ʃ ɲ iː,AE K V IH Z IH CH IH
akát,a k aː t,AE K AE T
akční,a k t͡ʃ ɲ iː,AE K CH IH
alabama,a l a b aː m a,AE L AE B AE M AE
alabastr,a l a b a s t r̩,AE L AE B AE S T R
alan,a l a n,AE L AE N
alarm,a l a r m,AE L AE R M
alarmismus,a l a r m ɪ z m u s,AE L AE R M IH Z M UW S
alarmista,a l a r m ɪ s t a,AE L AE R M IH S T AE
alarmistický,a l a r m ɪ s t ɪ t͡s k iː,AE L AE R M IH S T IH K IH
alb,a l p,AE L P
alba,a l b a,AE L B AE
albech,a l b ɛ x,AE L B EH
albem,a l b ɛ m,AE L B EH M
albert,a l b ɛ r t,AE L B EH R T
albu,a l b u,AE L B UW
alby,a l b ɪ,AE L B IH
albánec,a l b aː n ɛ t͡s,AE L B AE N EH
albánie,a l b aː n ɪ j ɛ,AE L B AE N IH Y EH
albánka,a l b aː ŋ k a,AE L B AE NG K AE
albánský,a l b aː n s k iː,AE L B AE N S K IH
albánština,a l b aː n ʃ c ɪ n a,AE L B AE N SH IH N AE
albína,a l b iː n a,AE L B IH N AE
albínin,a l b iː ɲ ɪ n,AE L B IH IH N
albínka,a l b iː ŋ k a,AE L B IH NG K AE
albům,a l b uː m,AE L B UW M
aldehyd,a l d ɛ ɦ ɪ t,AE L D EH IH T
alegoricky,a l ɛ ɡ o r ɪ t͡s k ɪ,AE L EH G OH R IH K IH
alegorický,a l ɛ ɡ o r ɪ t͡s k iː,AE L EH G OH R IH K IH
alegorie,a l ɛ ɡ o r ɪ j ɛ,AE L EH G OH R IH Y EH
alej,a l ɛ j,AE L EH Y
aleluja,a l ɛ l u j a,AE L EH L UW Y AE
alemánský,a l ɛ m aː n s k iː,AE L EH M AE N S K IH
alemánština,a l ɛ m aː n ʃ c ɪ n a,AE L EH M AE N SH IH N AE
alena,a l ɛ n a,AE L EH N AE
alenin,a l ɛ ɲ ɪ n,AE L EH IH N
alenka,a l ɛ ŋ k a,AE L EH NG K AE
alenčin,a l ɛ n t͡ʃ ɪ n,AE L EH N CH IH N
alergen,a l ɛ r ɡ ɛ n,AE L EH R G EH N
alergický,a l ɛ r ɡ ɪ t͡s k iː,AE L EH R G IH K IH
alergie,a l ɛ r ɡ ɪ j ɛ,AE L EH R G IH Y EH
alergolog,a l ɛ r ɡ o l o k,AE L EH R G OH L OH K
alergologie,a l ɛ r ɡ o l o ɡ ɪ j ɛ,AE L EH R G OH L OH G IH Y EH
alergoložka,a l ɛ r ɡ o l o ʃ k a,AE L EH R G OH L OH SH K AE
alespoň,a l ɛ s p o ɲ,AE L EH S P OH
alexandr,a l ɛ k s a n d r̩,AE L EH K S AE N D R
alexandra,a l ɛ k s a n d r a,AE L EH K S AE N D R AE
alexandřin,a l ɛ k s a n d r̝ ɪ n,AE L EH K S AE N D R IH N
alexej,a l ɛ k s ɛ j,AE L EH K S EH Y
aleš,a l ɛ ʃ,AE L EH SH
alešův,a l ɛ ʃ uː f,AE L EH SH UW F
algebra,a l ɡ ɛ b r a,AE L G EH B R AE
algoritmický,a l ɡ o r ɪ t m ɪ t͡s k iː,AE L G OH R IH T M IH K IH
algoritmus,a l ɡ o r ɪ t m u s,AE L G OH R IH T M UW S
alibaba,a l ɪ b a b a,AE L IH B AE B AE
alibismus,a l ɪ b ɪ z m u s,AE L IH B IH Z M UW S
alibista,a l ɪ b ɪ s t a,AE L IH B IH S T AE
alice,a l ɪ t͡s ɛ,AE L IH EH
alicin,a l ɪ t͡s ɪ n,AE L IH IH N
aligátor,a l ɪ ɡ aː t o r,AE L IH G AE T OH R
alimenty,a l ɪ m ɛ n t ɪ,AE L IH M EH N T IH
alimentární,a l ɪ m ɛ n t aː r ɲ iː,AE L IH M EH N T AE R IH
alička,a l ɪ t͡ʃ k a,AE L IH CH K AE
aljašan,a l j a ʃ a n,AE L Y AE SH AE N
aljašský,a l j a ʃ s k iː,AE L Y AE SH S K IH
alka,a l k a,AE L K AE
alkohol,a l k o ɦ o l,AE L K OH OH L
alkoholický,a l k o ɦ o l ɪ t͡s k iː,AE L K OH OH L IH K IH
alkoholik,a l k o ɦ o l ɪ k,AE L K OH OH L IH K
alkoholismus,a l k o ɦ o l ɪ z m u s,AE L K OH OH L IH Z M UW S
alkoholizmus,a l k o ɦ o l ɪ z m u s,AE L K OH OH L IH Z M UW S
alkoholička,a l k o ɦ o l ɪ t͡ʃ k a,AE L K OH OH L IH CH K AE
alkoun,a l k o u n,AE L K OH UW N
almanach,a l m a n a x,AE L M AE N AE
almara,a l m a r a,AE L M AE R AE
alois,a l o ɪ s,AE L OH IH S
alokace,a l o k a t͡s ɛ,AE L OH K AE EH
alokovat,a l o k o v a t,AE L OH K OH V AE T
alokátor,a l o k aː t o r,AE L OH K AE T OH R
alpaka,a l p a k a,AE L P AE K AE
alpský,a l p s k iː,AE L P S K IH
alsasan,a l s a s a n,AE L S AE S AE N
alsasko,a l s a s k o,AE L S AE S K OH
alsaský,a l s a s k iː,AE L S AE S K IH
alt,a l t,AE L T
altaj,a l t a j,AE L T AE Y
alternativa,a l t ɛ r n a t ɪ v a,AE L T EH R N AE T IH V AE
alternátor,a l t ɛ r n aː t o r,AE L T EH R N AE T OH R
altruismus,a l t r u ɪ z m u s,AE L T R UW IH Z M UW S
altruistický,a l t r u ɪ s t ɪ t͡s k iː,AE L T R UW IH S T IH K IH
altruizmus,a l t r u ɪ z m u s,AE L T R UW IH Z M UW S
altánek,a l t aː n ɛ k,AE L T AE N EH K
alveolární,a l v ɛ o l aː r ɲ iː,AE L V EH OH L AE R IH
alánek,a l aː n ɛ k,AE L AE N EH K
alébrž,a l ɛː b r̩ ʃ,AE L EH B R SH
alča,a l t͡ʃ a,AE L CH AE
alšův,a l ʃ uː f,AE L SH UW F
alžběta,a l ʒ b j ɛ t a,AE L ZH B Y EH T AE
alžbětka,a l ʒ b j ɛ t k a,AE L ZH B Y EH T K AE
alžír,a l ʒ iː r,AE L ZH IH R
alžírsko,a l ʒ iː r s k o,AE L ZH IH R S K OH
alžírský,a l ʒ iː r s k iː,AE L ZH IH R S K IH
alžířan,a l ʒ iː r̝ a n,AE L ZH IH R AE N
alžířanka,a l ʒ iː r̝ a ŋ k a,AE L ZH IH R AE NG K AE
amada,a m a d a,AE M AE D AE
amadina,a m a d ɪ n a,AE M AE D IH N AE
amarant,a m a r a n t,AE M AE R AE N T
amatér,a m a t ɛː r,AE M AE T EH R
amatérismus,a m a t ɛː r ɪ z m u s,AE M AE T EH R IH Z M UW S
amatérka,a m a t ɛː r k a,AE M AE T EH R K AE
amatérský,a m a t ɛː r s k iː,AE M AE T EH R S K IH
amatérství,a m a t ɛː r s t v iː,AE M AE T EH R S T V IH
amazonka,a m a z o ŋ k a,AE M AE Z OH NG K AE
amazonský,a m a z o n s k iː,AE M AE Z OH N S K IH
amazoňan,a m a z o ɲ a n,AE M AE Z OH AE N
amazónek,a m a z oː n ɛ k,AE M AE Z OH N EH K
ambivalentní,a m b ɪ v a l ɛ n t ɲ iː,AE M B IH V AE L EH N T IH
ambroň,a m b r o ɲ,AE M B R OH
ambrož,a m b r o ʃ,AE M B R OH SH
ambulance,a m b u l a n t͡s ɛ,AE M B UW L AE N EH
ambulantní,a m b u l a n t ɲ iː,AE M B UW L AE N T IH
amemait,a m ɛ m a ɪ t,AE M EH M AE IH T
amerika,a m ɛ r ɪ k a,AE M EH R IH K AE
amerikanismus,a m ɛ r ɪ k a n ɪ z m u s,AE M EH R IH K AE N IH Z M UW S
amerikanista,a m ɛ r ɪ k a n ɪ s t a,AE M EH R IH K AE N IH S T AE
amerikanistika,a m ɛ r ɪ k a n ɪ s t ɪ k a,AE M EH R IH K AE N IH S T IH K AE
američan,a m ɛ r ɪ t͡ʃ a n,AE M EH R IH CH AE N
američanka,a m ɛ r ɪ t͡ʃ a ŋ k a,AE M EH R IH CH AE NG K AE
ametyst,a m ɛ t ɪ s t,AE M EH T IH S T
amharština,a m ɦ a r ʃ c ɪ n a,AE M AE R SH IH N AE
aminokyselina,a m ɪ n o k ɪ s ɛ l ɪ n a,AE M IH N OH K IH S EH L IH N AE
amnestovat,a m n ɛ s t o v a t,AE M N EH S T OH V AE T
amonium,a m o ɲ ɪ u m,AE M OH IH UW M
amonův,a m o n uː f,AE M OH N UW F
amorfní,a m o r f ɲ iː,AE M OH R F IH
amputovat,a m p u t o v a t,AE M P UW T OH V AE T
ampér,a m p ɛː r,AE M P EH R
amsterdam,a m s t ɛ r d a m,AE M S T EH R D AE M
amur,a m u r,AE M UW R
amusantní,a m ɪ z a n t ɲ iː,AE M IH Z AE N T IH
amyláza,a m ɪ l aː z a,AE M IH L AE Z AE
amálka,a m aː l k a,AE M AE L K AE
ana,a n a,AE N AE
anabolický,a n a b o l ɪ t͡s k iː,AE N AE B OH L IH K IH
anabolikum,a n a b o l ɪ k u m,AE N AE B OH L IH K UW M
anabolismus,a n a b o l ɪ z m u s,AE N AE B OH L IH Z M UW S
anaerobní,a n a ɛ r o b ɲ iː,AE N AE EH R OH B IH
anafylaktický,a n a f ɪ l a k t ɪ t͡s k iː,AE N AE F IH L AE K T IH K IH
analfabetismus,a n a l f a b ɛ t ɪ z m u s,AE N AE L F AE B EH T IH Z M UW S
analfabetství,a n a l f a b ɛ t s t v iː,AE N AE L F AE B EH T S T V IH
analgetický,a n a l ɡ ɛ t ɪ t͡s k iː,AE N AE L G EH T IH K IH
analgetikum,a n a l ɡ ɛ t ɪ k u m,AE N AE L G EH T IH K UW M
analog,a n a l o k,AE N AE L OH K
analogicky,a n a l o ɡ ɪ t͡s k ɪ,AE N AE L OH G IH K IH
analogický,a n a l o ɡ ɪ t͡s k iː,AE N AE L OH G IH K IH
analogie,a n a l o ɡ ɪ j ɛ,AE N AE L OH G IH Y EH
analogový,a n a l o ɡ o v iː,AE N AE L OH G OH V IH
analytický,a n a l ɪ t ɪ t͡s k iː,AE N AE L IH T IH K IH
analytik,a n a l ɪ t ɪ k,AE N AE L IH T IH K
analytička,a n a l ɪ t ɪ t͡ʃ k a,AE N AE L IH T IH CH K AE
analyzovat,a n a l ɪ z o v a t,AE N AE L IH Z OH V AE T
analyzátor,a n a l ɪ z aː t o r,AE N AE L IH Z AE T OH R
analýza,a n a l iː z a,AE N AE L IH Z AE
anarchie,a n a r x ɪ j ɛ,AE N AE R IH Y EH
anarchista,a n a r x ɪ s t a,AE N AE R IH S T AE
anarchistický,a n a r x ɪ s t ɪ t͡s k iː,AE N AE R IH S T IH K IH
anarchokapitalismus,a n a r x o k a p ɪ t a l ɪ z m u s,AE N AE R OH K AE P IH T AE L IH Z M UW S
anatom,a n a t o m,AE N AE T OH M
anatomický,a n a t o m ɪ t͡s k iː,AE N AE T OH M IH K IH
anatomie,a n a t o m ɪ j ɛ,AE N AE T OH M IH Y EH
anch,a n x,AE N
anda,a n d a,AE N D AE
andalusan,a n d a l u s a n,AE N D AE L UW S AE N
andaluský,a n d a l u s k iː,AE N D AE L UW S K IH
andorra,a n d o r a,AE N D OH R AE
andorrský,a n d o r s k iː,AE N D OH R S K IH
andořan,a n d o r̝ a n,AE N D OH R AE N
andrea,a n d r ɛ a,AE N D R EH AE
andrej,a n d r ɛ j,AE N D R EH Y
andrejka,a n d r ɛ j k a,AE N D R EH Y K AE
andský,a n t s k iː,AE N T S K IH
andulka,a n d u l k a,AE N D UW L K AE
andy,a n d ɪ,AE N D IH
andílek,a n ɟ iː l ɛ k,AE N IH L EH K
anděl,a n ɟ ɛ l,AE N EH L
anděla,a n ɟ ɛ l a,AE N EH L AE
andělin,a n ɟ ɛ l ɪ n,AE N EH L IH N
andělka,a n ɟ ɛ l k a,AE N EH L K AE
andělský,a n ɟ ɛ l s k iː,AE N EH L S K IH
andělí,a n ɟ ɛ l iː,AE N EH L IH
andělíček,a n ɟ ɛ l iː t͡ʃ ɛ k,AE N EH L IH CH EH K
andělíčkář,a n ɟ ɛ l iː t͡ʃ k aː r̝̊,AE N EH L IH CH K AE R
andělíčkářka,a n ɟ ɛ l iː t͡ʃ k aː r̝̊ k a,AE N EH L IH CH K AE R K AE
aneb,a n ɛ p,AE N EH P
anemický,a n ɛ m ɪ t͡s k iː,AE N EH M IH K IH
anemometr,a n ɛ m o m ɛ t r̩,AE N EH M OH M EH T R
anestetický,a n ɛ s t ɛ t ɪ t͡s k iː,AE N EH S T EH T IH K IH
aneta,a n ɛ t a,AE N EH T AE
anetka,a n ɛ t k a,AE N EH T K AE
anežka,a n ɛ ʃ k a,AE N EH SH K AE
anežčin,a n ɛ ʃ t͡ʃ ɪ n,AE N EH SH CH IH N
