word,ipa,ARPAbet
aaroninsauva,ɑː r o n i n s ɑ u̯ ʋ ɑ,AA R OH N IH N S AA W AA
aarre,ɑː rː eˣ,AA R EH
aarrearkku,ɑː rː eˣ ɑ r kː u,AA R EH AA R K UW
aarrelöytö,ɑː rː eˣ l ø y̯ t ø,AA R EH L T
aarresaari,ɑː rː eˣ s ɑː r i,AA R EH S AA R IH
aasa,ɑː s ɑ,AA S AA
aasainuskoinen,ɑː s ɑ i̯ n u s k o i̯ n e n,AA S AA IH N UW S K OH IH N EH N
aasi,ɑː s i,AA S IH
aasia,ɑː s i ɑ,AA S IH AA
aasialainen,ɑː s i ɑ l ɑ i̯ n e n,AA S IH AA L AA IH N EH N
aasimainen,ɑː s i m ɑ i̯ n e n,AA S IH M AA IH N EH N
aasitamma,ɑː s i t ɑ mː ɑ,AA S IH T AA M AA
aatami,ɑː t ɑ m i,AA T AA M IH
aataminaikainen,ɑː t ɑ m i n ɑ i̯ k ɑ i̯ n e n,AA T AA M IH N AA IH K AA IH N EH N
aataminomena,ɑː t ɑ m i n o m e n ɑ,AA T AA M IH N OH M EH N AA
aate,ɑː t eˣ,AA T EH
aateli,ɑː t e l i,AA T EH L IH
aatelinen,ɑː t e l i n e n,AA T EH L IH N EH N
aatelismies,ɑː t e l i s m i e̯ s,AA T EH L IH S M IH EH S
aatelisnainen,ɑː t e l i s n ɑ i̯ n e n,AA T EH L IH S N AA IH N EH N
aatelisneiti,ɑː t e l i s n e i̯ t i,AA T EH L IH S N EH IH T IH
aatelisrouva,ɑː t e l i s r o u̯ ʋ ɑ,AA T EH L IH S R OH W AA
aatelisto,ɑː t e l i s t o,AA T EH L IH S T OH
aateloida,ɑː t e l o i̯ d ɑˣ,AA T EH L OH IH D AA
aateloiminen,ɑː t e l o i̯ m i n e n,AA T EH L OH IH M IH N EH N
aatelointi,ɑː t e l o i̯ n t i,AA T EH L OH IH N T IH
aato,ɑː t o,AA T OH
aatos,ɑː t o s,AA T OH S
aatra,ɑː t r ɑ,AA T R AA
aatteellinen,ɑː tː eː lː i n e n,AA T EH L IH N EH N
aatto,ɑː tː o,AA T OH
aava,ɑː ʋ ɑ,AA AA
aave,ɑː ʋ eˣ,AA EH
aavemainen,ɑː ʋ e m ɑ i̯ n e n,AA EH M AA IH N EH N
aavikko,ɑː ʋ i kː o,AA IH K OH
aavikkoilves,ɑː ʋ i kː o i l ʋ e s,AA IH K OH IH L EH S
aavikkokenguru,ɑː ʋ i kː o k e ŋː u r u,AA IH K OH K EH NG UW R UW
aavikkolokki,ɑː ʋ i kː o l o kː i,AA IH K OH L OH K IH
aavikkopöllö,ɑː ʋ i kː o p ø lː ø,AA IH K OH P L
aavikoituakseen,ɑː ʋ i k o i̯ t u ɑ k s eː n,AA IH K OH IH T UW AA K S EH N
aavikoituminen,ɑː ʋ i k o i̯ t u m i n e n,AA IH K OH IH T UW M IH N EH N
aavistaa,ɑː ʋ i s t ɑːˣ,AA IH S T AA
aavistamaton,ɑː ʋ i s t ɑ m ɑ t o n,AA IH S T AA M AA T OH N
aavistamatta,ɑː ʋ i s t ɑ m ɑ tː ɑ,AA IH S T AA M AA T AA
aavistaminen,ɑː ʋ i s t ɑ m i n e n,AA IH S T AA M IH N EH N
aavisteleminen,ɑː ʋ i s t e l e m i n e n,AA IH S T EH L EH M IH N EH N
aavistus,ɑː ʋ i s t u s,AA IH S T UW S
abakus,ɑ b ɑ k u s,AA B AA K UW S
abbedissa,ɑ bː e d i sː ɑ,AA B EH D IH S AA
abbreviaatio,ɑ bː r e ʋ i ɑː t i o,AA B R EH IH AA T IH OH
abdikaatio,ɑ b d i k ɑː t i o,AA B D IH K AA T IH OH
abdominaalinen,ɑ b d o m i n ɑː l i n e n,AA B D OH M IH N AA L IH N EH N
aberraatio,ɑ b e rː ɑː t i o,AA B EH R AA T IH OH
abessiivi,ɑ b e sː iː ʋ i,AA B EH S IH IH
abessinialainen,ɑ b e sː i n i ɑ l ɑ i̯ n e n,AA B EH S IH N IH AA L AA IH N EH N
abi,ɑ b i,AA B IH
abioottinen,ɑ b i oː tː i n e n,AA B IH OH T IH N EH N
ablatiivi,ɑ b l ɑ t iː ʋ i,AA B L AA T IH IH
ablaut,ɑ b l ɑ u t,AA B L AA UW T
abnormaali,ɑ b n o r m ɑː l i,AA B N OH R M AA L IH
abnormi,ɑ b n o r m i,AA B N OH R M IH
aboriginaali,ɑ b o r i ɡ i n ɑː l i,AA B OH R IH G IH N AA L IH
abortoida,ɑ b o r t o i̯ d ɑˣ,AA B OH R T OH IH D AA
abortti,ɑ b o r tː i,AA B OH R T IH
abrakadabra,ɑ b r ɑ k ɑ d ɑ b r ɑ,AA B R AA K AA D AA B R AA
absessi,ɑ b s e sː i,AA B S EH S IH
absintti,ɑ b s i n tː i,AA B S IH N T IH
absolutismi,ɑ b s o l u t i s m i,AA B S OH L UW T IH S M IH
absolutistinen,ɑ b s o l u t i s t i n e n,AA B S OH L UW T IH S T IH N EH N
absoluutti,ɑ b s o l uː tː i,AA B S OH L UW T IH
absorboida,ɑ b s o r b o i̯ d ɑˣ,AA B S OH R B OH IH D AA
absorboiminen,ɑ b s o r b o i̯ m i n e n,AA B S OH R B OH IH M IH N EH N
absorboitua,ɑ b s o r b o i̯ t u ɑˣ,AA B S OH R B OH IH T UW AA
absorboituakseen,ɑ b s o r b o i̯ t u ɑ k s eː n,AA B S OH R B OH IH T UW AA K S EH N
absorboituminen,ɑ b s o r b o i̯ t u m i n e n,AA B S OH R B OH IH T UW M IH N EH N
absorptio,ɑ b s o r p t i o,AA B S OH R P T IH OH
absorptiokyky,ɑ b s o r p t i o k y k y,AA B S OH R P T IH OH K K
absorptioviiva,ɑ b s o r p t i o ʋ iː ʋ ɑ,AA B S OH R P T IH OH IH AA
abstrahoida,ɑ b s t r ɑ h o i̯ d ɑˣ,AA B S T R AA HH OH IH D AA
abstrahoiminen,ɑ b s t r ɑ h o i̯ m i n e n,AA B S T R AA HH OH IH M IH N EH N
abstrahointi,ɑ b s t r ɑ h o i̯ n t i,AA B S T R AA HH OH IH N T IH
abstrahoitua,ɑ b s t r ɑ h o i̯ t u ɑ,AA B S T R AA HH OH IH T UW AA
abstrahoitua,ɑ b s t r ɑ h o i̯ t u ɑˣ,AA B S T R AA HH OH IH T UW AA
abstrahoituma,ɑ b s t r ɑ h o i̯ t u m ɑ,AA B S T R AA HH OH IH T UW M AA
abstrahoituminen,ɑ b s t r ɑ h o i̯ t u m i n e n,AA B S T R AA HH OH IH T UW M IH N EH N
abstrakti,ɑ b s t r ɑ k t i,AA B S T R AA K T IH
abstraktinen,ɑ b s t r ɑ k t i n e n,AA B S T R AA K T IH N EH N
abstraktio,ɑ b s t r ɑ k t i o,AA B S T R AA K T IH OH
abstraktistaminen,ɑ b s t r ɑ k t i s t ɑ m i n e n,AA B S T R AA K T IH S T AA M IH N EH N
abstraktistuminen,ɑ b s t r ɑ k t i s t u m i n e n,AA B S T R AA K T IH S T UW M IH N EH N
abstraktoida,ɑ b s t r ɑ k t o i̯ d ɑˣ,AA B S T R AA K T OH IH D AA
absurdi,ɑ b s u r d i,AA B S UW R D IH
absurdisti,ɑ b s u r d i s t i,AA B S UW R D IH S T IH
absurdisti,ɑ b s u r d i s t iˣ,AA B S UW R D IH S T IH
abyssaalinen,ɑ b y sː ɑː l i n e n,AA B S AA L IH N EH N
adamantiini,ɑ d ɑ m ɑ n t iː n i,AA D AA M AA N T IH N IH
adamiitti,ɑ d ɑ m iː tː i,AA D AA M IH T IH
adapteri,ɑ d ɑ p t e r i,AA D AA P T EH R IH
adapterit,ɑ d ɑ p t e r i t,AA D AA P T EH R IH T
adaptiivinen,ɑ d ɑ p t iː ʋ i n e n,AA D AA P T IH IH N EH N
adaptoida,ɑ d ɑ p t o i̯ d ɑˣ,AA D AA P T OH IH D AA
adaptoiminen,ɑ d ɑ p t o i̯ m i n e n,AA D AA P T OH IH M IH N EH N
adaptoitua,ɑ d ɑ p t o i̯ t u ɑ,AA D AA P T OH IH T UW AA
adaptoitua,ɑ d ɑ p t o i̯ t u ɑˣ,AA D AA P T OH IH T UW AA
addiktio,ɑ dː i k t i o,AA D IH K T IH OH
addiktoiva,ɑ dː i k t o i̯ ʋ ɑ,AA D IH K T OH IH AA
additiivinen,ɑ dː i t iː ʋ i n e n,AA D IH T IH IH N EH N
additioreaktio,ɑ dː i t i o r e ɑ k t i o,AA D IH T IH OH R EH AA K T IH OH
addressi,ɑ dː r e sː i,AA D R EH S IH
adekvaatti,ɑ d e k ʋ ɑː tː i,AA D EH K AA T IH
adessiivi,ɑ d e sː iː ʋ i,AA D EH S IH IH
adiabaatti,ɑ d i ɑ b ɑː tː i,AA D IH AA B AA T IH
adiabaattinen,ɑ d i ɑ b ɑː tː i n e n,AA D IH AA B AA T IH N EH N
adipolyysi,ɑ d i p o l yː s i,AA D IH P OH L S IH
adjektiivi,ɑ d j e k t iː ʋ i,AA D Y EH K T IH IH
adjungaatti,ɑ d j u ŋː ɑː tː i,AA D Y UW NG AA T IH
admittanssi,ɑ d m i tː ɑ n sː i,AA D M IH T AA N S IH
adoptio,ɑ d o p t i o,AA D OH P T IH OH
adoptoida,ɑ d o p t o i̯ d ɑˣ,AA D OH P T OH IH D AA
adoptoiminen,ɑ d o p t o i̯ m i n e n,AA D OH P T OH IH M IH N EH N
adoptointi,ɑ d o p t o i̯ n t i,AA D OH P T OH IH N T IH
adpositio,ɑ d p o s i t i o,AA D P OH S IH T IH OH
adrenaliini,ɑ d r e n ɑ l iː n i,AA D R EH N AA L IH N IH
adressi,ɑ d r e sː i,AA D R EH S IH
adressia,ɑ d r e sː i ɑ,AA D R EH S IH AA
adsorboiminen,ɑ d s o r b o i̯ m i n e n,AA D S OH R B OH IH M IH N EH N
adsorboitua,ɑ d s o r b o i̯ t u ɑ,AA D S OH R B OH IH T UW AA
adsorboitua,ɑ d s o r b o i̯ t u ɑˣ,AA D S OH R B OH IH T UW AA
adsorboituminen,ɑ d s o r b o i̯ t u m i n e n,AA D S OH R B OH IH T UW M IH N EH N
adsorptiokromatografia,ɑ d s o r p t i o k r o m ɑ t o ɡ r ɑ f i ɑ,AA D S OH R P T IH OH K R OH M AA T OH G R AA F IH AA
adsukipapu,ɑ d s u k i p ɑ p u,AA D S UW K IH P AA P UW
adventti,ɑ d ʋ e n tː i,AA D EH N T IH
adventtikalenteri,ɑ d ʋ e n tː i k ɑ l e n t e r i,AA D EH N T IH K AA L EH N T EH R IH
adverbi,ɑ d ʋ e r b i,AA D EH R B IH
adverbiaali,ɑ d ʋ e r b i ɑː l i,AA D EH R B IH AA L IH
adverbiaalinen,ɑ d ʋ e r b i ɑː l i n e n,AA D EH R B IH AA L IH N EH N
adverbilauseke,ɑ d ʋ e r b i l ɑ u̯ s e k eˣ,AA D EH R B IH L AA W S EH K EH
adversatiivinen,ɑ d ʋ e r s ɑ t iː ʋ i n e n,AA D EH R S AA T IH IH N EH N
aedeagus,ɑ e d e ɑː ɡ u s,AA EH D EH AA G UW S
aerobic,ɑ e r o b i kː i,AA EH R OH B IH K IH
aerobikata,ɑ e r o b i k ɑ t ɑˣ,AA EH R OH B IH K AA T AA
aerobinen,ɑ e r o b i n e n,AA EH R OH B IH N EH N
aerodynaaminen,ɑ e r o d y n ɑː m i n e n,AA EH R OH D N AA M IH N EH N
aerodynamiikka,ɑ e r o d y n ɑ m iː kː ɑ,AA EH R OH D N AA M IH K AA
aerologia,ɑ e r o l o ɡ i ɑ,AA EH R OH L OH G IH AA
aerometri,ɑ e r o m e t r i,AA EH R OH M EH T R IH
aerometria,ɑ e r o m e t r i ɑ,AA EH R OH M EH T R IH AA
aeronomi,ɑ e r o n o m i,AA EH R OH N OH M IH
aeronomia,ɑ e r o n o m i ɑ,AA EH R OH N OH M IH AA
aerosoli,ɑ e r o s o l i,AA EH R OH S OH L IH
affiliaatio,ɑ fː i l i ɑː t i o,AA F IH L IH AA T IH OH
afgaani,ɑ f ɡ ɑː n i,AA F G AA N IH
afgaaninvinttikoira,ɑ f ɡ ɑː n i n ʋ i n tː i k o i̯ r ɑ,AA F G AA N IH N IH N T IH K OH IH R AA
afganistanilainen,ɑ f ɡ ɑ n i s t ɑ n i l ɑ i̯ n e n,AA F G AA N IH S T AA N IH L AA IH N EH N
aforismi,ɑ f o r i s m i,AA F OH R IH S M IH
aforistinen,ɑ f o r i s t i n e n,AA F OH R IH S T IH N EH N
afrikaans,ɑ f r i k ɑː n s,AA F R IH K AA N S
afrikkalainen,ɑ f r i kː ɑ l ɑ i̯ n e n,AA F R IH K AA L AA IH N EH N
afrosuomalainen,ɑ f r o s u o m ɑ l ɑ i̯ n e n,AA F R OH S UW OH M AA L AA IH N EH N
agaave,ɑ ɡ ɑː ʋ e,AA G AA EH
agalmatoliitti,ɑ ɡ ɑ l m ɑ t o l iː tː i,AA G AA L M AA T OH L IH T IH
agentti,ɑ ɡ e n tː i,AA G EH N T IH
agglutinoida,ɑ ɡː l u t i n o i̯ d ɑˣ,AA G L UW T IH N OH IH D AA
aggregaatio,ɑ ɡː r e ɡ ɑː t i o,AA G R EH G AA T IH OH
aggregoida,ɑ ɡː r e ɡ o i̯ d ɑˣ,AA G R EH G OH IH D AA
aggressiivinen,ɑ ɡː r e sː iː ʋ i n e n,AA G R EH S IH IH N EH N
aggressiivisuus,ɑ ɡ r e sː iː ʋ i s uː s,AA G R EH S IH IH S UW S
aggressiivisuus,ɑ ɡː r e sː iː ʋ i s uː s,AA G R EH S IH IH S UW S
agility,ɑ ɡ i l i t y,AA G IH L IH T
agitoida,ɑ ɡ i t o i̯ d ɑˣ,AA G IH T OH IH D AA
agitoiminen,ɑ ɡ i t o i̯ m i n e n,AA G IH T OH IH M IH N EH N
agnostikko,ɑ ɡ n o s t i kː o,AA G N OH S T IH K OH
agnostinen,ɑ ɡ n o s t i n e n,AA G N OH S T IH N EH N
agnostisismi,ɑ ɡ n o s t i s i s m i,AA G N OH S T IH S IH S M IH
agnostisuus,ɑ ɡ n o s t i s uː s,AA G N OH S T IH S UW S
agogiikka,ɑ ɡ o ɡ iː kː ɑ,AA G OH G IH K AA
agogo,ɑ ɡ o ɡ o,AA G OH G OH
agonaalinen,ɑ ɡ o n ɑː l i n e n,AA G OH N AA L IH N EH N
agonia,ɑ ɡ o n i ɑ,AA G OH N IH AA
agonisti,ɑ ɡ o n i s t i,AA G OH N IH S T IH
agorafobia,ɑ ɡ o r ɑ f o b i ɑ,AA G OH R AA F OH B IH AA
agrologia,ɑ ɡ r o l o ɡ i ɑ,AA G R OH L OH G IH AA
agronomia,ɑ ɡ r o n o m i ɑ,AA G R OH N OH M IH AA
ah,ɑ h,AA HH
aha,ɑ h ɑ ʔ,AA HH AA Q
ahaa,ɑ h ɑː,AA HH AA
ahava,ɑ h ɑ ʋ ɑ,AA HH AA AA
ahavoittaa,ɑ h ɑ ʋ o i̯ tː ɑːˣ,AA HH AA OH IH T AA
ahavoittaminen,ɑ h ɑ ʋ o i̯ tː ɑ m i n e n,AA HH AA OH IH T AA M IH N EH N
ahavoitua,ɑ h ɑ ʋ o i̯ t u ɑˣ,AA HH AA OH IH T UW AA
ahavoituminen,ɑ h ɑ ʋ o i̯ t u m i n e n,AA HH AA OH IH T UW M IH N EH N
ahdas,ɑ h d ɑ s,AA HH D AA S
ahdata,ɑ h d ɑ t ɑˣ,AA HH D AA T AA
ahde,ɑ h d eˣ,AA HH D EH
ahdin,ɑ h d i n,AA HH D IH N
ahdinko,ɑ h d i ŋ k o,AA HH D IH NG K OH
ahdistaa,ɑ h d i s t ɑːˣ,AA HH D IH S T AA
ahdistaminen,ɑ h d i s t ɑ m i n e n,AA HH D IH S T AA M IH N EH N
ahdisteleminen,ɑ h d i s t e l e m i n e n,AA HH D IH S T EH L EH M IH N EH N
ahdistelu,ɑ h d i s t e l u,AA HH D IH S T EH L UW
ahdistua,ɑ h d i s t u ɑˣ,AA HH D IH S T UW AA
ahdistuminen,ɑ h d i s t u m i n e n,AA HH D IH S T UW M IH N EH N
ahdistus,ɑ h d i s t u s,AA HH D IH S T UW S
ahdistushäiriö,ɑ h d i s t u s h æ i̯ r i ø,AA HH D IH S T UW S HH IH R IH
ahdos,ɑ h d o s,AA HH D OH S
ahertaa,ɑ h e r t ɑːˣ,AA HH EH R T AA
ahertaminen,ɑ h e r t ɑ m i n e n,AA HH EH R T AA M IH N EH N
ahjo,ɑ h j o,AA HH Y OH
ahjohiili,ɑ h j o h iː l i,AA HH Y OH HH IH L IH
ahkera,ɑ h k e r ɑ,AA HH K EH R AA
ahkeroida,ɑ h k e r o i̯ d ɑˣ,AA HH K EH R OH IH D AA
ahkeroiminen,ɑ h k e r o i̯ m i n e n,AA HH K EH R OH IH M IH N EH N
ahkeroitseminen,ɑ h k e r o i̯ t s e m i n e n,AA HH K EH R OH IH T S EH M IH N EH N
ahkio,ɑ h k i o,AA HH K IH OH
ahma,ɑ h m ɑ,AA HH M AA
ahmaiseminen,ɑ h m ɑ i̯ s e m i n e n,AA HH M AA IH S EH M IH N EH N
ahmaista,ɑ h m ɑ i̯ s t ɑˣ,AA HH M AA IH S T AA
ahmatti,ɑ h m ɑ tː i,AA HH M AA T IH
ahmia,ɑ h m i ɑˣ,AA HH M IH AA
ahmiminen,ɑ h m i m i n e n,AA HH M IH M IH N EH N
ahmimishäiriö,ɑ h m i m i s h æ i̯ r i ø,AA HH M IH M IH S HH IH R IH
ahmintahäiriö,ɑ h m i n t ɑ h æ i̯ r i ø,AA HH M IH N T AA HH IH R IH
ahnas,ɑ h n ɑ s,AA HH N AA S
ahnasta,ɑ h n ɑ s t ɑ,AA HH N AA S T AA
ahne,ɑ h n eˣ,AA HH N EH
ahnehtia,ɑ h n e h t i ɑˣ,AA HH N EH HH T IH AA
ahnehtiminen,ɑ h n e h t i m i n e n,AA HH N EH HH T IH M IH N EH N
ahneus,ɑ h n e u s,AA HH N EH UW S
aho,ɑ h o,AA HH OH
ahola,ɑ h o l ɑ,AA HH OH L AA
aholainen,ɑ h o l ɑ i̯ n e n,AA HH OH L AA IH N EH N
aholeinikki,ɑ h o l e i̯ n i kː i,AA HH OH L EH IH N IH K IH
ahomansikka,ɑ h o m ɑ n s i kː ɑ,AA HH OH M AA N S IH K AA
ahosuolaheinä,ɑ h o s u o̯ l ɑ h e i̯ n æ,AA HH OH S UW OH L AA HH EH IH N
ahtaa,ɑ h t ɑːˣ,AA HH T AA
ahtaanpaikankammo,ɑ h t ɑː n p ɑ i̯ k ɑ n k ɑ mː o,AA HH T AA N P AA IH K AA N K AA M OH
ahtaminen,ɑ h t ɑ m i n e n,AA HH T AA M IH N EH N
ahtaneeksi,ɑ h t ɑ n eː k s i,AA HH T AA N EH K S IH
ahtaneella,ɑ h t ɑ n eː lː ɑ,AA HH T AA N EH L AA
ahtaneelle,ɑ h t ɑ n eː lː eˣ,AA HH T AA N EH L EH
ahtaneelta,ɑ h t ɑ n eː l t ɑ,AA HH T AA N EH L T AA
ahtaneen,ɑ h t ɑ n eː n,AA HH T AA N EH N
ahtaneena,ɑ h t ɑ n eː n ɑ,AA HH T AA N EH N AA
ahtaneeseen,ɑ h t ɑ n eː s eː n,AA HH T AA N EH S EH N
ahtaneessa,ɑ h t ɑ n eː sː ɑ,AA HH T AA N EH S AA
ahtaneesta,ɑ h t ɑ n eː s t ɑ,AA HH T AA N EH S T AA
ahtaneetta,ɑ h t ɑ n eː tː ɑ,AA HH T AA N EH T AA
ahtanutta,ɑ h t ɑ n u tː ɑ,AA HH T AA N UW T AA
ahtauma,ɑ h t ɑ u m ɑ,AA HH T AA UW M AA
ahtaus,ɑ h t ɑ u s,AA HH T AA UW S
ahtauttaa,ɑ h t ɑ u tː ɑːˣ,AA HH T AA UW T AA
ahtauttaminen,ɑ h t ɑ u tː ɑ m i n e n,AA HH T AA UW T AA M IH N EH N
ahtautua,ɑ h t ɑ u t u ɑˣ,AA HH T AA UW T UW AA
ahtautuminen,ɑ h t ɑ u t u m i n e n,AA HH T AA UW T UW M IH N EH N
ahtera,ɑ h t e r ɑ,AA HH T EH R AA
ahteri,ɑ h t e r i,AA HH T EH R IH
ahti,ɑ h t i,AA HH T IH
ahto,ɑ h t o,AA HH T OH
ahtojää,ɑ h t o j æː,AA HH T OH Y
ahtoutuminen,ɑ h t o u t u m i n e n,AA HH T OH UW T UW M IH N EH N
ahven,ɑ h ʋ e n,AA HH EH N
ahvenanmaa,ɑ h ʋ e n ɑ n m ɑː,AA HH EH N AA N M AA
ahvenanmaanlammas,ɑ h ʋ e n ɑ n m ɑː n l ɑ mː ɑ s,AA HH EH N AA N M AA N L AA M AA S
ahvenanmeri,ɑ h ʋ e n ɑ n m e r i,AA HH EH N AA N M EH R IH
ahvenkala,ɑ h ʋ e n k ɑ l ɑ,AA HH EH N K AA L AA
ahvenkalat,ɑ h ʋ e n k ɑ l ɑ t,AA HH EH N K AA L AA T
ahvenmuhennos,ɑ h ʋ e n m u h e nː o s,AA HH EH N M UW HH EH N OH S
ahvo,ɑ h ʋ o,AA HH OH
ai,ɑ i̯,AA IH
aiai,ɑ i̯ ɑ i̯,AA IH AA IH
aidanteko,ɑ i̯ d ɑ n t e k o,AA IH D AA N T EH K OH
aidas,ɑ i̯ d ɑ s,AA IH D AA S
aidata,ɑ i̯ d ɑ t ɑˣ,AA IH D AA T AA
